Title,Author,Year,Citation count,Open access,DOI,Abstract
Air pollution and health,Bert Brunekreef|Stephen T. Holgate,2002,4711,Open Access,https://doi.org/10.1016/s0140-6736(02)11274-8,
Generalized reduced rank tests using the singular value decomposition,Frank Kleibergen|Richard Paap,2005,2745,NOT Open Access,https://doi.org/10.1016/j.jeconom.2005.02.011,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Epidemiology of fine particulate air pollution and human health: biologic mechanisms and who's at risk?,C. Arden Pope,2000,938,Open Access,https://doi.org/10.1289/ehp.108-1637679,"This article briefly summarizes the epidemiology of the health effects of fine particulate air pollution, provides an early, somewhat speculative, discussion of the contribution of epidemiology to evaluating biologic mechanisms, and evaluates who's at risk or is susceptible to adverse health effects. Based on preliminary epidemiologic evidence, it is speculated that a systemic response to fine particle-induced pulmonary inflammation, including cytokine release and altered cardiac autonomic function, may be part of the pathophysiologic mechanisms or pathways linking particulate pollution with cardiopulmonary disease. The elderly, infants, and persons with chronic cardiopulmonary disease, influenza, or asthma are most susceptible to mortality and serious morbidity effects from short-term acutely elevated exposures. Others are susceptible to less serious health effects such as transient increases in respiratory symptoms, decreased lung function, or other physiologic changes. Chronic exposure studies suggest relatively broad susceptibility to cumulative effects of long-term repeated exposure to fine particulate pollution, resulting in substantive estimates of population average loss of life expectancy in highly polluted environments. Additional knowledge is needed about the specific pollutants or mix of pollutants responsible for the adverse health effects and the biologic mechanisms involved."
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,https://doi.org/10.1073/pnas.1809474115,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions."
Monthly Global Estimates of Fine Particulate Matter and Their Uncertainty,Aaron van Donkelaar|Melanie S. Hammer|Liam Bindle|Michael Bräuer|J. R. Brook|M. J. Garay|N. Christina Hsu|О. В. Калашникова|Ralph A. Kahn|Colin Lee|R. C. Levy|Alexei Lyapustin|A. M. Sayer|Randall V. Martin,2021,763,Open Access,https://doi.org/10.1021/acs.est.1c05309,"estimates provide precise regional-scale representation, with residual uncertainty inversely proportional to the sample size."
Happiness in the air: How does a dirty sky affect mental health and subjective well-being?,Xin Zhang|Xiaobo Zhang|Xi Chen,2017,676,Open Access,https://doi.org/10.1016/j.jeem.2017.04.001,
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,https://doi.org/10.1257/pol.20150085,
‘Effortless Perfection:’ Do Chinese cities manipulate air pollution data?,Dalia Ghanem|Junjie Zhang,2014,571,NOT Open Access,https://doi.org/10.1016/j.jeem.2014.05.003,
Concentrated Ambient Air Particles Induce Mild Pulmonary Inflammation in Healthy Human Volunteers,Andrew J. Ghio|Kim Chong|Robert B. Devlin,2000,548,NOT Open Access,https://doi.org/10.1164/ajrccm.162.3.9911115,
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,https://doi.org/10.1257/app.20160436,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)"
