Title,Author,Year,Citation count,Open access,Abstract,DOI
Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs,Sebastián Calónico|Matias D. Cattaneo|Rocío Titiunik,2014,3075,Open Access,"In the regression-discontinuity (RD) design, units are assigned to treatment based on whether their value of an observed covariate exceeds a known cutoff. In this design, local polynomial estimators are now routinely employed to construct confidence intervals for treatment effects. The performance of these confidence intervals in applications, however, may be seriously hampered by their sensitivity to the specific bandwidth employed. Available bandwidth selectors typically yield a “large” bandwidth, leading to data-driven confidence intervals that may be biased, with empirical coverage well below their nominal target. We propose new theory-based, more robust confidence interval estimators for average treatment effects at the cutoff in sharp RD, sharp kink RD, fuzzy RD, and fuzzy kink RD designs. Our proposed confidence intervals are constructed using a bias-corrected RD estimator together with a novel standard error estimator. For practical implementation, we discuss mean squared error optimal bandwidths, which are by construction not valid for conventional confidence intervals but are valid with our robust approach, and consistent standard error estimators based on our new variance formulas. In a special case of practical interest, our procedure amounts to running a quadratic instead of a linear local regression. More generally, our results give a formal justification to simple inference procedures based on increasing the order of the local polynomial estimator employed. We find in a simulation study that our confidence intervals exhibit close-to-correct empirical coverage and good empirical interval length on average, remarkably improving upon the alternatives available in the literature. All results are readily available in R and STATA using our companion software packages described in Calonico, Cattaneo, and Titiunik (2014d, 2014b).",https://doi.org/10.3982/ecta11757
Evidence on the impact of sustained exposure to air pollution on life expectancy from China’s Huai River policy,Yuyu Chen|Avraham Ebenstein|Michael Greenstone|Hongbin Li,2013,1789,Open Access,"This paper's findings suggest that an arbitrary Chinese policy that greatly increases total suspended particulates (TSPs) air pollution is causing the 500 million residents of Northern China to lose more than 2.5 billion life years of life expectancy. The quasi-experimental empirical approach is based on China's Huai River policy, which provided free winter heating via the provision of coal for boilers in cities north of the Huai River but denied heat to the south. Using a regression discontinuity design based on distance from the Huai River, we find that ambient concentrations of TSPs are about 184 μg/m(3) [95% confidence interval (CI): 61, 307] or 55% higher in the north. Further, the results indicate that life expectancies are about 5.5 y (95% CI: 0.8, 10.2) lower in the north owing to an increased incidence of cardiorespiratory mortality. More generally, the analysis suggests that long-term exposure to an additional 100 μg/m(3) of TSPs is associated with a reduction in life expectancy at birth of about 3.0 y (95% CI: 0.4, 5.6).",https://doi.org/10.1073/pnas.1300018110
"Evolution in Economic Geography: Institutions, Political Economy, and Adaptation",Danny MacKinnon|Andrew Cumbers|Andy Pike|Kean Birch|Robert McMaster,2009,476,NOT Open Access,,https://doi.org/10.1111/j.1944-8287.2009.01017.x
The effect of air pollution on mortality in China: Evidence from the 2008 Beijing Olympic Games,Guojun He|Maoyong Fan|Maigeng Zhou,2016,381,NOT Open Access,,https://doi.org/10.1016/j.jeem.2016.04.004
Environmental standards and labor productivity: Understanding the mechanisms that sustain sustainability,Magali A. Delmas|Sanja Peković,2012,327,NOT Open Access,,https://doi.org/10.1002/job.1827
Run away? Air pollution and emigration interests in China,Yu Qin|Hongjia Zhu,2017,281,NOT Open Access,,https://doi.org/10.1007/s00148-017-0653-0
"Entry, Exit, Firm Dynamics, and Aggregate Fluctuations ∗",Gian Luca|Clementi Dino Palazzo,2010,279,NOT Open Access,,
Trade costs and location of foreign firms in China,Mary Amiti|Beata Smarzynska Javorcik,2006,265,Open Access,,https://doi.org/10.1016/j.jdeveco.2006.06.001
Supply Chain Risk Management: Literature Review,Amulya Gurtu|Jestin Johny,2021,251,Open Access,"The risks associated with global supply chain management has created a discourse among practitioners and academics. This is evident by the business uncertainties growing in supply chain management, which pose threats to the entire network flow and economy. This paper aims to review the existing literature on risk factors in supply chain management in an uncertain and competitive business environment. Papers that contained the word “risk” in their titles, keywords, or abstracts were selected for conducting the theoretical analyses. Supply chain risk management is an integral function of the supply network. It faces unpredictable challenges due to nations’ economic policies and globalization, which have raised uncertainty and challenges for supply chain organizations. These significantly affect the financial performance of the organizations and the economy of a nation. Debate on supply chain risk management may promote competitiveness in business. Risk mitigation strategies will reduce the impact caused due to natural and human-made disasters.",https://doi.org/10.3390/risks9010016
Government environmental attention and carbon emissions governance: Firm-level evidence from China,Xiaoqian Liu|Javier Cifuentes‐Faura|Shikuan Zhao|Long Wang,2023,238,NOT Open Access,,https://doi.org/10.1016/j.eap.2023.07.016
Regulatory environments and the location decision: evidence from the early foreign market entries of new-technology-based firms,Régis Cœurderoy|Gordon Murray,2008,210,NOT Open Access,,https://doi.org/10.1057/palgrave.jibs.8400369
Regional industrial restructuring resulting from individual and system agency,Arne Isaksen|Stig‐Erik Jakobsen|Rune Njøs|Roger Normann,2018,193,NOT Open Access,,https://doi.org/10.1080/13511610.2018.1496322
How Do Industries and Firms Respond to Changes in Local Labor Supply?,Christian Dustmann|Albrecht Glitz,2015,171,NOT Open Access,,https://doi.org/10.1086/679684
