Title,Author,Year,Citation count,Open access,Abstract,DOI
Rank-Order Tournaments as Optimum Labor Contracts,Edward P. Lazear|Sherwin Rosen,1981,4659,Open Access,"This paper analyzes compensation schemes which pay according to an individual's ordinal rank in an organization rather than his output level. When workers are risk neutral, it is shown that wages based upon rank induce the same efficient allocation of resources as an incentive reward scheme based on individual output levels. Under some circumstances, risk-averse workers actually prefer to be paid on the basis of rank. In addition, if workers are heterogeneous in ability, low-quality workers attempt to contaminate high-quality firms, resulting in adverse selection. However, if ability is known in advance, a competitive handicapping structure exists which allows all workers to compete efficiently in the same organization.",https://doi.org/10.1086/261010
Drivers of improved PM 2.5 air quality in China from 2013 to 2017,Qiang Zhang|Yixuan Zheng|Dan Tong|Min Shao|Shuxiao Wang|Yuanhang Zhang|Xiangde Xu|Wang Jinnan|Hong He|Wenqing Liu|Yihui Ding|Yu Lei|Junhua Li|Zifa Wang|Xiaoye Zhang|Yuesi Wang|Jing Cheng|Yang Liu|﻿Qinren Shi|Liu Yan|Guannan Geng|Chaopeng Hong|Meng Li|Fei Liu|Bo Zheng|Junji Cao|Aijun Ding|Jian Gao|Qingyan Fu|Juntao Huo|Baoxian Liu|Zirui Liu|Fumo Yang|Kebin He|Jiming Hao,2019,2261,Open Access,"From 2013 to 2017, with the implementation of the toughest-ever clean air policy in China, significant declines in fine particle (PM 2.5 ) concentrations occurred nationwide. Here we estimate the drivers of the improved PM 2.5 air quality and the associated health benefits in China from 2013 to 2017 based on a measure-specific integrated evaluation approach, which combines a bottom-up emission inventory, a chemical transport model, and epidemiological exposure-response functions. The estimated national population–weighted annual mean PM 2.5 concentrations decreased from 61.8 (95%CI: 53.3–70.0) to 42.0 µg/m 3 (95% CI: 35.7–48.6) in 5 y, with dominant contributions from anthropogenic emission abatements. Although interannual meteorological variations could significantly alter PM 2.5 concentrations, the corresponding effects on the 5-y trends were relatively small. The measure-by-measure evaluation indicated that strengthening industrial emission standards (power plants and emission-intensive industrial sectors), upgrades on industrial boilers, phasing out outdated industrial capacities, and promoting clean fuels in the residential sector were major effective measures in reducing PM 2.5 pollution and health burdens. These measures were estimated to contribute to 6.6- (95% CI: 5.9–7.1), 4.4- (95% CI: 3.8–4.9), 2.8- (95% CI: 2.5–3.0), and 2.2- (95% CI: 2.0–2.5) µg/m 3 declines in the national PM 2.5 concentration in 2017, respectively, and further reduced PM 2.5 -attributable excess deaths by 0.37 million (95% CI: 0.35–0.39), or 92% of the total avoided deaths. Our study confirms the effectiveness of China’s recent clean air actions, and the measure-by-measure evaluation provides insights into future clean air policy making in China and in other developing and polluting countries.",https://doi.org/10.1073/pnas.1907956116
MIX: a mosaic Asian anthropogenic emission inventory under the international collaboration framework of the MICS-Asia and HTAP,Meng Li|Qiang Zhang|Junichi Kurokawa|Jung‐Hun Woo|Kebin He|Zifeng Lü|Toshimasa Ohara|Yu Song|David G. Streets|Gregory R. Carmichael|Yafang Cheng|Chaopeng Hong|Hong Huo|Xujia Jiang|Sicong Kang|Fei Liu|Hang Su|Bo Zheng,2017,1672,Open Access,"Abstract. The MIX inventory is developed for the years 2008 and 2010 to support the Model Inter-Comparison Study for Asia (MICS-Asia) and the Task Force on Hemispheric Transport of Air Pollution (TF HTAP) by a mosaic of up-to-date regional emission inventories. Emissions are estimated for all major anthropogenic sources in 29 countries and regions in Asia. We conducted detailed comparisons of different regional emission inventories and incorporated the best available ones for each region into the mosaic inventory at a uniform spatial and temporal resolution. Emissions are aggregated to five anthropogenic sectors: power, industry, residential, transportation, and agriculture. We estimate the total Asian emissions of 10 species in 2010 as follows: 51.3 Tg SO2, 52.1 Tg NOx, 336.6 Tg CO, 67.0 Tg NMVOC (non-methane volatile organic compounds), 28.8 Tg NH3, 31.7 Tg PM10, 22.7 Tg PM2.5, 3.5 Tg BC, 8.3 Tg OC, and 17.3 Pg CO2. Emissions from China and India dominate the emissions of Asia for most of the species. We also estimated Asian emissions in 2006 using the same methodology of MIX. The relative change rates of Asian emissions for the period of 2006–2010 are estimated as follows: −8.1 % for SO2, +19.2 % for NOx, +3.9 % for CO, +15.5 % for NMVOC, +1.7 % for NH3, −3.4 % for PM10, −1.6 % for PM2.5, +5.5 % for BC, +1.8 % for OC, and +19.9 % for CO2. Model-ready speciated NMVOC emissions for SAPRC-99 and CB05 mechanisms were developed following a profile-assignment approach. Monthly gridded emissions at a spatial resolution of 0.25° × 0.25° are developed and can be accessed from http://www.meicmodel.org/dataset-mix.",https://doi.org/10.5194/acp-17-935-2017
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions.",https://doi.org/10.1073/pnas.1809474115
Co-benefits of mitigating global greenhouse gas emissions for future air quality and human health,J. Jason West|Steven J. Smith|Raquel A. Silva|Vaishali Naïk|Yuqiang Zhang|Zachariah Adelman|M. M. Fry|Susan C. Anenberg|Larry W. Horowitz|Jean‐François Lamarque,2013,773,NOT Open Access,,https://doi.org/10.1038/nclimate2009
Environment and Statecraft: The Strategy of Environmental Treaty‐making,Scott Barrett,2003,668,NOT Open Access,,https://doi.org/10.1108/meq.2003.14.5.622.3
The Impact of Temperature on Productivity and Labor Supply: Evidence from Indian Manufacturing,E. Somanathan|Rohini Somanathan|Anant Sudarshan|Meenu Tewari,2021,633,Open Access,"Hotter years are associated with lower economic output in developing countries. We show that the effect of temperature on labor is an important part of the explanation. Using microdata from selected firms in India, we estimate reduced worker productivity and increased absenteeism on hot days. Climate control significantly mitigates productivity losses. In a national panel of Indian factories, annual plant output falls by about 2% per degree Celsius. This response appears to be driven by a reduction in the output elasticity of labor. Our estimates are large enough to explain previously observed output losses in cross-country panels.",https://doi.org/10.1086/713733
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,,https://doi.org/10.1257/pol.20150085
Environmental Statistics,Vic Barnett,2003,571,NOT Open Access,,https://doi.org/10.1002/0470024747
