Title,Author,Year,Citation count,Open access,Abstract,DOI
"Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution",C. Arden Pope,2002,8593,NOT Open Access,,https://doi.org/10.1001/jama.287.9.1132
An Association between Air Pollution and Mortality in Six U.S. Cities,Douglas W. Dockery|C. Arden Pope|Xiping Xu|John D. Spengler|James H. Ware|Martha E. Fay|Benjamin G. Ferris|Frank E. Speizer,1993,8183,Open Access,"BACKGROUND: Recent studies have reported associations between particulate air pollution and daily mortality rates. Population-based, cross-sectional studies of metropolitan areas in the United States have also found associations between particulate air pollution and annual mortality rates, but these studies have been criticized, in part because they did not directly control for cigarette smoking and other health risks. METHODS: In this prospective cohort study, we estimated the effects of air pollution on mortality, while controlling for individual risk factors. Survival analysis, including Cox proportional-hazards regression modeling, was conducted with data from a 14-to-16-year mortality follow-up of 8111 adults in six U.S. cities. RESULTS: Mortality rates were most strongly associated with cigarette smoking. After adjusting for smoking and other risk factors, we observed statistically significant and robust associations between air pollution and mortality. The adjusted mortality-rate ratio for the most polluted of the cities as compared with the least polluted was 1.26 (95 percent confidence interval, 1.08 to 1.47). Air pollution was positively associated with death from lung cancer and cardiopulmonary disease but not with death from other causes considered together. Mortality was most strongly associated with air pollution with fine particulates, including sulfates. CONCLUSIONS: Although the effects of other, unmeasured risk factors cannot be excluded with certainty, these results suggest that fine-particulate air pollution, or a more complex pollution mixture associated with fine particulate matter, contributes to excess mortality in certain U.S. cities.",https://doi.org/10.1056/nejm199312093292401
On the Pooling of Time Series and Cross Section Data,Yair Mundlak,1978,5313,NOT Open Access,,https://doi.org/10.2307/1913646
Bootstrap-Based Improvements for Inference with Clustered Errors,A. Colin Cameron|Jonah B. Gelbach|Douglas L. Miller,2008,4134,NOT Open Access,,https://doi.org/10.1162/rest.90.3.414
Selection on Observed and Unobserved Variables: Assessing the Effectiveness of Catholic Schools,Joseph G. Altonji|Todd E. Elder|Christopher Taber,2005,3771,NOT Open Access,,https://doi.org/10.1086/426036
Translocation of Inhaled Ultrafine Particles to the Brain,Günter Oberdörster|Z. D. Sharp|Viorel Atudorei|Alison Elder|Robert Gelein|Wolfgang G. Kreyling|Christopher Cox,2004,2596,NOT Open Access,,https://doi.org/10.1080/08958370490439597
Evidence on the impact of sustained exposure to air pollution on life expectancy from China’s Huai River policy,Yuyu Chen|Avraham Ebenstein|Michael Greenstone|Hongbin Li,2013,1789,Open Access,"This paper's findings suggest that an arbitrary Chinese policy that greatly increases total suspended particulates (TSPs) air pollution is causing the 500 million residents of Northern China to lose more than 2.5 billion life years of life expectancy. The quasi-experimental empirical approach is based on China's Huai River policy, which provided free winter heating via the provision of coal for boilers in cities north of the Huai River but denied heat to the south. Using a regression discontinuity design based on distance from the Huai River, we find that ambient concentrations of TSPs are about 184 μg/m(3) [95% confidence interval (CI): 61, 307] or 55% higher in the north. Further, the results indicate that life expectancies are about 5.5 y (95% CI: 0.8, 10.2) lower in the north owing to an increased incidence of cardiorespiratory mortality. More generally, the analysis suggests that long-term exposure to an additional 100 μg/m(3) of TSPs is associated with a reduction in life expectancy at birth of about 3.0 y (95% CI: 0.4, 5.6).",https://doi.org/10.1073/pnas.1300018110
Translocation of Inhaled Ultrafine Manganese Oxide Particles to the Central Nervous System,Alison Elder|Robert Gelein|Vanessa Silva|Tessa Feikert|Lisa A. Opanashuk|Janet Carter|Russell M. Potter|Andrew Maynard|Yasuo Ito|Jacob N. Finkelstein|Günter Oberdörster,2006,1177,Open Access,"BACKGROUND: Studies in monkeys with intranasally instilled gold ultrafine particles (UFPs; <100 nm) and in rats with inhaled carbon UFPs suggested that solid UFPs deposited in the nose travel along the olfactory nerve to the olfactory bulb. METHODS: To determine if olfactory translocation occurs for other solid metal UFPs and assess potential health effects, we exposed groups of rats to manganese (Mn) oxide UFPs (30 nm; approximately 500 microg/m(superscript)3(/superscript)) with either both nostrils patent or the right nostril occluded. We analyzed Mn in lung, liver, olfactory bulb, and other brain regions, and we performed gene and protein analyses. RESULTS: After 12 days of exposure with both nostrils patent, Mn concentrations in the olfactory bulb increased 3.5-fold, whereas lung Mn concentrations doubled; there were also increases in striatum, frontal cortex, and cerebellum. Lung lavage analysis showed no indications of lung inflammation, whereas increases in olfactory bulb tumor necrosis factor-alpha mRNA (approximately 8-fold) and protein (approximately 30-fold) were found after 11 days of exposure and, to a lesser degree, in other brain regions with increased Mn levels. Macrophage inflammatory protein-2, glial fibrillary acidic protein, and neuronal cell adhesion molecule mRNA were also increased in olfactory bulb. With the right nostril occluded for a 2-day exposure, Mn accumulated only in the left olfactory bulb. Solubilization of the Mn oxide UFPs was <1.5% per day. CONCLUSIONS: We conclude that the olfactory neuronal pathway is efficient for translocating inhaled Mn oxide as solid UFPs to the central nervous system and that this can result in inflammatory changes. We suggest that despite differences between human and rodent olfactory systems, this pathway is relevant in humans.",https://doi.org/10.1289/ehp.9030
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
Addressing Global Mortality from Ambient PM 2.5,Joshua S. Apte|Julian Marshall|Aaron Cohen|Michael Bräuer,2015,1015,Open Access,"Ambient fine particulate matter (PM2.5) has a large and well-documented global burden of disease. Our analysis uses high-resolution (10 km, global-coverage) concentration data and cause-specific integrated exposure-response (IER) functions developed for the Global Burden of Disease 2010 to assess how regional and global improvements in ambient air quality could reduce attributable mortality from PM2.5. Overall, an aggressive global program of PM2.5 mitigation in line with WHO interim guidelines could avoid 750 000 (23%) of the 3.2 million deaths per year currently (ca. 2010) attributable to ambient PM2.5. Modest improvements in PM2.5 in relatively clean regions (North America, Europe) would result in surprisingly large avoided mortality, owing to demographic factors and the nonlinear concentration-response relationship that describes the risk of particulate matter in relation to several important causes of death. In contrast, major improvements in air quality would be required to substantially reduce mortality from PM2.5 in more polluted regions, such as China and India. Moreover, forecasted demographic and epidemiological transitions in India and China imply that to keep PM2.5-attributable mortality rates (deaths per 100 000 people per year) constant, average PM2.5 levels would need to decline by ∼20-30% over the next 15 years merely to offset increases in PM2.5-attributable mortality from aging populations. An effective program to deliver clean air to the world's most polluted regions could avoid several hundred thousand premature deaths each year.",https://doi.org/10.1021/acs.est.5b01236
