Title,Author,Year,Citation count,Open access,DOI,Abstract
Air pollution and health,Bert Brunekreef|Stephen T. Holgate,2002,4711,Open Access,https://doi.org/10.1016/s0140-6736(02)11274-8,
Misallocation and Manufacturing TFP in China and India *,Chang‐Tai Hsieh|Peter J. Klenow,2009,4138,NOT Open Access,https://doi.org/10.1162/qjec.2009.124.4.1403,
Generalized reduced rank tests using the singular value decomposition,Frank Kleibergen|Richard Paap,2005,2745,NOT Open Access,https://doi.org/10.1016/j.jeconom.2005.02.011,
Mostly Harmless Econometrics: An Empiricist's Companion,Jan Kmenta,2010,2559,NOT Open Access,https://doi.org/10.1057/be.2009.37,
What’s trending in difference-in-differences? A synthesis of the recent econometrics literature,Jonathan Roth|Pedro H. C. Sant’Anna|Alyssa Bilinski|John Poe,2023,1864,NOT Open Access,https://doi.org/10.1016/j.jeconom.2023.03.008,
"Training, Wages, and Sample Selection: Estimating Sharp Bounds on Treatment Effects",David S. Lee,2009,1418,NOT Open Access,https://doi.org/10.1111/j.1467-937x.2009.00536.x,
Proceedings of the National Academy of Sciences,Edwin Bidwell Wilson,1916,1326,NOT Open Access,https://doi.org/10.1126/science.44.1136.500.b,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
"Review of relationship between indoor and outdoor particles: I/O ratio, infiltration factor and penetration factor",Chun Chen|Bin Zhao,2010,968,NOT Open Access,https://doi.org/10.1016/j.atmosenv.2010.09.048,
"Deposition, resuspension, and penetration of particles within a residence",Tracy L. Thatcher,1995,857,NOT Open Access,https://doi.org/10.1016/1352-2310(95)00016-r,
Weak Instruments in Instrumental Variables Regression: Theory and Practice,Isaiah Andrews|James H. Stock|Liyang Sun,2019,849,Open Access,https://doi.org/10.1146/annurev-economics-080218-025643,"When instruments are weakly correlated with endogenous regressors, conventional methods for instrumental variables (IV) estimation and inference become unreliable. A large literature in econometrics has developed procedures for detecting weak instruments and constructing robust confidence sets, but many of the results in this literature are limited to settings with independent and homoskedastic data, while data encountered in practice frequently violate these assumptions. We review the literature on weak instruments in linear IV regression with an emphasis on results for nonhomoskedastic (heteroskedastic, serially correlated, or clustered) data. To assess the practical importance of weak instruments, we also report tabulations and simulations based on a survey of papers published in the American Economic Review from 2014 to 2018 that use IV. These results suggest that weak instruments remain an important issue for empirical practice, and that there are simple steps that researchers can take to better handle weak instruments in applications."
Ozone Pollution: A Major Health Hazard Worldwide,Junfeng Zhang|Yongjie Wei|Zhangfu Fang,2019,814,Open Access,https://doi.org/10.3389/fimmu.2019.02518,"Oxides of nitrogen (NOx) and volatile organic compounds (VOCs) released into the atmosphere can react in the presence of solar irradiation, leading to ozone formation in the troposphere. Historically before clean air regulations were implemented to control NOx and VOCs, ozone concentrations were high enough to exert acute effects such as eye and nose irritation, respiratory disease emergencies, and lung function impairment. At or above current regulatory standards, day-to-day variations in ozone concentrations have been positively associated with asthma incidence and daily non-accidental mortality rate. Emerging evidence has shown that both short-term and long-term exposures to ozone, at concentrations below the current regulatory standards, were associated with increased mortality due to respiratory and cardiovascular diseases. The pathophysiology to support the epidemiologic associations between mortality and morbidity and ozone centers at the chemical and toxicological property of ozone as a strong oxidant, being able to induce oxidative damages to cells and the lining fluids of the airways, and immune-inflammatory responses within and beyond the lung. These new findings add substantially to the existing challenges in controlling ozone pollution. For example, in the United States in 2016, 90% of noncompliance to the national ambient air quality standards was due to ozone whereas only 10% was due to particulate matter and other regulated pollutants. Climate change, through creating atmospheric conditions favoring ozone formation, has been and will continue to increase ozone concentrations in many parts of world. Worldwide, ozone is responsible for several hundreds of thousands premature deaths and tens of million asthma-related emergency room visits annually. To combat ozone pollution globally, more aggressive reductions in fossil fuel consumption are needed to cut NOx and VOCs as well as greenhouse gas emissions. Meanwhile, preventive and therapeutic strategies are needed to alleviate the detrimental effects of ozone especially in more susceptible individuals. Interventional trials in humans are needed to evaluate the efficacy of antioxidants and ozone-scavenging compounds that have shown promising results in animal studies."
Carbon monoxide poisoning — a public health perspective,James A. Raub|M. Mathieu-Nolf|Neil B. Hampson|Stephen R. Thom,2000,799,NOT Open Access,https://doi.org/10.1016/s0300-483x(99)00217-6,
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,Tatyana Deryugina|Garth Heutel|Nolan Miller|David Molitor|Julian Reif,2019,779,NOT Open Access,https://doi.org/10.1257/aer.20180279,
Do Labor Market Opportunities Affect Young Women's Work and Family Decisions? Experimental Evidence from India *,Robert T. Jensen,2012,669,NOT Open Access,https://doi.org/10.1093/qje/qjs002,
"Airports, Air Pollution, and Contemporaneous Health",Wolfram Schlenker|William R. Walker,2015,609,NOT Open Access,https://doi.org/10.1093/restud/rdv043,
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,https://doi.org/10.1257/pol.20150085,
The health effects of nonindustrial indoor air pollution,Jonathan A. Bernstein|Neil E. Alexis|Hyacinth Bacchus|Jonathan A. Bernstein|Pat Fritz|E. Horner|Ning Li|Stephany Mason|André E. Nel|John Oullette|Kari Reijula|T. Reponen|James M. Seltzer|Alisa Smith|Susan M. Tarlo,2007,579,Open Access,https://doi.org/10.1016/j.jaci.2007.10.045,
Concentrated Ambient Air Particles Induce Mild Pulmonary Inflammation in Healthy Human Volunteers,Andrew J. Ghio|Kim Chong|Robert B. Devlin,2000,548,NOT Open Access,https://doi.org/10.1164/ajrccm.162.3.9911115,
Truth-telling by Third-party Auditors and the Response of Polluting Firms: Experimental Evidence from India*,Esther Duflo|Michael Greenstone|Rohini Pande|Nicholas Ryan,2013,512,Open Access,https://doi.org/10.1093/qje/qjt024,"Abstract In many regulated markets, private, third-party auditors are chosen and paid by the firms that they audit, potentially creating a conflict of interest. This article reports on a two-year field experiment in the Indian state of Gujarat that sought to curb such a conflict by altering the market structure for environmental audits of industrial plants to incentivize accurate reporting. There are three main results. First, the status quo system was largely corrupted, with auditors systematically reporting plant emissions just below the standard, although true emissions were typically higher. Second, the treatment caused auditors to report more truthfully and very significantly lowered the fraction of plants that were falsely reported as compliant with pollution standards. Third, treatment plants, in turn, reduced their pollution emissions. The results suggest reformed incentives for third-party auditors can improve their reporting and make regulation more effective."
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,https://doi.org/10.1257/app.20160436,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)"
Ozone’s Impact on Public Health: Contributions from Indoor Exposures to Ozone and Products of Ozone-Initiated Chemistry,Charles J. Weschler,2006,483,Open Access,https://doi.org/10.1289/ehp.9256,"OBJECTIVE: The associations between ozone concentrations measured outdoors and both morbidity and mortality may be partially due to indoor exposures to ozone and ozone-initiated oxidation products. In this article I examine the contributions of such indoor exposures to overall ozone-related health effects by extensive review of the literature as well as further analyses of published data. FINDINGS: Daily inhalation intakes of indoor ozone (micrograms per day) are estimated to be between 25 and 60% of total daily ozone intake. This is especially noteworthy in light of recent work indicating little, if any, threshold for ozone's impact on mortality. Additionally, the present study estimates that average daily indoor intakes of ozone oxidation products are roughly one-third to twice the indoor inhalation intake of ozone alone. Some of these oxidation products are known or suspected to adversely affect human health (e.g., formaldehyde, acrolein, hydroperoxides, fine and ultrafine particles). Indirect evidence supports connections between morbidity/mortality and exposures to indoor ozone and its oxidation products. For example, cities with stronger associations between outdoor ozone and mortality tend to have residences that are older and less likely to have central air conditioning, which implies greater transport of ozone from outdoors to indoors. CONCLUSIONS: Indoor exposures to ozone and its oxidation products can be reduced by filtering ozone from ventilation air and limiting the indoor use of products and materials whose emissions react with ozone. Such steps might be especially valuable in schools, hospitals, and childcare centers in regions that routinely experience elevated outdoor ozone concentrations."
Air Pollution and Infant Health: What Can We Learn from California's Recent Experience?,Janet Currie|Matthew Neidell,2005,462,NOT Open Access,https://doi.org/10.1093/qje/120.3.1003,
Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,Jiaxiu He|Haoming Liu|Alberto Salvo,2019,460,NOT Open Access,https://doi.org/10.1257/app.20170286,
The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution,Avraham Ebenstein|Victor Lavy|Sefi Roth,2016,404,Open Access,https://doi.org/10.1257/app.20150213,"Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences. We evaluate this hypothesis among Israeli students who took a series of matriculation exams between 2000 and 2002. Exploiting variation across the same student taking multiple exams, we find that transitory PM 2.5 exposure is associated with a significant decline in student performance. We then examine these students in 2010 and find that PM 2.5 exposure during exams is negatively associated with postsecondary educational attainment and earnings. The results highlight how reliance on noisy signals of student quality can lead to allocative inefficiency. (JEL I21, I23, I26, J24, J31, Q51, Q53)"
Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates for China,Shihe Fu|V. Brian Viard|Peng Zhang,2021,382,NOT Open Access,https://doi.org/10.1093/ej/ueab033,
Up in Smoke: The Influence of Household Behavior on the Long-Run Impact of Improved Cooking Stoves,Rema Hanna|Esther Duflo|Michael Greenstone,2016,319,Open Access,https://doi.org/10.1257/pol.20140008,"Laboratory studies suggest that improved cooking stoves can reduce indoor air pollution, improve health, and decrease greenhouse gas emissions in developing countries. We provide evidence, from a large-scale randomized trial in India, on the benefits of a common, laboratory-validated stove with a four-year follow-up. While smoke inhalation initially falls, this effect disappears by year two. We find no changes across health outcomes or greenhouse gas emissions. Households used the stoves irregularly and inappropriately, failed to maintain them, and usage declined over time. This study underscores the need to test environmental technologies in real-world settings where behavior may undermine potential impacts. (JEL D12, O12, O13, Q53, Q54, Q55)"
