Title,Author,Year,Citation count,Open access,DOI,Abstract
Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,Manuel Arellano|Stephen Bond,1991,33272,NOT Open Access,https://doi.org/10.2307/2297968,
How to do Xtabond2: An Introduction to Difference and System GMM in Stata,David Roodman,2009,9687,NOT Open Access,https://doi.org/10.1177/1536867x0900900106,
Estimates and 25-year trends of the global burden of disease attributable to ambient air pollution: an analysis of data from the Global Burden of Diseases Study 2015,Aaron J. Cohen|Michael Bräuer|Richard Burnett|H Ross Anderson|Joseph Frostad|Kara Estep|Kalpana Balakrishnan|Bert Brunekreef|Lalit Dandona|Rakhi Dandona|Valery L. Feigin|Greg Freedman|Bryan Hubbell|Amelia Jobling|Haidong Kan|Luke D. Knibbs|Yang Liu|Randall V. Martin|Lídia Morawska|C Arden Pope|Hwashin Hyun Shin|Kurt Straif|Gavin Shaddick|Matthew L. Thomas|Rita Van Dingenen|Aaron van Donkelaar|Theo Vos|Christopher J L Murray|Mohammad H. Forouzanfar,2017,6705,Open Access,https://doi.org/10.1016/s0140-6736(17)30505-6,"Background Exposure to ambient air pollution increases morbidity and mortality, and is a leading contributor to global disease burden. We explored spatial and temporal trends in mortality and burden of disease attributable to ambient air pollution from 1990 to 2015 at global, regional, and country levels. Methods We estimated global population-weighted mean concentrations of particle mass with aerodynamic diameter less than 2·5 μm (PM 2·5 ) and ozone at an approximate 11 km × 11 km resolution with satellite-based estimates, chemical transport models, and ground-level measurements. Using integrated exposure–response functions for each cause of death, we estimated the relative risk of mortality from ischaemic heart disease, cerebrovascular disease, chronic obstructive pulmonary disease, lung cancer, and lower respiratory infections from epidemiological studies using non-linear exposure–response functions spanning the global range of exposure. Findings Ambient PM 2·5 was the fifth-ranking mortality risk factor in 2015. Exposure to PM 2·5 caused 4·2 million (95% uncertainty interval [UI] 3·7 million to 4·8 million) deaths and 103·1 million (90·8 million 115·1 million) disability-adjusted life-years (DALYs) in 2015, representing 7·6% of total global deaths and 4·2% of global DALYs, 59% of these in east and south Asia. Deaths attributable to ambient PM 2·5 increased from 3·5 million (95% UI 3·0 million to 4·0 million) in 1990 to 4·2 million (3·7 million to 4·8 million) in 2015. Exposure to ozone caused an additional 254 000 (95% UI 97 000–422 000) deaths and a loss of 4·1 million (1·6 million to 6·8 million) DALYs from chronic obstructive pulmonary disease in 2015. Interpretation Ambient air pollution contributed substantially to the global burden of disease in 2015, which increased over the past 25 years, due to population ageing, changes in non-communicable disease rates, and increasing air pollution in low-income and middle-income countries. Modest reductions in burden will occur in the most polluted countries unless PM 2·5 values are decreased substantially, but there is potential for substantial health benefits from exposure reduction. Funding Bill & Melinda Gates Foundation and Health Effects Institute."
A finite sample correction for the variance of linear efficient two-step GMM estimators,Frank Windmeijer,2004,5932,NOT Open Access,https://doi.org/10.1016/j.jeconom.2004.02.005,
GMM Estimation with persistent panel data: an application to production functions,Richard Blundell|Stephen Bond,2000,1621,Open Access,https://doi.org/10.1080/07474930008800475,This paper considers the estimation of Cobb-Douglas production functions using panel data covering a large sample of companies observed for a small number of time periods. GMM estimatorshave been found to produce large finite-sample biases when using the standard first-differenced estimator. These biases can be dramatically reduced by exploiting reasonable stationarity restrictions on the initial conditions process. Using data for a panel of R&Dperforming US manufacturing companies we find that the additional instruments used in our extended GMM estimator yield much more reasonable parameter estimates.
Explaining Fixed Effects: Random Effects Modeling of Time-Series Cross-Sectional and Panel Data,Andrew Bell|Kelvyn Jones,2014,1498,Open Access,https://doi.org/10.1017/psrm.2014.7,"This article challenges Fixed Effects (FE) modeling as the ‘default’ for time-series-cross-sectional and panel data. Understanding different within and between effects is crucial when choosing modeling strategies. The downside of Random Effects (RE) modeling—correlated lower-level covariates and higher-level residuals—is omitted-variable bias, solvable with Mundlak's (1978a) formulation. Consequently, RE can provide everything that FE promises and more, as confirmed by Monte-Carlo simulations, which additionally show problems with Plümper and Troeger's FE Vector Decomposition method when data are unbalanced. As well as incorporating time-invariant variables, RE models are readily extendable, with random coefficients, cross-level interactions and complex variance functions. We argue not simply for technical solutions to endogeneity, but for the substantive importance of context/heterogeneity, modeled using RE. The implications extend beyond political science to all multilevel datasets. However, omitted variables could still bias estimated higher-level variable effects; as with any model, care is required in interpretation."
Correlations between fine particulate matter (PM2.5) and meteorological variables in the United States: Implications for the sensitivity of PM2.5 to climate change,Amos P. K. Tai|Loretta J. Mickley|Daniel J. Jacob,2010,1096,Open Access,https://doi.org/10.1016/j.atmosenv.2010.06.060,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
"The impact of air pollution on deaths, disease burden, and life expectancy across the states of India: the Global Burden of Disease Study 2017",Kalpana Balakrishnan|Sagnik Dey|Tarun Gupta|Rupinder Singh Dhaliwal|Michael Bräuer|Aaron J. Cohen|Jeffrey D Stanaway|Gufran Beig|Tushar Kant Joshi|Ashutosh N. Aggarwal|Yogesh Sabde|Harsiddha G. Sadhu|Joseph Frostad|Kate Causey|William Godwin|Deeksha Shukla|G Anil Kumar|Chris M Varghese|Pallavi Muraleedharan|Anurag Agrawal|Ranjit Mohan Anjana|Anil Bhansali|Deeksha Bhardwaj|Katrin Burkart|Kelly Cercy|Joy Kumar Chakma|Sourangsu Chowdhury|Devasahayam Jesudas Christopher|Eliza Dutta|Melissa Furtado|Santu Ghosh|Aloke Gopal Ghoshal|Scott Glenn|Randeep Guleria|Rajeev Gupta|Panniyammakal Jeemon|Rajni Kant|Surya Kant|Tanvir Kaur|Parvaiz A Koul|Varsha Krish|Bhargav Krishna|Samantha Leigh Larson|Kishore K Madhipatla|P A Mahesh|Viswanathan Mohan|Satinath Mukhopadhyay|Parul Mutreja|Nitish Naik|Sanjeev Nair|Grant Nguyen|Christopher M Odell|Jeyaraj Pandian|Dorairaj Prabhakaran|Poornima Prabhakaran|Ambuj Roy|Sundeep Salvi|Sankar Sambandam|Deepika Saraf|Meenakshi Sharma|Aakash Shrivastava|Virendra Singh|Nikhil Tandon|Nihal Thomas|Anna E Torre|Denis Xavier|Geetika Yadav|Sujeet Kumar Singh|Chander Shekhar|Theo Vos|Rakhi Dandona|K. Srinath Reddy|Stephen S Lim|Christopher J L Murray|S Venkatesh|Lalit Dandona,2018,953,Open Access,https://doi.org/10.1016/s2542-5196(18)30261-4,"Background Air pollution is a major planetary health risk, with India estimated to have some of the worst levels globally. To inform action at subnational levels in India, we estimated the exposure to air pollution and its impact on deaths, disease burden, and life expectancy in every state of India in 2017. Methods We estimated exposure to air pollution, including ambient particulate matter pollution, defined as the annual average gridded concentration of PM 2.5 , and household air pollution, defined as percentage of households using solid cooking fuels and the corresponding exposure to PM 2.5 , across the states of India using accessible data from multiple sources as part of the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2017. The states were categorised into three Socio-demographic Index (SDI) levels as calculated by GBD 2017 on the basis of lag-distributed per-capita income, mean education in people aged 15 years or older, and total fertility rate in people younger than 25 years. We estimated deaths and disability-adjusted life-years (DALYs) attributable to air pollution exposure, on the basis of exposure–response relationships from the published literature, as assessed in GBD 2017; the proportion of total global air pollution DALYs in India; and what the life expectancy would have been in each state of India if air pollution levels had been less than the minimum level causing health loss. Findings The annual population-weighted mean exposure to ambient particulate matter PM 2·5 in India was 89·9 μg/m 3 (95% uncertainty interval [UI] 67·0–112·0) in 2017. Most states, and 76·8% of the population of India, were exposed to annual population-weighted mean PM 2·5 greater than 40 μg/m 3 , which is the limit recommended by the National Ambient Air Quality Standards in India. Delhi had the highest annual population-weighted mean PM 2·5 in 2017, followed by Uttar Pradesh, Bihar, and Haryana in north India, all with mean values greater than 125 μg/m 3 . The proportion of population using solid fuels in India was 55·5% (54·8–56·2) in 2017, which exceeded 75% in the low SDI states of Bihar, Jharkhand, and Odisha. 1·24 million (1·09–1·39) deaths in India in 2017, which were 12·5% of the total deaths, were attributable to air pollution, including 0·67 million (0·55–0·79) from ambient particulate matter pollution and 0·48 million (0·39–0·58) from household air pollution. Of these deaths attributable to air pollution, 51·4% were in people younger than 70 years. India contributed 18·1% of the global population but had 26·2% of the global air pollution DALYs in 2017. The ambient particulate matter pollution DALY rate was highest in the north Indian states of Uttar Pradesh, Haryana, Delhi, Punjab, and Rajasthan, spread across the three SDI state groups, and the household air pollution DALY rate was highest in the low SDI states of Chhattisgarh, Rajasthan, Madhya Pradesh, and Assam in north and northeast India. We estimated that if the air pollution level in India were less than the minimum causing health loss, the average life expectancy in 2017 would have been higher by 1·7 years (1·6–1·9), with this increase exceeding 2 years in the north Indian states of Rajasthan, Uttar Pradesh, and Haryana. Interpretation India has disproportionately high mortality and disease burden due to air pollution. This burden is generally highest in the low SDI states of north India. Reducing the substantial avoidable deaths and disease burden from this major environmental risk is dependent on rapid deployment of effective multisectoral policies throughout India that are commensurate with the magnitude of air pollution in each state. Funding Bill & Melinda Gates Foundation; and Indian Council of Medical Research, Department of Health Research, Ministry of Health and Family Welfare, Government of India."
Health and economic impact of air pollution in the states of India: the Global Burden of Disease Study 2019,Anamika Pandey|Michael Bräuer|Maureen Cropper|Kalpana Balakrishnan|Prashant Mathur|Sagnik Dey|Burak Turkgulu|G Anil Kumar|Mukesh Khare|Gufran Beig|Tarun Gupta|Rinu P Krishnankutty|Kate Causey|Aaron J. Cohen|Stuti Bhargava|Ashutosh N. Aggarwal|Anurag Agrawal|Shally Awasthi|Fiona B Bennitt|Sadhana Bhagwat|P. Bhanumati|Katrin Burkart|Joy Kumar Chakma|Thomas C. Chiles|Sourangsu Chowdhury|Devasahayam Jesudas Christopher|Subhojit Dey|Samantha Fisher|Barbara M. Fraumeni|Richard Fuller|Aloke Gopal Ghoshal|Mahaveer Golechha|Prakash C. Gupta|Rachita Gupta|Rajeev Gupta|Shreekant Gupta|Sarath Guttikunda|David Hanrahan|S Harikrishnan|Panniyammakal Jeemon|Tushar Kant Joshi|Rajni Kant|Surya Kant|Tanvir Kaur|Parvaiz A Koul|Praveen Kumar|Rakesh Kumar|Samantha Leigh Larson|Rakesh Lodha|Kishore K Madhipatla|P A Mahesh|Ridhima Malhotra|Shunsuke Managi|Keith Martin|Matthews Mathai|Joseph L. Mathew|Ravi Mehrotra|Viswanathan Mohan|Viswananthan Mohan|Satinath Mukhopadhyay|Parul Mutreja|Nitish Naik|Sanjeev Nair|Jeyaraj Pandian|Pallavi Pant|Arokiasamy Perianayagam|Dorairaj Prabhakaran|Poornima Prabhakaran|Goura Kishor Rath|Shamika Ravi|Ambuj Roy|Yogesh Sabde|Sundeep Salvi|Sankar Sambandam|Bhavay Sharma|Meenakshi Sharma|S. Sharma|R S Sharma|Aakash Shrivastava|Sujeet Kumar Singh|Virendra Singh|Rodney B.W. Smith|Jeffrey D Stanaway|Gabrielle Taghian|Nikhil Tandon|JS Thakur|Nihal Thomas|Gurudayal Singh Toteja|Chris M Varghese|Chandra Venkataraman|Krishnan N Venugopal|Katherine Walker|Stefanie Watson|Sarah Wozniak|Denis Xavier|Gautam N. Yadama|Geetika Yadav|Deeksha Shukla|Hendrik J Bekedam|K. Srinath Reddy,2020,726,Open Access,https://doi.org/10.1016/s2542-5196(20)30298-9,"BACKGROUND: The association of air pollution with multiple adverse health outcomes is becoming well established, but its negative economic impact is less well appreciated. It is important to elucidate this impact for the states of India. METHODS: We estimated exposure to ambient particulate matter pollution, household air pollution, and ambient ozone pollution, and their attributable deaths and disability-adjusted life-years in every state of India as part of the Global Burden of Disease Study (GBD) 2019. We estimated the economic impact of air pollution as the cost of lost output due to premature deaths and morbidity attributable to air pollution for every state of India, using the cost-of-illness method. FINDINGS: 1·67 million (95% uncertainty interval 1·42-1·92) deaths were attributable to air pollution in India in 2019, accounting for 17·8% (15·8-19·5) of the total deaths in the country. The majority of these deaths were from ambient particulate matter pollution (0·98 million [0·77-1·19]) and household air pollution (0·61 million [0·39-0·86]). The death rate due to household air pollution decreased by 64·2% (52·2-74·2) from 1990 to 2019, while that due to ambient particulate matter pollution increased by 115·3% (28·3-344·4) and that due to ambient ozone pollution increased by 139·2% (96·5-195·8). Lost output from premature deaths and morbidity attributable to air pollution accounted for economic losses of US$28·8 billion (21·4-37·4) and $8·0 billion (5·9-10·3), respectively, in India in 2019. This total loss of $36·8 billion (27·4-47·7) was 1·36% of India's gross domestic product (GDP). The economic loss as a proportion of the state GDP varied 3·2 times between the states, ranging from 0·67% (0·47-0·91) to 2·15% (1·60-2·77), and was highest in the low per-capita GDP states of Uttar Pradesh, Bihar, Rajasthan, Madhya Pradesh, and Chhattisgarh. Delhi had the highest per-capita economic loss due to air pollution, followed by Haryana in 2019, with 5·4 times variation across all states. INTERPRETATION: The high burden of death and disease due to air pollution and its associated substantial adverse economic impact from loss of output could impede India's aspiration to be a $5 trillion economy by 2024. Successful reduction of air pollution in India through state-specific strategies would lead to substantial benefits for both the health of the population and the economy. FUNDING: UN Environment Programme; Bill & Melinda Gates Foundation; and Indian Council of Medical Research, Department of Health Research, Ministry of Health and Family Welfare, Government of India."
