Title,Author,Year,Citation count,Open access,DOI,Abstract
"Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution",C. Arden Pope,2002,8593,NOT Open Access,https://doi.org/10.1001/jama.287.9.1132,
Health Effects of Fine Particulate Air Pollution: Lines that Connect,C. Arden Pope|Douglas W. Dockery,2006,6767,Open Access,https://doi.org/10.1080/10473289.2006.10464485,"Efforts to understand and mitigate thehealth effects of particulate matter (PM) air pollutionhave a rich and interesting history. This review focuseson six substantial lines of research that have been pursued since 1997 that have helped elucidate our understanding about the effects of PM on human health. There hasbeen substantial progress in the evaluation of PM health effects at different time-scales of exposure and in the exploration of the shape of the concentration-response function. There has also been emerging evidence of PM-related cardiovascular health effects and growing knowledge regarding interconnected general pathophysiological pathways that link PM exposure with cardiopulmonary morbidiity and mortality. Despite important gaps in scientific knowledge and continued reasons for some skepticism, a comprehensive evaluation of the research findings provides persuasive evidence that exposure to fine particulate air pollution has adverse effects on cardiopulmonaryhealth. Although much of this research has been motivated by environmental public health policy, these results have important scientific, medical, and public health implications that are broader than debates over legally mandated air quality standards."
Robust Inference With Multiway Clustering,A. Colin Cameron|Jonah B. Gelbach|Douglas L. Miller,2011,3151,NOT Open Access,https://doi.org/10.1198/jbes.2010.07136,
Long-Term Ozone Exposure and Mortality,Michael Jerrett|Richard T. Burnett|C. Arden Pope|Kazuhiko Ito|George D. Thurston|Daniel Krewski|Yuanli Shi|Eugenia E. Calle|Michael J. Thun,2009,1657,Open Access,https://doi.org/10.1056/nejmoa0803894,"BACKGROUND: Although many studies have linked elevations in tropospheric ozone to adverse health outcomes, the effect of long-term exposure to ozone on air pollution-related mortality remains uncertain. We examined the potential contribution of exposure to ozone to the risk of death from cardiopulmonary causes and specifically to death from respiratory causes. METHODS: Data from the study cohort of the American Cancer Society Cancer Prevention Study II were correlated with air-pollution data from 96 metropolitan statistical areas in the United States. Data were analyzed from 448,850 subjects, with 118,777 deaths in an 18-year follow-up period. Data on daily maximum ozone concentrations were obtained from April 1 to September 30 for the years 1977 through 2000. Data on concentrations of fine particulate matter (particles that are < or = 2.5 microm in aerodynamic diameter [PM(2.5)]) were obtained for the years 1999 and 2000. Associations between ozone concentrations and the risk of death were evaluated with the use of standard and multilevel Cox regression models. RESULTS: In single-pollutant models, increased concentrations of either PM(2.5) or ozone were significantly associated with an increased risk of death from cardiopulmonary causes. In two-pollutant models, PM(2.5) was associated with the risk of death from cardiovascular causes, whereas ozone was associated with the risk of death from respiratory causes. The estimated relative risk of death from respiratory causes that was associated with an increment in ozone concentration of 10 ppb was 1.040 (95% confidence interval, 1.010 to 1.067). The association of ozone with the risk of death from respiratory causes was insensitive to adjustment for confounders and to the type of statistical model used. CONCLUSIONS: In this large study, we were not able to detect an effect of ozone on the risk of death from cardiovascular causes when the concentration of PM(2.5) was taken into account. We did, however, demonstrate a significant increase in the risk of death from respiratory causes in association with an increase in ozone concentration."
Multimodel ensemble simulations of present‐day and near‐future tropospheric ozone,David S. Stevenson|F. J. Dentener|Martin G. Schultz|Kari E. Ellingsen|Twan van Noije|Oliver Wild|Guang Zeng|Markus Amann|C. S. Atherton|N. Bell|Dan Bergmann|I. Bey|Tim Butler|J. Cofała|W. J. Collins|Richard G. Derwent|R. M. Doherty|J. Drevet|Henk Eskes|Arlene M. Fiore|Michael Gauss|Didier Hauglustaine|Larry W. Horowitz|I. S. A. Isaksen|Maarten Krol|Jean‐François Lamarque|M. G. Lawrence|V. Montanaro|Jean‐François Müller|Giovanni Pitari|Michael J. Prather|J. A. Pyle|Sebastian Rast|J. M. Rodriguez|M. G. Sanderson|Nick Savage|Drew Shindell|S. E. Strahan|Kengo Sudo|Sophie Szopa,2006,1384,Open Access,https://doi.org/10.1029/2005jd006338,"Global tropospheric ozone distributions, budgets, and radiative forcings from an ensemble of 26 state‐of‐the‐art atmospheric chemistry models have been intercompared and synthesized as part of a wider study into both the air quality and climate roles of ozone. Results from three 2030 emissions scenarios, broadly representing “optimistic,” “likely,” and “pessimistic” options, are compared to a base year 2000 simulation. This base case realistically represents the current global distribution of tropospheric ozone. A further set of simulations considers the influence of climate change over the same time period by forcing the central emissions scenario with a surface warming of around 0.7K. The use of a large multimodel ensemble allows us to identify key areas of uncertainty and improves the robustness of the results. Ensemble mean changes in tropospheric ozone burden between 2000 and 2030 for the 3 scenarios range from a 5% decrease, through a 6% increase, to a 15% increase. The intermodel uncertainty (±1 standard deviation) associated with these values is about ±25%. Model outliers have no significant influence on the ensemble mean results. Combining ozone and methane changes, the three scenarios produce radiative forcings of −50, 180, and 300 mW m−2, compared to a CO2 forcing over the same time period of 800–1100 mW m−2. These values indicate the importance of air pollution emissions in short‐ to medium‐term climate forcing and the potential for stringent/lax control measures to improve/worsen future climate forcing. The model sensitivity of ozone to imposed climate change varies between models but modulates zonal mean mixing ratios by ±5 ppbv via a variety of feedback mechanisms, in particular those involving water vapor and stratosphere‐troposphere exchange. This level of climate change also reduces the methane lifetime by around 4%. The ensemble mean year 2000 tropospheric ozone budget indicates chemical production, chemical destruction, dry deposition and stratospheric input fluxes of 5100, 4650, 1000, and 550 Tg(O3) yr−1, respectively. These values are significantly different to the mean budget documented by the Intergovernmental Panel on Climate Change (IPCC) Third Assessment Report (TAR). The mean ozone burden (340 Tg(O3)) is 10% larger than the IPCC TAR estimate, while the mean ozone lifetime (22 days) is 10% shorter. Results from individual models show a correlation between ozone burden and lifetime, and each model's ozone burden and lifetime respond in similar ways across the emissions scenarios. The response to climate change is much less consistent. Models show more variability in the tropics compared to midlatitudes. Some of the most uncertain areas of the models include treatments of deep tropical convection, including lightning NOx production; isoprene emissions from vegetation and isoprene's degradation chemistry; stratosphere‐troposphere exchange; biomass burning; and water vapor concentrations."
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Review of Epidemiological Evidence of Health Effects of Particulate Air Pollution,C. Arden Pope|Douglas W. Dockery|Joel Schwartz,1995,841,NOT Open Access,https://doi.org/10.3109/08958379509014267,
Long-Term Inhalable Particles and Other Air Pollutants Related to Mortality in Nonsmokers,David E. Abbey|Naomi Nishino|William F. McDonnell|Raoul J. Burchette|Synnøve F. Knutsen|W. Lawrence Beeson|Jie Yang,1999,602,NOT Open Access,https://doi.org/10.1164/ajrccm.159.2.9806020,
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,https://doi.org/10.1257/pol.20150085,
"Respiratory disease associated with community air pollution and a steel mill, Utah Valley.",C. Arden Pope,1989,578,Open Access,https://doi.org/10.2105/ajph.79.5.623,"This study assessed the association between hospital admissions and fine particulate pollution (PM10) in Utah Valley during the period April 1985-February 1988. This time period included the closure and reopening of the local steel mill, the primary source of PM10. An association between elevated PM10 levels and hospital admissions for pneumonia, pleurisy, bronchitis, and asthma was observed. During months when 24-hour PM10 levels exceeded 150 micrograms/m3, average admissions for children nearly tripled; in adults, the increase in admissions was 44 per cent. During months with mean PM10 levels greater than or equal to 50 micrograms/m3 average admissions for children and adults increased by 89 and 47 per cent, respectively. During the winter months when the steel mill was open, PM10 levels were nearly double the levels experienced during the winter months when the mill was closed. This occurred even though relatively stagnant air was experienced during the winter the mill was closed. Children's admissions were two to three times higher during the winters when the mill was open compared to when it was closed. Regression analysis also revealed that PM10 levels were strongly correlated with hospital admissions. They were more strongly correlated with children's admissions than with adult admissions and were more strongly correlated with admissions for bronchitis and asthma than with admissions for pneumonia and pleurisy."
