Title,Author,Year,Citation count,Open access,Abstract,DOI
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions.",https://doi.org/10.1073/pnas.1809474115
Digital Transformation and Environmental Sustainability: A Review and Research Agenda,A. Karim Feroz|Hangjung Zo|Ananth Chiravuri,2021,680,Open Access,"Digital transformation refers to the unprecedented disruptions in society, industry, and organizations stimulated by advances in digital technologies such as artificial intelligence, big data analytics, cloud computing, and the Internet of Things (IoT). Presently, there is a lack of studies to map digital transformation in the environmental sustainability domain. This paper identifies the disruptions driven by digital transformation in the environmental sustainability domain through a systematic literature review. The results present a framework that outlines the transformations in four key areas: pollution control, waste management, sustainable production, and urban sustainability. The transformations in each key area are divided into further sub-categories. This study proposes an agenda for future research in terms of organizational capabilities, performance, and digital transformation strategy regarding environmental sustainability.",https://doi.org/10.3390/su13031530
Happiness in the air: How does a dirty sky affect mental health and subjective well-being?,Xin Zhang|Xiaobo Zhang|Xi Chen,2017,676,Open Access,,https://doi.org/10.1016/j.jeem.2017.04.001
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,,https://doi.org/10.1257/pol.20150085
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,,https://doi.org/10.1111/ecoj.12273
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)",https://doi.org/10.1257/app.20160436
Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,Jiaxiu He|Haoming Liu|Alberto Salvo,2019,460,NOT Open Access,,https://doi.org/10.1257/app.20170286
Spatial spillover effects of environmental regulations on air pollution: Evidence from urban agglomerations in China,Tong Feng|Huibin Du|Zhongguo Lin|Jian Zuo,2020,386,NOT Open Access,,https://doi.org/10.1016/j.jenvman.2020.110998
Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates for China,Shihe Fu|V. Brian Viard|Peng Zhang,2021,382,NOT Open Access,,https://doi.org/10.1093/ej/ueab033
Impaired visibility: the air pollution people see,Nicole P. Hyslop,2008,358,NOT Open Access,,https://doi.org/10.1016/j.atmosenv.2008.09.067
"Growth, Pollution, and Life Expectancy: China from 1991–2012",Avraham Ebenstein|Maoyong Fan|Michael Greenstone|Guojun He|Peng Yin|Maigeng Zhou,2015,341,NOT Open Access,,https://doi.org/10.1257/aer.p20151094
