Title,Author,Year,Citation count,Open access,Abstract,DOI
The Lancet Commission on pollution and health,Philip J. Landrigan|Richard Fuller|Nereus J R Acosta|Olusoji Adeyi|Robert G. Arnold|Niladri Basu|Abdoulaye Bibi Baldé|Roberto Bertollini|Stephan Böse‐O’Reilly|Jo Ivey Boufford|Patrick N. Breysse|Thomas C. Chiles|Chulabhorn Mahidol|Awa Marie Coll‐Seck|Maureen Cropper|Julius N. Fobil|Valentı́n Fuster|Michael Greenstone|Andy Haines|David Hanrahan|David J. Hunter|Mukesh Khare|Alan Krupnick|Bruce P. Lanphear|B. N. Lohani|Keith Martin|Karen V Mathiasen|Maureen A. McTeer|Christopher J L Murray|Johanita D Ndahimananjara|Frederica P. Perera|Janez Potočnik|Alexander S. Preker|Jairam Ramesh|Johan Rockström|Carlos A. Aguilar‐Salinas|Leona D. Samson|Karti Sandilya|Peter D. Sly|Kirk R. Smith|Achim Steiner|Richard B. Stewart|William A. Suk|Onno C. P. van Schayck|Gautam N. Yadama|Kandeh K. Yumkella|Zhong Ma,2017,4913,Open Access,,https://doi.org/10.1016/s0140-6736(17)32345-0
What Determines Productivity?,Chad Syverson,2011,2798,NOT Open Access,,https://doi.org/10.1257/jel.49.2.326
Creative accounting or creative destruction? Firm-level productivity growth in Chinese manufacturing,Loren Brandt|Johannes Van Biesebroeck|Yifan Zhang,2011,2327,Open Access,,https://doi.org/10.1016/j.jdeveco.2011.02.002
The Fall of the Labor Share and the Rise of Superstar Firms*,David Autor|David Dorn|Lawrence F. Katz|Christina Patterson|John Van Reenen,2020,2162,Open Access,"Abstract The fall of labor’s share of GDP in the United States and many other countries in recent decades is well documented but its causes remain uncertain. Existing empirical assessments typically rely on industry or macro data, obscuring heterogeneity among firms. In this article, we analyze micro panel data from the U.S. Economic Census since 1982 and document empirical patterns to assess a new interpretation of the fall in the labor share based on the rise of “superstar firms.” If globalization or technological changes push sales toward the most productive firms in each industry, product market concentration will rise as industries become increasingly dominated by superstar firms, which have high markups and a low labor share of value added. We empirically assess seven predictions of this hypothesis: (i) industry sales will increasingly concentrate in a small number of firms; (ii) industries where concentration rises most will have the largest declines in the labor share; (iii) the fall in the labor share will be driven largely by reallocation rather than a fall in the unweighted mean labor share across all firms; (iv) the between-firm reallocation component of the fall in the labor share will be greatest in the sectors with the largest increases in market concentration; (v) the industries that are becoming more concentrated will exhibit faster growth of productivity; (vi) the aggregate markup will rise more than the typical firm’s markup; and (vii) these patterns should be observed not only in U.S. firms but also internationally. We find support for all of these predictions.",https://doi.org/10.1093/qje/qjaa004
The Global Decline of the Labor Share*,Loukas Karabarbounis|Brent Neiman,2013,1987,NOT Open Access,,https://doi.org/10.1093/qje/qjt032
Evidence on the impact of sustained exposure to air pollution on life expectancy from China’s Huai River policy,Yuyu Chen|Avraham Ebenstein|Michael Greenstone|Hongbin Li,2013,1789,Open Access,"This paper's findings suggest that an arbitrary Chinese policy that greatly increases total suspended particulates (TSPs) air pollution is causing the 500 million residents of Northern China to lose more than 2.5 billion life years of life expectancy. The quasi-experimental empirical approach is based on China's Huai River policy, which provided free winter heating via the provision of coal for boilers in cities north of the Huai River but denied heat to the south. Using a regression discontinuity design based on distance from the Huai River, we find that ambient concentrations of TSPs are about 184 μg/m(3) [95% confidence interval (CI): 61, 307] or 55% higher in the north. Further, the results indicate that life expectancies are about 5.5 y (95% CI: 0.8, 10.2) lower in the north owing to an increased incidence of cardiorespiratory mortality. More generally, the analysis suggests that long-term exposure to an additional 100 μg/m(3) of TSPs is associated with a reduction in life expectancy at birth of about 3.0 y (95% CI: 0.4, 5.6).",https://doi.org/10.1073/pnas.1300018110
Capital Accumulation and Economic Growth,Nicholas Kaldor,1961,1701,NOT Open Access,,https://doi.org/10.1007/978-1-349-08452-4_10
Killing Me Softly: The Fetal Origins Hypothesis,Douglas Almond|Janet Currie,2011,1654,Open Access,"In the epidemiological literature, the fetal origins hypothesis associated with David J. Barker posits that chronic, degenerative conditions of adult health, including heart disease and type 2 diabetes, may be triggered by circumstances decades earlier, particularly, by in utero nutrition. Economists have expanded on this hypothesis, investigating a broader range of fetal shocks and circumstances and have found a wealth of later-life impacts on outcomes including test scores, educational attainment, and income, along with health. In the process, they have provided some of the most credible observational evidence in support of the hypothesis. The magnitude of the impacts is generally large. Thus, the fetal origins hypothesis has not only survived contact with economics, but has flourished.",https://doi.org/10.1257/jep.25.3.153
Capital is Back: Wealth-Income Ratios in Rich Countries 1700–2010 *,Thomas Piketty|Gabriel Zucman,2014,1337,Open Access,"Abstract How do aggregate wealth-to-income ratios evolve in the long run and why? We address this question using 1970–2010 national balance sheets recently compiled in the top eight developed economies. For the United States, United Kingdom, Germany, and France, we are able to extend our analysis as far back as 1700. We find in every country a gradual rise` of wealth-income ratios in recent decades, from about 200–300% in 1970 to 400–600% in 2010. In effect, today’s ratios appear to be returning to the high values observed in Europe in the eighteenth and nineteenth centuries (600–700%). This can be explained by a long-run asset price recovery (itself driven by changes in capital policies since the world wars) and by the slowdown of productivity and population growth, in line with the β=sg Harrod-Domar-Solow formula. That is, for a given net saving rate s = 10%, the long-run wealth-income ratio β is about 300% if g = 3% and 600% if g = 1.5%. Our results have implications for capital taxation and regulation and shed new light on the changing nature of wealth, the shape of the production function, and the rise of capital shares.",https://doi.org/10.1093/qje/qju018
Does environmental regulation drive away inbound foreign direct investment? Evidence from a quasi-natural experiment in China,Xiqian Cai|Yi Lu|Mingqin Wu|Linhui Yu,2016,1283,NOT Open Access,,https://doi.org/10.1016/j.jdeveco.2016.08.003
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
"Climate Change, Mortality, and Adaptation: Evidence from Annual Fluctuations in Weather in the US",Olivier Deschênes|Michael Greenstone,2011,1062,Open Access,"Using random year-to-year variation in temperature, we document the relationship between daily temperatures and annual mortality rates and daily temperatures and annual residential energy consumption. Both relationships exhibit nonlinearities, with significant increases at the extremes of the temperature distribution. The application of these results to “business as usual” climate predictions indicates that by the end of the century climate change will lead to increases of 3 percent in the age-adjusted mortality rate and 11 percent in annual residential energy consumption. These estimates likely overstate the long-run costs, because climate change will unfold gradually allowing individuals to engage in a wider set of adaptations. (JEL I12, Q41, Q54)",https://doi.org/10.1257/app.3.4.152
Knowledge Work and Knowledge-Intensive Firms,Mats Alvesson,2004,902,NOT Open Access,,https://doi.org/10.1093/oso/9780199259342.001.0001
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,Tatyana Deryugina|Garth Heutel|Nolan Miller|David Molitor|Julian Reif,2019,779,NOT Open Access,,https://doi.org/10.1257/aer.20180279
New evidence on the impact of sustained exposure to air pollution on life expectancy from China’s Huai River Policy,Avraham Ebenstein|Maoyong Fan|Michael Greenstone|Guojun He|Maigeng Zhou,2017,743,NOT Open Access,,https://doi.org/10.1073/pnas.1616784114
"Airports, Air Pollution, and Contemporaneous Health",Wolfram Schlenker|William R. Walker,2015,609,NOT Open Access,,https://doi.org/10.1093/restud/rdv043
"In Search of Pollution Havens? Dirty Industry in the World Economy, 1960 to 1995",Muthukumara Mani|David Wheeler,1998,601,NOT Open Access,,https://doi.org/10.1177/107049659800700302
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,,https://doi.org/10.1257/pol.20150085
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,,https://doi.org/10.1111/ecoj.12273
Environmental regulation and firm exports: Evidence from the eleventh Five-Year Plan in China,Xinzheng Shi|Zhufeng Xu,2018,569,NOT Open Access,,https://doi.org/10.1016/j.jeem.2018.03.003
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)",https://doi.org/10.1257/app.20160436
Air Pollution and Human Health,Lester B. Lave|Eugene P. Seskin,2013,498,NOT Open Access,,https://doi.org/10.4324/9781315064451
Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,Jiaxiu He|Haoming Liu|Alberto Salvo,2019,460,NOT Open Access,,https://doi.org/10.1257/app.20170286
Production Function Estimation in Stata using Inputs to Control for Unobservables,Amil Petrin|Brian P. Poi|James Levinsohn,2004,457,Open Access,"A key issue in the estimation of production functions is the correlation between unobservable productivity shocks and input levels. Profit-maximizing firms respond to positive productivity shocks by expanding output, which requires additional inputs. Negative shocks lead firms to pare back output, decreasing their input usage. Olley and Pakes (1996) develop an estimator that uses investment as a proxy for these unobservable shocks. More recently, Levinsohn and Petrin (2003a) introduce an estimator that uses intermediate inputs as proxies, arguing that intermediates may respond more smoothly to productivity shocks. This paper reviews Levinsohn and Petrin's approach and introduces a Stata command that implements it.",https://doi.org/10.1177/1536867x0400400202
Health damages from air pollution in China,"Nam, Kyungmin|Kira Matus|Noelle E. Selin|Lok N. Lamsal|John Reilly|Sergey Paltsev",2012,445,NOT Open Access,,https://doi.org/10.1016/j.gloenvcha.2011.08.006
"Air pollution, affect, and forecasting bias: Evidence from Chinese financial analysts",Rui Dong|Raymond Fisman|Yong‐Xiang Wang|Nianhang Xu,2019,439,NOT Open Access,,https://doi.org/10.1016/j.jfineco.2019.12.004
Half the world’s population are exposed to increasing air pollution,Gavin Shaddick|Matthew L. Thomas|Pierpaolo Mudu|G Ruggeri|Sophie Gumy,2020,436,Open Access,"Abstract Air pollution is high on the global agenda and is widely recognised as a threat to both public health and economic progress. The World Health Organization (WHO) estimates that 4.2 million deaths annually can be attributed to outdoor air pollution. Recently, there have been major advances in methods that allow the quantification of air pollution-related indicators to track progress towards the Sustainable Development Goals and that expand the evidence base of the impacts of air pollution on health. Despite efforts to reduce air pollution in many countries there are regions, notably Central and Southern Asia and Sub-Saharan Africa, in which populations continue to be exposed to increasing levels of air pollution. The majority of the world’s population continue to be exposed to levels of air pollution substantially above WHO Air Quality Guidelines and, as such, air pollution constitutes a major, and in many areas, increasing threat to public health.",https://doi.org/10.1038/s41612-020-0124-2
The effect of air pollution on migration: Evidence from China,Shuai Chen|Paulina Oliva|Peng Zhang,2022,428,NOT Open Access,,https://doi.org/10.1016/j.jdeveco.2022.102833
