Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type
"Chen, Ying (57193862367); Wu, Wenjie (55973977900); Yun, Yanwen (57215008314)",the geography of pollution regulation and productivity,2025,Journal of Environmental Economics and Management,16,10.1016/j.jeem.2025.103134,https://www.scopus.com/pages/publications/85217931816?origin=resultslist,"This paper examines the impact of China's 1998 “Two Control Zones” (TCZ) policy on firm productivity and local economies using geolocated micro data. The analysis relies on an instrumental variable based on engineering considerations related to pollution emissions. We find that the TCZ policy led to the exit of low-productivity firms and reduced ten-year productivity growth among surviving firms. These surviving firms adjusted by reducing coal consumption, altering their product mix, and increasing innovation activities, resulting in significant transitional costs. The negative effects are disproportionately larger for initially high-productivity firms that engage more actively in abatement efforts. The adverse impact is amplified in counties with closely related industries and strong vertical linkages. These findings highlight the uneven distributional costs of place-based environmental regulations. © 2025 Elsevier Inc.",Economic geography; Environmental regulation; Firm performance,China; Circular economy; Coal consumption; Control zones; Economic geography; Firm Performance; Instrumental variables; Local economy; Pollution emissions; Pollution regulation; Product mix; Productivity growth; abatement cost; economic conditions; economic geography; environmental economics; firm size; innovation; spatiotemporal analysis,English,Scopus,Article
"Guo, R. (57204608660); Qian, P. (35270158900)",three-phase pfc control strategy based on fractional-order pid controller,2018,IOP Conference Series: Earth and Environmental Science,6,10.1088/1755-1315/188/1/012047,https://www.scopus.com/pages/publications/85056323825?origin=resultslist,"With the development of power electronics, more and more power electronic devices are being put into use in the power grid, causing serious harmonic current pollution to the power grid. Active power factor correction (APFC) technology is an important technology for solving harmonic current pollution and has been widely studied and developed. Three-phase PFC based on PWM technology can eliminate harmonic pollution on the grid side and improve power factor and work efficiency. Traditional three-phase PFC generally adopts double PI control strategy of voltage outer loop and current inner loop. However, this traditional control strategy has been unable to adapt to the increasingly complex grid situation. This paper proposes a control strategy that adopts PI controller for voltage outer loop and fractional-order PID controller for current inner loop. And through the Simulink simulation experiment, the result proves that the improved three-phase PFC control strategy presented in this paper has a more stable output voltage and less ripple compared with the traditional dual PI control strategy. © Published under licence by IOP Publishing Ltd.",,Electric control equipment; Electric power factor correction; Electric power systems; Electric power transmission networks; Harmonic analysis; Pollution; Power electronics; Proportional control systems; Three term control systems; Two term control systems; Active power factor corrections; Control strategies; Fractional-order PID controllers; Harmonic currents; Harmonic pollution; PI control strategy; Power electronic devices; Simulink simulations; Controllers,English,Scopus,Conference paper
"Chen, Xiaowei (59494005500); Hu, Zhilin (59494303400); Lin, Liguo (55897825600)",safety regulations and firm productivity,2025,China Economic Review,1,10.1016/j.chieco.2024.102335,https://www.scopus.com/pages/publications/85213531300?origin=resultslist,"We investigate the effects of safety regulations on the Total Factor Productivity (TFP) and overall performance of firms. We focus on the industrial safety regulation—the Decision on Further Strengthening Work Safety—implemented in 2004 to address the frequent occurrence of industrial accidents. Industrial safety accidents, due to their potential for causing significant casualties, substantial social impact, and clear accountability in a short timeframe, often receive heightened attention from local government officials, in contrast with environmental pollution incidents. We discovered that safety regulations notably decrease the TFP of firms. Their overall output, profits, export volumes, and other aspects of business performance, including financing costs, are adversely affected. Additionally, innovation initiatives and the number of new entrants also significantly declined. Firms respond to increased costs by reducing labor input, but there is no change in capital input. Furthermore, the study contrasts the differing impacts of industrial safety accidents and environmental pollution incidents. Despite the negative effects of the safety regulations on TFP as well as other economic outcomes, there are social welfare gains caused by the safety regulations. This research provides insights into the interplay between social governance and corporate development. It suggests that when the government engages in necessary social governance, it should provide targeted policy support to offset the negative effects on business operations and create a more favorable business environment. © 2024",China; Firm performance; Industrial safety; Safety regulation; Total factor productivity,,English,Scopus,Article
"Rahman, S. (57203457552); Ramli, M. (57217110324); Arnia, F. (14027791000); Muharar, R. (37085406000); Ikhwan, M. (57212382115); Munzir, S. (57195062107)",enhancement of convolutional neural network for urban environment parking space classification,2022,Global Journal of Environmental Science and Management,10,10.22034/gjesm.2022.03.02,https://www.scopus.com/pages/publications/85123569699?origin=resultslist,"BACKGROUND AND OBJECTIVES: The increase in the number of vehicles has several negative impacts, including traffic congestion, air pollution, noise levels, and the availability of parking spaces. Driverslooking for parking spaces can cause traffic jams and air pollution. The solution offered at this time is thedevelopment of a smart parking system to overcome these problems. The smart parking system offersa parking availability information feature in a parking area to break up congestion in the parking space.Deep learning is a successful method to solve parking space classification problems. It is known that thismethod requires a large computational process. Th aims of this study are to modified the architectureof Convolutional Neural Networks, part of deep learning to classify parking spaces. Modification of theConvolutional Neural Networks architecture is assumed to increase the work efficiency of the smartparking system in processing parking availability information.METHODS: Research is focusing on developing parking space classification techniques using camerasensors due to the rapid advancement of technology and algorithms in computer vision. The inputimage has 3x3 dimensions. The first convolution layer accepts the input image and converts it into56x56 dimensions. The second convolution layer is composed in the same way as the first layer withdimensions of 25x25. The third convolution layer employs a 3 x 3 filter matrix with padding of up to15 and converts it into 10x10 dimensions. The fourth layer is composed in the same way as the thirdlayer, but with the addition of maximum pooling. The software used in the test is Python with a Pythonframework.FINDINGS: The proposed architecture is the Efficient Parking Network or EfficientParkingNet. It can beshown that this architecture is more efficient in classifying parking spaces compared to some otherarchitectures, such as the mini–Alex Network (mAlexnet) and the Grassmannian Deep Stacking Networkwith Illumination Correction (GDSN-IC). EfficientParkingNet has not been able to pass the accuracy ofYolo Mobile Network (Yolo+MobileNet). Furthermore, Yolo+MobileNet has so many parameters that itcannot be used on low computing devices. Selection of EfficientParkingNet as a lightweight architecturetailored to the needs of use. EfficientParkingNet’s lightweight computing architecture can increase thespeed of information on parking availability to users.CONCLUSION: EfficientParkingNet is more efficient in determining the availability of parking spacescompared to mAlexnet, but still cannot match Yolo+MobileNet. Based on the number of parameters,EfficientParkingNet uses half of the number of parameters of mAlexnet and is much smaller thanYolo+MobileNet. EfficientParkingNet has an accuracy rate of 98.44% for the National Research Councilparking dataset and higher than other architectures. EfficientParkingNet is suitable for use in parkingsystems with low computing devices such as the Raspberry Pi because of the small number of parameters © 2022 GJESM. All rights reserved",Deep learning; Efficient parking network; Malexnet; Mobilenet; Parking space,algorithm; artificial neural network; calibration; computer simulation; efficiency measurement; error correction; image classification; numerical model; park design; parking; software; space use; technology adoption; traffic congestion; traffic management; transportation planning; urban area,English,Scopus,Article
"Doğanlar, Murat (6602635005); Mike, Faruk (57205318591); Kızılkaya, Oktay (57205324740); Kardaşlar, Ahmet (58756479500)","temperature, precipitation and economic growth: the case of the most polluting countries",2024,International Journal of Environmental Research,9,10.1007/s41742-023-00555-5,https://www.scopus.com/pages/publications/85179319464?origin=resultslist,"This study analyzes the impact of climate change on economic growth for the top 20 countries in the world that cause the most carbon emissions. Following the Cobb–Douglas production function, we investigate the long-run relationships between temperature/precipitation and economic growth, capital stock, labor force, and productivity using static and dynamic panel data analyses for the period 1990–2019. The results from three different models are examined. Linear model test results reveal that temperature and precipitation do not have statistically any significant impact on economic growth in these countries. Nonlinear model test results indicate that the primary impact of temperature on economic growth is positive and statistically significant, whereas the secondary impact is negative and statistically significant. However, precipitation does not have any statistically significant impact on economic growth. Finally, the results of nonlinear model without control variables are similar to those of nonlinear model. The Dumitrescu and Hurlin panel causality test is also performed to check the consistency of static and dynamic panel estimations, and the results indicate bidirectional causality between temperature and economic growth but no causal relationship between precipitation and economic growth in these countries. © 2023, University of Tehran.",Climate change; Economic growth; Panel data analysis; Precipitation; Temperature,carbon emission; climate change; economic growth; environmental economics; panel data; precipitation (climatology); temperature effect,English,Scopus,Article
"Batheja, Deepshikha (57466144700); Hirshleifer, Sarojini (56703319800); Mullins, Jamie T. (56396142200)",more than particulates matter: multiple pollutants and productivity in indian call centers,2025,Journal of Environmental Economics and Management,0,10.1016/j.jeem.2025.103181,https://www.scopus.com/pages/publications/105016305574?origin=resultslist,"We measure the impact of three components of air pollution on daily labor productivity in call centers in five Indian cities. We find that a one standard deviation increase in fine particulate matter (PM2.5), a pollutant that has been the primary focus of the literature on the harms of air pollution, has a large negative effect of 0.15σ on an index of intensive margin productivity. Notably, we find a comparable negative effect for a one standard deviation increase in carbon monoxide (CO) of 0.14σ as well as a negative effect of 0.09σ from ozone (O3). For one of our main productivity variables, the number of calls per shift, one standard deviation increases in PM2.5, CO and O3 lead to declines relative to the mean of 11.8 %, 10.6 % and 6.0 %, respectively. In summing air pollution harms across our sample, CO is responsible for more than half of the total productivity lost, which is more than double the losses attributable to PM2.5. We then illustrate the potential productivity impacts of an existing national policy in India that targets PM2.5 compared to a counterfactual policy that also targets CO and O3. © 2025",Development; Environment; India; Labor; Personnel economics; Pollution; Productivity,India; Air pollution; Employment; Particles (particulate matter); Personnel; Statistics; Call centers; Development; Environment; India; Multiple pollutants; Particulate Matter; Personnel economic; PM 2.5; Standard deviation; Three-component; atmospheric pollution; carbon monoxide; environmental economics; labor productivity; ozone; particulate matter; Carbon monoxide,English,Scopus,Article
"Chantret, François (57214892737); Chateau, Jean (15847828800); Dellink, Rob (6507507267); Durand-Lasserve, Olivier (36014978900); Lanzi, Elisa (48761487900)",can better technologies avoid all air pollution damages to the global economy?,2020,Climatic Change,8,10.1007/s10584-019-02631-2,https://www.scopus.com/pages/publications/85079456983?origin=resultslist,"This paper assesses the potential role of the implementation of the best available technologies to reduce the economic consequences of outdoor air pollution in the coming decades. The paper focuses on market impacts related with additional health expenditures, changes in labour productivity and crop yield losses and also presents results on non-market costs, i.e. welfare losses from avoided premature deaths. The results show that technological improvements can potentially reduce concentrations of air pollutants to levels compatible with the WHO guidelines in most countries. However, technology measures can only reduce part of the economic costs relative with the market impacts. While those are efficient in reducing the direct costs of air pollution, there are still large indirect costs associated with current and remaining pollution levels. Policies that aim directly at avoiding economic impacts need to be implemented to further reduce air pollution damages, especially in the regions where technologies are not sufficient to reduce concentrations or where economic consequences persist despite reduced concentration levels. © 2019, Springer Nature B.V.",Air pollution; Economic consequences; Emissions; General equilibrium modelling; Health impacts; Technological improvements,Air pollution; Commerce; Cost accounting; Cost reduction; Particulate emissions; Pollution control; Productivity; Best available technologies; Concentration levels; Economic consequences; General equilibrium; Health impact; Labour productivities; Outdoor air pollution; Technological improvements; atmospheric pollution; concentration (composition); cost analysis; crop yield; economic impact; global economy; health expenditure; labor productivity; market conditions; technological development; Economic and social effects,English,Scopus,Article
"Zuo, Lijun (57215777794); Wu, Dan (57215064137); Yuan, Yanping (16026137400); Li, Hanlin (57215776735); Yu, Le (57215775564)",effect of arrangement and quantity of epipremnum aureum on work efficiency and subjective perceptions,2020,Environmental Science and Pollution Research,8,10.1007/s11356-020-08078-8,https://www.scopus.com/pages/publications/85081906797?origin=resultslist,"Plants can improve indoor air quality, and affect the work efficiency and subjective perceptions. However, the conclusions of existing experiments regarding how plants affect work efficiency are not uniform. To further explore this subject, this study designed five different working conditions, and selected a variety of “general tasks” and “tasks requiring concentration” as operational tasks. The effects of the plant arrangement and quantity on work efficiency were studied by analyzing the performance of subjects in different working conditions. The effects of the plants on the subjective perceptions were investigated using questionnaires. The experimental results show that the effects of plants on work efficiency were related to the nature of the work, the placement of the plants, and the number of plants. Plants had no effect on the efficiency of general tasks such as “symmetry breadth,” but had a positive impact on the efficiency of general tasks such as “operational breadth.” Moreover, by changing the arrangement and quantity of plants, the efficiency of general tasks could be increased by up to 19.1%. In contrast, plants placed within a coincident view had a negative impact on the efficiency of “tasks requiring concentration,” and the work efficiency could be reduced by up to 12.4%. In addition, plants could increase enthusiasm and willingness to work by 12.5% and 11.8%, respectively. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",Attention recovery; Environmental perception; Indoor plants; People-plant interactions; Subjective perceptions; Work efficiency,"Air Pollution, Indoor; Araceae; Efficiency; Surveys and Questionnaires; Epipremnum pinnatum; air quality; concentration (composition); efficiency measurement; herb; indoor air; perception; phytoremediation; quantitative analysis; Araceae; indoor air pollution; productivity; questionnaire",English,Scopus,Article
"Franzluebbers, Alan J. (7005185670); Martin, Guillaume (25522407700)",farming with forages can reconnect crop and livestock operations to enhance circularity and foster ecosystem services,2022,Grass and Forage Science,45,10.1111/gfs.12592,https://www.scopus.com/pages/publications/85141396536?origin=resultslist,"Agriculture has undergone dramatic technological and cultural changes over the past century. Many would argue that the changes have been unquestionably positive with huge gains in productivity, reduced labour requirements, and alleviation of food insecurity for most people. However, the adoption of increasingly specialized and separated crop and livestock enterprises has also had widespread negative consequences resulting in (a) decline in biodiversity, (b) degradation of groundwater and surface waters with agrochemical pollutants, (c) poor soil health with monoculture crop production and frequent soil disturbance, (d) intensive greenhouse gas emissions from both specialized cropping systems relying on external inputs and concentrated animal feeding operations that accumulate wastes, and (e) general lack of ecological integrity among components of these specialized systems. Diversified agricultural systems using annual and perennial forages offer opportunities to elevate ecological synergies when crop and livestock operations are integrated. Integrated crop-livestock systems can internalize nutrient cycling, provide cultural control of weeds, insects and diseases, and share resources in a circular-based agroecosystem. Cover crops could be transitioned into nutritious annual forages for livestock grazing on currently specialized crop production farms with appropriate local incentives. Perennial forages in ley farming or in pasture-crop rotations have historical relevance and are a proven practice for conserving nutrients, improving soil health and enhancing biodiversity. Redesigning contemporary agriculture with mixed-use farming techniques could greatly reduce soil erosion, improve water quality, and invigorate soil health. We suggest that incorporating different types of forages across a diverse landscape can enhance agricultural sustainability and ecological integrity. © 2022 The Authors. Grass and Forage Science published by John Wiley & Sons Ltd. This article has been contributed to by U.S. Government employees and their work is in the public domain in the USA.",ecological integrity; environmental quality; forages; grassland; grazing; integrated crop-livestock systems; perennial pasture,agricultural development; agricultural economics; agricultural production; ecosystem service; forage; grassland; grazing; pasture,English,Scopus,Article
"Tang, Juan (57719165600); Zhong, Shihu (57206565717); Xiang, Guocheng (57201977473)","environmental regulation, directed technical change, and economic growth: theoretic model and evidence from china",2019,International Regional Science Review,37,10.1177/0160017619835901,https://www.scopus.com/pages/publications/85062987415?origin=resultslist,"Can environmental regulation be used to promote directed technical change and economic growth simultaneously? We construct an endogenous economic growth model that includes environmental regulation, the extent of environmental pollution, and economic performance in a general equilibrium framework. We show that in the absence of government intervention, environmental pollution will not automatically disappear as economic growth increases. Furthermore, “threshold constraints” result from “path dependence” in the type of innovation; only when the rate of carbon tax and carbon reduction subsidy reaches a certain extent will individuals (or producers) redirect technical change toward “clean” energy production technologies innovation and away from “dirty” energy production technologies. Our article also discloses the intrinsic principle and micromechanism of environmental regulation to promote economic growth and finds that strict environmental regulation will both significantly promote the evolving labor division in clean energy production technologies innovation and achieve the benefits of improved average labor productivity in the production sector and the market size of goods, so that the benefit exceeds the switching cost. © The Author(s) 2019.",directed technical change; economic growth; environmental regulation; innovation; win-win effect,China; economic growth; innovation; labor division; labor productivity; regulatory framework; technical change,English,Scopus,Article
