Title,Author,Year,Citation count,Open access,Abstract,DOI
Health Effects of Fine Particulate Air Pollution: Lines that Connect,C. Arden Pope|Douglas W. Dockery,2006,6767,Open Access,"Efforts to understand and mitigate thehealth effects of particulate matter (PM) air pollutionhave a rich and interesting history. This review focuseson six substantial lines of research that have been pursued since 1997 that have helped elucidate our understanding about the effects of PM on human health. There hasbeen substantial progress in the evaluation of PM health effects at different time-scales of exposure and in the exploration of the shape of the concentration-response function. There has also been emerging evidence of PM-related cardiovascular health effects and growing knowledge regarding interconnected general pathophysiological pathways that link PM exposure with cardiopulmonary morbidiity and mortality. Despite important gaps in scientific knowledge and continued reasons for some skepticism, a comprehensive evaluation of the research findings provides persuasive evidence that exposure to fine particulate air pollution has adverse effects on cardiopulmonaryhealth. Although much of this research has been motivated by environmental public health policy, these results have important scientific, medical, and public health implications that are broader than debates over legally mandated air quality standards.",https://doi.org/10.1080/10473289.2006.10464485
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
Does Air Quality Matter? Evidence from the Housing Market,Kenneth Y. Chay|Michael Greenstone,2005,996,NOT Open Access,,https://doi.org/10.1086/427462
"Airports, Air Pollution, and Contemporaneous Health",Wolfram Schlenker|William R. Walker,2015,609,NOT Open Access,,https://doi.org/10.1093/restud/rdv043
"Environment, Health, and Human Capital",Joshua Graff Zivin|Matthew Neidell,2013,581,NOT Open Access,,https://doi.org/10.1257/jel.51.3.689
The Sports Business as a Labor Market Laboratory,Lawrence M. Kahn,2000,536,Open Access,"With superior data on compensation and productivity, as well as the occurrence of abrupt, dramatic market structure and player allocation rules changes, sports labor markets offer an excellent setting in which to test economic hypotheses. This paper reviews evidence from sports in four areas: employer monopsony, discrimination, the Coase Theorem, and incentive contracts, supervision and performance. There is considerable evidence of monopsony as well as for the existence of some forms of discrimination against minority athletes. Incentive contracts have strong effects on player performance and behavior, and there is mixed evidence on the predictions of the Coase Theorem.",https://doi.org/10.1257/jep.14.3.75
Environmental regulations on air pollution in China and their impact on infant mortality,Shinsuke Tanaka,2015,501,NOT Open Access,,https://doi.org/10.1016/j.jhealeco.2015.02.004
Epidemiology of Fine Particulate Air Pollution and Human Health: Biologic Mechanisms and Who's at Risk?,C. Arden Pope,2000,401,Open Access,"This article briefly summarizes the epidemiology of the health effects of fine particulate air pollution, provides an early, somewhat speculative, discussion of the contribution of epidemiology to evaluating biologic mechanisms, and evaluates who's at risk or is susceptible to adverse health effects. Based on preliminary epidemiologic evidence, it is speculated that a systemic response to fine particle-induced pulmonary inflammation, including cytokine release and altered cardiac autonomic function, may be part of the pathophysiologic mechanisms or pathways linking particulate pollution with cardiopulmonary disease. The elderly, infants, and persons with chronic cardiopulmonary disease, influenza, or asthma are most susceptible to mortality and serious morbidity effects from short-term acutely elevated exposures. Others are susceptible to less serious health effects such as transient increases in respiratory symptoms, decreased lung function, or other physiologic changes. Chronic exposure studies suggest relatively broad susceptibility to cumulative effects of long-term repeated exposure to fine particulate pollution, resulting in substantive estimates of population average loss of life expectancy in highly polluted environments. Additional knowledge is needed about the specific pollutants or mix of pollutants responsible for the adverse health effects and the biologic mechanisms involved.",https://doi.org/10.2307/3454408
Quitters Never Win: The (Adverse) Incentive Effects of Competing with Superstars,Jennifer Brown,2011,392,NOT Open Access,,https://doi.org/10.1086/663306
Taxation and International Migration of Superstars: Evidence from the European Football Market,Henrik Kleven|Camille Landais|Emmanuel Saez,2013,376,NOT Open Access,,https://doi.org/10.1257/aer.103.5.1892
"The possession game? A comparative analysis of ball retention and team success in European and international football, 2007–2010",Christian Collet,2012,303,NOT Open Access,,https://doi.org/10.1080/02640414.2012.727455
"Strike Three: Discrimination, Incentives, and Evaluation",Christopher A. Parsons|Johan Sulaeman|Michael Yates|Daniel S. Hamermesh,2011,296,NOT Open Access,,https://doi.org/10.1257/aer.101.4.1410
Air pollution and infant mortality: A natural experiment from power plant desulfurization,Simon Luechinger,2014,139,NOT Open Access,,https://doi.org/10.1016/j.jhealeco.2014.06.009
"Air pollution, avoidance behaviour and children's respiratory health: Evidence from England",Katharina Janke,2014,137,Open Access,,https://doi.org/10.1016/j.jhealeco.2014.07.002
Effect of air pollution on athlete health and performance,Kenneth W. Rundell,2012,118,NOT Open Access,,https://doi.org/10.1136/bjsports-2011-090823
Passing patterns before and after goal scoring in FA Premier League Soccer,Athalie Redwood‐Brown,2008,91,NOT Open Access,,https://doi.org/10.1080/24748668.2008.11868458
Confidence enhanced performance? – The causal effects of success on future performance in professional golf tournaments,Olof Rosenqvist|Oskar Nordström Skans,2015,68,NOT Open Access,,https://doi.org/10.1016/j.jebo.2015.06.020
