Title,Author,Year,Citation count,Open access,DOI,Abstract
Hedonic Prices and Implicit Markets: Product Differentiation in Pure Competition,Sherwin Rosen,1974,10743,NOT Open Access,https://doi.org/10.1086/260169,
The Quarterly Journal of Economics,Simon Kuznets,2024,7247,NOT Open Access,https://doi.org/10.4324/9781003549741-8,
Robust Inference With Multiway Clustering,A. Colin Cameron|Jonah B. Gelbach|Douglas L. Miller,2011,3151,NOT Open Access,https://doi.org/10.1198/jbes.2010.07136,
Performance Pay and Productivity,Edward P. Lazear,2000,2541,NOT Open Access,https://doi.org/10.1257/aer.90.5.1346,
Acute Respiratory Effects of Particulate Air Pollution,Douglas W. Dockery|C. Arden Pope,1994,2201,Open Access,https://doi.org/10.1146/annurev.pu.15.050194.000543,"In the 1930s, 40s, and 50s, several episodes of extreme air pollution focused attention on the potential for adverse health effects of air pollution. These included an episode in the Meuse Valley, Belgium, in December 1930 ( 15), an episode in Donora, Pennsylvania in 1948 (36), and several episodes in"
Particulate air pollution and acute health effects,Anthony Seaton|David Godden|William MacNee|Ken Donaldson,1995,2189,NOT Open Access,https://doi.org/10.1016/s0140-6736(95)90173-6,
Does Working from Home Work? Evidence from a Chinese Experiment *,Nicholas Bloom|James Liang|John Roberts|Zhichun Jenny Ying,2014,1966,NOT Open Access,https://doi.org/10.1093/qje/qju032,
Environmental Health Perspectives,TJ Goehl,2002,1943,Open Access,https://doi.org/10.1289/ehp.110-1240809,
Random group effects and the precision of regression estimates,Brent R. Moulton,1986,1664,NOT Open Access,https://doi.org/10.1016/0304-4076(86)90021-7,
The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather,Olivier Deschênes|Michael Greenstone,2007,1317,Open Access,https://doi.org/10.1257/aer.97.1.354,"This paper measures the economic impact of climate change on US agricultural land by estimating the effect of random year-to-year variation in temperature and precipitation on agricultural profits. The preferred estimates indicate that climate change will increase annual profits by $1.3 billion in 2002 dollars (2002$) or 4 percent. This estimate is robust to numerous specification checks and relatively precise, so large negative or positive effects are unlikely. We also find the hedonic approach—which is the standard in the previous literature—to be unreliable because it produces estimates that are extremely sensitive to seemingly minor choices about control variables, sample, and weighting. (JEL L25, Q12, Q51, Q54)"
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
The Economic Impacts of Climate Change: Evidence from Agricultural Output and Random Fluctuations in Weather: Comment,Anthony C. Fisher|W. Michael Hanemann|Michael J. Roberts|Wolfram Schlenker,2012,1079,Open Access,https://doi.org/10.1257/aer.102.7.3749,"In a series of studies employing a variety of approaches, we have found that the potential impact of climate change on US agriculture is likely negative. Deschênes and Greenstone (2007) report dramatically different results based on regressions of agricultural profits and yields on weather variables. The divergence is explained by (1) missing and incorrect weather and climate data in their study; (2) their use of older climate change projections rather than the more recent and less optimistic projections from the Fourth Assessment Report; and (3) difficulties in their profit measure due to the confounding effects of storage."
Temperature and the Allocation of Time: Implications for Climate Change,Joshua Graff Zivin|Matthew Neidell,2013,1019,NOT Open Access,https://doi.org/10.1086/671766,
