longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,1939118,Brain Drain: The Impact of Air Pollution on Firm Performance,"Air pollution is a growing hazard to human health. This study examines whether air pollution affects the formation of corporate human capital and thereby firm performance. We find that people exhibit an intention to look for jobs in less polluted areas when air pollution is high in their location. This suggests that individuals arrange their lives at least partially in response to air pollution. Consistent with this hypothesis, we find that the level of skilled executives and employees at a firm drops significantly when information on pollution in the firm's location is accessible in real time and when the pollution level in the firm's location increases, especially in locations where air pollution poses greater health concerns. In addition, parallel reductions in firm productivity and value are found and become more salient when firms have a greater dependence on human capital.",20211001,"Xue, Shuyu ; Zhang, Bohui ; Zhao, Xiaofeng",Journal Article,Journal Article,October 2021,true,Journal of Environmental Economics and Management,"Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Firm Performance: Size, Diversification, and Scope ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0095-0696,,,,,eng,,,,,110,,10.1016/j.jeem.2021.102546,,,,https://research.ebsco.com/plink/044ce6ec-8f14-33fc-b32d-c600c1242968,,,,
EconLit with Full Text,eoh,1965304,"This is Air: The ""Non-Health"" Effects of Air Pollution","A robust body of evidence shows that air pollution exposure is detrimental to health outcomes, often measured as deaths and hospitalizations. This literature has focused less on subclinical channels that nonetheless impact behavior, performance, and skills. This article reviews the economic research investigating the causal effects of pollution on ""non-health"" endpoints, including labor productivity, cognitive performance, and multiple forms of decision making. Subclinical effects of pollution can be more challenging to observe than formal health care encounters but may be more pervasive if they affect otherwise healthy people. The wide variety of possible impacts of pollution should be informed by plausible mechanisms and require appropriate hypothesis testing to limit false discovery. Finally, any detected effects of pollution, both in the short and long run, may be dampened by costly efforts to avoid exposure ex-ante and remediate its impacts ex-post; these costs must be considered for a full welfare analysis",20220101,"Aguilar-Gomez, Sandra ; Dwyer, Holt ; Zivin, Joshua S. Graff ; Neidell, Matthew J.",Working Paper,Working Paper,2022,,"This is Air: The ""Non-Health"" Effects of Air Pollution",Health Behavior ; General Welfare; Well-Being ; Time Allocation and Labor Supply ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 29848",,,,,,,,,,https://research.ebsco.com/plink/657fff35-de48-308d-9d29-9543e9a08f9d,,,,
EconLit with Full Text,eoh,1982230,The Fertility Consequences of Air Pollution in China,"We incorporate pollution exposure into Becker's ""Quantity-Quality"" (Q-Q) model of fertility and quantify how air pollution distorts individuals' fertility behaviors in China. We document a robust pattern in which increased pollution over time negatively affects the fertility of ethnic Han people, who comprise approximately 92% of the Chinese population. These patterns are evident in both cross-sectional and panel data, when instrumenting for pollution using distant coal-fired plants upwind of cities or thermal inversions that trap pollution. Consistent with the stylized Q-Q model of fertility, we find that increased pollution drives up the parental expenditure per child, which increases the shadow price associated with the number of children and reduces fertility. Consistent with the model, we also find that the fertility choices of people who tend to have higher demand for child quality are significantly more sensitive to pollution changes. Pollution does not have a meaningful effect on the fertility of ethnic minorities, which can also be explained under the Q-Q framework.",20220101,"Gao, Xuwen ; Song, Ran ; Timmins, Christopher",Working Paper,Working Paper,2022,,The Fertility Consequences of Air Pollution in China,Fertility; Family Planning; Child Care; Children; Youth ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,GEN,,,,,,,,eng,"National Bureau of Economic Research, Inc, NBER Working Papers: 30165",,,,,,,,,,https://research.ebsco.com/plink/89e61e50-fc49-3592-8534-6f05871a4574,,,,
EconLit with Full Text,eoh,1706020,The Sectoral and Regional Economic Consequences of Outdoor Air Pollution to 2060,"This paper provides an assessment of the costs of inaction of outdoor air pollution in the coming decades, focusing on the market impacts relative to additional health expenditures, changes in labour productivity and crop yield losses. The results show that the global economic costs of outdoor air pollution gradually increase to 1% of global GDP by 2060, with highest GDP losses in China, the Caspian region and Eastern Europe. These economic consequences stem from a combination of exposure to high concentrations, aging population and relatively high pollution-related health expenditures that crowd out other consumption and savings. While the direct costs of these market impacts grow more or less at the same pace as total economic activity, the indirect economic costs induced by these impacts become increasingly significant over time. Numerical results are more sensitive to the specification of the feedbacks to the economic model than to the parameter values used in calibrating the impacts; the most optimistic specifications lead to significantly lower costs of air pollution, but qualitative conclusions on the sign of effects and ordering of regional consequences are robust. Non-market damages, especially the welfare losses from premature deaths, are potentially an order of magnitude larger than the market damages that this paper focuses on, but those do not directly affect the economy. These findings on the costs of inaction of outdoor air pollution underline the need for policy action that would reduce the health and environmental impacts as well as lead to economic benefits.",20180301,"Lanzi, Elisa ; Dellink, Rob ; Chateau, Jean",Journal Article,Journal Article,March 2018,true,Energy Economics,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Socialist Systems and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Institutions and Their Transitions: Consumer Economics; Health; Education and Training: Welfare, Income, Wealth, and Poverty ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy",JOUR,,,0140-9883,,,,,eng,,113,89,25,71,,10.1016/j.eneco.2018.01.014,,,,https://research.ebsco.com/plink/9763a141-ba32-3d53-a5a4-a787a8e17dcb,,,,
EconLit with Full Text,eoh,1715134,Fiscal Spending and Air Pollution in Chinese Cities: Identifying Composition and Technique Effects,"Fiscal spending has both direct and indirect impact on the environment. Using city-level data in China, this paper investigates if education spending affects air pollution through human capital accumulation, known as the composition effect, and if R&D spending affects air pollution through clean-technology adoption, known as the technique effect. Contrasting theoretical predictions and previous empirical evidence, we find both effects of interest to be trivial in urban China. Composition effect appears to be slightly stronger relative to technique effect, while sub-sample analyses show some regional heterogeneities. The results remain robust when we switch between pollution measurements, examine only the regional central cities, instrument endogenous covariates, and adopt the spatial settings. We further discuss potential channel-blocking mechanisms that lead to weak estimates.",20180201,"Hua, Yue ; Xie, Rui ; Su, Yaqin",Journal Article,Journal Article,February 2018,true,China Economic Review (1043951X),"State and Local Budget and Expenditures ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure ; Socialist Systems and Transitional Economies: Natural Resources; Energy; Environment ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Technological Innovation",JOUR,,,1043-951X,,,,,eng,,169,156,14,47,,,,,,https://research.ebsco.com/plink/bc6084ad-6d4a-38df-916b-3e6b4c0289ec,,,,
EconLit with Full Text,eoh,1747771,Three Essays in Labor Productivity,"This dissertation is a collection of three independent essays in studying the causes and consequences of labor productivity. In the first two chapters, I examine the health and labor productivity effects of pollution. In the third chapter, I study whether government policies can help to improve labor productivity, with special focus on workers' work effort provision. The first two chapters investigate the causal effects of air pollution on cognitive ability. In the first chapter, I estimate the causal effects of particulate matter (PM10) on cognitive ability. Cognitive ability is measured by the Mini-Mental Status Examination (MMSE), which is one of the most commonly used instruments for systematically screening cognitive function. To exploit the exogenous pollution variation, I use the drastic air pollution regulations around the 2008 Beijing Olympic Games as a quasi-natural experiment. By comparing Beijing with other selected unregulated provinces before and after the regulation period, I find that PM10 has significant negative impacts on cognitive ability. In the second chapter, I estimate the causal effects of sulfur dioxide (SO2) on cognitive ability, using the same quasi-natural experiment as in the first chapter. Since the data on SO2 are only available for one year, I apply the cross-sectional instrumental variable approach in this study. The results show that SO2 can significantly reduce cognitive ability. While research on the impacts of air pollution on labor productivity has generally focused on the extensive margin (i.e., labor supply), recent studies find that the impacts also occur on the intensive margin whereby productivity is affected, even when labor supply does not change. Since brain function is highly related to human capital and labor productivity, the findings in the first two chapters highlight the potential mechanism of the impacts of air pollution on the intensive margin. The third chapter studies the macroeconomic implications of minimum wage incorporating workers' work effort responses. I analyze the issue in an environment where work effort positively affects output and determines workers' probability of being laid off. When making search decisions, firms and workers take into account the trade-off between the value of an offer and the associated matching rate. Minimum wage policy affects firms' contracting decision corresponding to workers' effort responses, which further affects workers' and firms' search decisions. These assumptions enable me to analyze the effects of minimum wage on the behavior of both the labor supply and demand sides. The steady state comparison of the calibrated model shows that minimum wage increases work effort and unemployment rate. Moreover, the average hiring, layoff, and quit rates decrease. Due to the higher unemployment, the aggregate output decreases even with the higher average work effort. Lastly, shutting down the effort channel entirely leads to greater labor market impacts. These results suggest that workers' work effort have strong offsetting effects on the cost of higher minimum wage.",20180601,"Sun, Meng",Dissertation,Dissertation,June 2018,,Three Essays in Labor Productivity,"Time Allocation and Labor Supply ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Socialist Systems and Transitional Economies: Factor and Product Markets; Industry Studies; Population ; Socialist Systems and Transitional Economies: Urban, Rural, and Regional Economics ; Socialist Systems and Transitional Economies: Natural Resources; Energy; Environment ; Climate; Natural Disasters and Their Management; Global Warming",GEN,,,,,,,,eng,University of Calgary,,,,,,,,,,https://research.ebsco.com/plink/5d779778-3b83-3373-88dc-23c19e058c35,,,,
EconLit with Full Text,eoh,1704398,Profitable Pollution Abatement? A Worker Productivity Perspective,"Based on the empirical evidence that improved environmental quality makes workers more productive, this paper develops a model that pollution abatement can raise firm profitability by enhancing worker productivity. We investigate two types of environmental regulations--government intervention and voluntary regulation, showing that both can induce the collective action of imperfectly competitive firms to abate pollution, which increases their profits as well as social welfare. A pollution tax can prompt a firm to raise output if the productivity gain arising from total pollution reduction offsets the firm's pollution cost. We characterize the optimal pollution tax and demonstrate that the combination of a pollution tax and an output subsidy can lead to the social optimum. Voluntary regulation tends to fully internalize the productivity effect of reduced pollution for firms, although it facilitates firms' collusion in restricting production. Moreover, we conduct a simulation evaluating the welfare consequences of the two regulations in comparison with the social optimum.",20180501,"Pang, Yu",Journal Article,Journal Article,May 2018,true,Resource and Energy Economics,"Firm Behavior: Theory ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Safety; Job Satisfaction; Related Public Policy ; Labor Standards: Working Conditions ; Firm Performance: Size, Diversification, and Scope ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0928-7655,,,,,eng,,49,33,17,52,,10.1016/j.reseneeco.2017.12.003,,,,https://research.ebsco.com/plink/94a9d1e3-85b5-39a2-a9cf-89d3ef03b4c1,,,,
EconLit with Full Text,eoh,2141177,Essays on Macroeconomics and Market Failures,"What are the macroeconomic consequences of market failure in the long and short runs? How do asymmetric information, externality, and lack of the rule of law contribute to resource misallocation, output, and the business cycle in an economy at the aggregate level? My research focuses on these research questions. Specifically, I explore the macroeconomic effects of asymmetric information, the external impacts of innovation decisions as a part of firm's dynamic decisions, and the implications of corruption on the fluctuation of the business cycle. In the first chapter, titled ""Hidden Information as a Source of Misallocation: An Application to the Opioid Crisis"", we develop a general equilibrium model in which essential information about employee productivity is hidden from employers, resulting in a suboptimal allocation of resources. The health of employees is unverifiable by employers, and employees with poor health are less productive than their healthier counterparts. We utilize this framework to examine the output losses associated with the opioid crisis. Workers with opioid use disorder exhibit higher absenteeism and reduced productivity, directly contributing to output losses. Furthermore, since employers cannot distinguish addicts from non-addicts, wages deviate from marginal productivity, leading to a suboptimal allocation of resources. Calibrating the model to the US, we find that opioid misuse reduces output by $133 billion and the misallocation channel accounts for 17.6% of this. The second chapter of my dissertation, titled ""Trade, Innovation, and Pollution"" presents a model examining the impact of reduced trade costs on pollution, particularly in scenarios with an extensive margin of innovation. While conventional wisdom suggests that international trade leads to increased pollution due to higher output from polluting firms, recent empirical evidence contradicts this notion. Our model reveals that some new exporters tend to adopt cleaner technologies, unintentionally becoming environmentally friendly producers. Calibrated with data from the Chilean economy, our findings indicate a 4.4% reduction in pollution emission between 1995 and 2007 as trade costs decline. Moreover, there is an increase in pollution without technology adoption, that is, when all or none of the firms innovate. An extensive margin of adopting new technology causes a reduction in total pollution and its intensity. For the third chapter, my research question is: ""Are Sovereign Wealth Funds a Good Idea in the Presence of Corruption?"" Commodity-exporting countries are highly vulnerable to commodity price shocks, and many governments establish sovereign wealth funds (SWFs) to smooth consumption and accumulate revenue during periods of high commodity prices, relative to the reference price. While SWFs are typically an important source of government revenue in such countries, their accumulation can also create opportunities for corruption that may undermine the benefits of stabilizing consumption. Mongolia is one such country where corruption is a significant problem (IMF, 2021). I analyze how corruption can diminish the effectiveness of SWFs in mitigating business cycle fluctuations in resource-rich countries, using data from Mongolia and developing a theoretical model.",20231201,"Dalkhjav, Bayarmaa",Dissertation,Dissertation,December 2023,,Essays on Macroeconomics and Market Failures,Externalities ; Asymmetric and Private Information; Mechanism Design ; Business Fluctuations; Cycles ; Trade and Environment ; Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity,GEN,,,,,,,,eng,University of New Hampshire,,,,,,,,,,https://research.ebsco.com/plink/3d252ec2-7c93-3f85-9f3b-b2c054a6625e,,,,
EconLit with Full Text,eoh,1748870,"Environmental Regulation, Emissions and Productivity: Evidence from Chinese COD-Emitting Manufacturers","In recent years, China's environmental regulation efforts have mainly focused on severely polluted ""key regions."" The central government has designated the ""three rivers and three lakes basins"" (3Rs3Ls) as key regions for water pollution control and has imposed a variety of regulations to improve water quality in those basins. This paper evaluates the effects of the water quality regulations on firms' emissions of chemical oxygen demand (COD) and productivity in the 3Rs3Ls basins. We find that although the water quality regulations forced many small, heavily-polluting firms to shut down, they had no statistically significant effects on surviving firms' productivity because they were ineffective in reducing their COD emissions. A policy that forces the surviving firms to reduce their emissions would reduce their output values and productivity, at least in the short run. However, the effect is likely to be small. Specifically, a 10% reduction in total COD emissions from the industrial sectors would require only a 0.1% reduction in output values under the current production technologies. These findings are robust to alternative specifications and sampling strategies.",20181101,"Wang, Chunhua ; Wu, JunJie ; Zhang, Bing",Journal Article,Journal Article,November 2018,true,Journal of Environmental Economics and Management,Industry Studies: Manufacturing: General ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Industrialization; Manufacturing and Service Industries; Choice of Technology ; Socialist Systems and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Enterprises and Their Transitions ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,0095-0696,,,,,eng,,73,54,20,92,,10.1016/j.jeem.2018.08.004,,,,https://research.ebsco.com/plink/ed78abc4-4c91-32c1-958a-35da0cf12ec2,,,,
EconLit with Full Text,eoh,1826196,The economic cost of air pollution: Evidence from Europe,"This study provides the first evidence that air pollution causes economy-wide reductions in market economic activity based on data for Europe. The analysis combines satellite-based measures of air pollution with statistics on regional economic activity at the NUTS-3 level throughout the European Union over the period 2000-15. An instrumental variables approach based on thermal inversions is used to identify the causal impact of air pollution on economic activity. The estimates show that a 1 microgram/m3 increase in PM2.5 concentration (or a 10% increase at the sample mean) causes a 0.8% reduction in real GDP that same year. Ninety-five per cent of this impact is due to reductions in output per worker, which can occur through greater absenteeism at work or reduced labour productivity. Therefore, the results suggest that public policies to reduce air pollution may contribute positively to economic growth. Indeed, the large economic benefits from pollution reduction uncovered in the study compare with relatively small abatement costs. Thus, more stringent air quality regulations could be warranted based solely on economic grounds, even ignoring the large benefits in terms of avoided mortality.",20190101,"Dechezlepretre, Antoine ; Rivers, Nicholas ; Stadler, Balazs",Working Paper,Working Paper,2019,,The economic cost of air pollution: Evidence from Europe,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Regional Economic Activity: Growth, Development, Environmental Issues, and Changes",GEN,,,,,,,,eng,"OECD Publishing, OECD Economics Department Working Papers: 1584",,,,,,,,,,https://research.ebsco.com/plink/d9b70b9d-ab5f-3e60-be42-c49d7e142651,,,,
