"Key,""Item Type"",""Publication Year"",""Author"",""Title"",""Publication Title"",""ISBN"",""ISSN"",""DOI"",""Url"",""Abstract Note"",""Date"",""Date Added"",""Date Modified"",""Access Date"",""Pages"",""Num Pages"",""Issue"",""Volume"",""Number Of Volumes"",""Journal Abbreviation"",""Short Title"",""Series"",""Series Number"",""Series Text"",""Series Title"",""Publisher"",""Place"",""Language"",""Rights"",""Type"",""Archive"",""Archive Location"",""Library Catalog"",""Call Number"",""Extra"",""Notes"",""File Attachments"",""Link Attachments"",""Manual Tags"",""Automatic Tags"",""Editor"",""Series Editor"",""Translator"",""Contributor"",""Attorney Agent"",""Book Author"",""Cast Member"",""Commenter"",""Composer"",""Cosponsor"",""Counsel"",""Interviewer"",""Producer"",""Recipient"",""Reviewed Author"",""Scriptwriter"",""Words By"",""Guest"",""Number"",""Edition"",""Running Time"",""Scale"",""Medium"",""Artwork Size"",""Filing Date"",""Application Number"",""Assignee"",""Issuing Authority"",""Country"",""Meeting Name"",""Conference Name"",""Court"",""References"",""Reporter"",""Legal Status"",""Priority Numbers"",""Programming Language"",""Version"",""System"",""Code"",""Code Number"",""Section"",""Session"",""Committee"",""History"",""Legislative Body""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"JYTU6R56,""journalArticle"",""2026"",""Nichols, Kristopher L."; Matt-Navarro, Johanna M.; Doiron, Maxim K.; d'Adda, Giovanna; Weber, Elke U.;" Constantino, Sara M."",""Do risk, time, and social preferences predict sustainable behavior? Evidence from a qualitative synthesis and meta-analysis"",""Ecological Economics"","""",""09218009"",""10.1016/j.ecolecon.2025.108804"",""https://linkinghub.elsevier.com/retrieve/pii/S0921800925002873"",""Despite the urgency of addressing environmental challenges, from the overuse of natural resources to climate change, action is grossly lacking. Environmental challenges often unfold over long time horizons, involve risk and uncertainty, and pit self-interest against collective outcomes. This has led some scholars to explain inaction and the persistence of environmental challenges by appealing to social and psychological factors such as temporal discounting, risk aversion, and self-interest—preferences commonly assumed in microeconomic models of decision-making. If this is the case, it has implications for the design of interventions, policies, and institutions to promote sustainable actions. Yet, empirical evidence relating these preferences to sustainable behavior is mixed. We conduct a systematic literature review (75 papers"; 426 effect sizes) and meta-analysis (39 papers;" 299 effect sizes) of studies from 29 countries that elicit time, risk, and social preferences and correlate these with real-world environmentally-relevant behaviors. Overall, we find limited evidence that economic preferences assessed in the lab are strong predictors of sustainable behaviors—the relationship is only significant when preferences are elicited in the field setting (“lab-in-field”). In subgroup analyses, we find that prosocial preferences are a significant predictor of environmental behaviors, and the effect is stronger for studies where preferences are elicited using protocols that are framed in terms of real world impacts or conducted in the field. We also find that time, risk and social preferences predict monetary donations to environmental causes. These findings suggest a nuanced and modest relationship between economic preferences assessed in the lab and sustainable behaviors."",""2026-04"",""2026-07-09 16:15:35"",""2026-07-09 16:15:35"",""2026-07-09 16:15:35"",""108804"","""","""",""242"","""",""Ecological Economics"",""Do risk, time, and social preferences predict sustainable behavior?"","""","""","""","""","""","""",""en"","""","""","""","""",""DOI.org (Crossref)"","""","""","""",""C:\Users\196408\Zotero\storage\8J9SKWQH\Nichols et al. - 2026 - Do risk, time, and social preferences predict sustainable behavior Evidence from a qualitative synt.pdf"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3M3ZB5V8,""journalArticle"",""2024"",""Werner, Kim"",""The need to (climate) adapt: perceptions of German sports event planners on the imperative to address climate change."",""Frontiers in sports and active living"","""","""",""10.3389/fspor.2024.1505372"","""",""<AbstractText Label=""""Introduction"""" NlmCategory=""""UNASSIGNED"""">While the impact of anthropogenic climate change on sports and the subsequent need for adaptation to evolving climatic conditions are acknowledged, there remains a notable paucity of scientific inquiry within the realm of sports and sports event studies specifically addressing climate change and its ramifications for event planning and management. Existing studies predominantly stem from health, medical, weather and climate science and mostly focus on mega-events and elite athlete contexts. Moreover, they often only focus on one specific impact (e.g., extreme heat) without providing a comprehensive summary or overview of all eminent impacts, resulting risks and potential adaptation strategies. This study aims to explore how (German) sports events are impacted by climate change and identify measures for organizers to address these impacts.</AbstractText> <AbstractText Label=""""Methods"""" NlmCategory=""""UNASSIGNED"""">Following a comprehensive literature review, semi-structured interviews with event planners and organizers in Germany were conducted, ranging from small local events to weekly league competitions to national championships and major events.</AbstractText> <AbstractText Label=""""Results"""" NlmCategory=""""UNASSIGNED"""">The findings demonstrate that climate change adaptation is not yet a primary focus in the German sports event context. While some planners, especially those of large-scale events, have started implementing adaptation measures, others are only beginning to address the issue.</AbstractText> <AbstractText Label=""""Discussion"""" NlmCategory=""""UNASSIGNED"""">The study discusses the challenges that sports event organizers face in adjusting to the adverse effects of climate change and also examines specific adaptation strategies. The paper emphasizes the imperative for organizers to incorporate climate adaptation measures more effectively into routine event planning and management processes, and provides practical guidelines to achieve this integration.</AbstractText> <CopyrightInformation>© 2024 Werner.</CopyrightInformation>"",""2024"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""1505372-1505372"","""",""NA"",""6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"QCK93WFM,""journalArticle"",""2018"",""Mullins, Jamie T."",""Ambient air pollution and human performance: Contemporaneous and acclimatization effects of ozone exposure on athletic performance"",""Health economics"","""","""",""10.1002/hec.3667"","""",""This paper utilizes a unique dataset of competitive outcomes from intercollegiate track and field competition to identify the relationship between recent ambient pollution exposure histories and human performance among a young and fit population in a diverse range of physically demanding """"tasks"""". I find that higher contemporaneous ozone levels are associated with poorer performances in events that heavily tax the respiratory system. This is the case despite the low exposure levels observed in the studied sample, which are similar to those regularly experienced across the developed world. Such negative performance effects imply that observed ozone exposures are leading to physiological harm, which can be expected to negatively impact economic outcomes through both health and productivity channels. Leveraging the unique structure of the data- which includes location information for competitions and home institutions- I also identify an acclimatization effect whereby recent exposure to higher ozone levels serves to reduce the negative effects of contemporaneous exposure. This finding underscores the importance of regulating peak ozone levels rather than only mean concentrations, as spikes in ambient ozone levels can be particularly damaging to exposed populations."",""2018"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""1189-1200"","""",""8"",""27"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"L2YIHJ9B,""journalArticle"",""0000"",""Luo, Sixuan"",""Grey fields in rural China: Industrial pollution and agricultural productivity losses"",""Land Use Policy"","""","""",""10.1016/j.landusepol.2026.108257"","""",""NA"",""0000"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""108257-NA"","""",""NA"",""171"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2JH3VT33,""journalArticle"",""2022"",""Naidenova, Iuliia"; Parshakov, Petr;" Suvorov, Sergei"",""Air pollution and individual productivity: Evidence from the Ironman Triathlon results."",""Economics and human biology"","""","""",""10.1016/j.ehb.2022.101159"","""",""NA"",""2022"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""101159-101159"","""",""NA"",""47"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"VWV7D266,""journalArticle"",""2025"",""Balleer, Almut"; Hirsch, Michael;" Noeller, Marvin"",""How are You Doing Today? Air Quality and Subjective Well-Being Across Time and Space in Germany"",""NA"","""","""",""10.2139/ssrn.5370703"","""",""NA"",""2025"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"JUFILUCZ,""journalArticle"",""2022"",""Palma, Alessandro"; Petrunyk, Inna;" Vuri, Daniela"",""Prenatal air pollution exposure and neonatal health."",""Health economics"","""","""",""10.1002/hec.4474"","""",""Air pollution has been shown to have adverse effects on many health outcomes including respiratory effects, cardiovascular effects, and mortality. However, evidence on the effects of prenatal exposure is still limited. We investigate the causal impact of prenatal exposure to air pollution on neonatal health in Italy in the 2000s. We exploit variation in rainfall shocks to instrument for non-random air pollution exposure. Our empirical setting combines detailed information on mother's residential location from birth certificates with PM<sub>10</sub> concentrations from air pollution monitors. Ten additional units in the average PM<sub>10</sub> level (approximately one standard deviation) would decrease birth weight by about 0.5% and gestational age by 0.16%";" it would increase the prevalence of low birth weight by 22% and of preterm birth by 16%. The effects are stronger in magnitude for third trimester exposure and for less educated mothers. These findings suggest that the health impacts of air pollution on newborns are unequally distributed in the population."",""2022"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""729-759"","""",""5"",""31"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Y9FC57CT,""journalArticle"",""2024"",""Bellani, Luna"; Ceolotto, Stefano; Elsner, Benjamin;" Pestel, Nico"",""The political fallout of air pollution."",""Proceedings of the National Academy of Sciences of the United States of America"","""","""",""10.1073/pnas.2314428121"","""",""This paper studies the effect of air pollution on voting outcomes. We use data from 60 federal and state elections in Germany from 2000 to 2018 and exploit plausibly exogenous fluctuations in ambient air pollution within counties across election dates. Higher air pollution on election day shifts votes away from incumbent parties and toward opposition parties. An increase in the concentration of particulate matter (PM10) by 10 [Formula: see text]g/m[Formula: see text]-around two within-county SDs-reduces the vote share of incumbent parties by two percentage points, which is equivalent to 4% of the mean vote share. We generalize these findings by documenting similar effects with data from a weekly opinion poll and a large-scale panel survey. We provide further evidence that poor air quality leads to more negative emotions such as anger, worry, and unhappiness, which, in turn, may reduce the support for the political status quo. Overall, these results suggest that poor air quality affects decision-making in the population at large, including consequential political decisions."",""2024"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""e2314428121-e2314428121"","""",""18"",""121"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"G4BZD8LG,""journalArticle"",""2023"",""Hasan, Md. Mahadi";" Adnan, A.T.M."",""Nexus between environmental sustainability, energy intensity and food security: evidence from emerging economies"",""Journal of Business and Socio-economic Development"","""","""",""10.1108/jbsed-05-2023-0044"","""",""<jats:sec><jats:title content-type=""""abstract-subheading"""">Purpose</jats:title><jats:p>Growing food insecurity is a leading cause of fatalities, particularly in developing nations like Sub-Saharan Africa and Southeast Asia. However, the rising energy consumption and carbon dioxide (CO2) emissions are mostly associated with food production. Balancing the trade-offs between energy intensity and food security remains a top priority for environmentalists. Despite the critical role of the environment in food security, there is a scarcity of substantial studies that explore the statistical connections among food security, CO2 emissions, energy intensity, foreign direct investment (FDI) and per capita income. Therefore, this study aims to provide more precise and consistent estimates of per capita CO2 emissions by considering the interplay of food security and energy intensity within the context of emerging economies.</jats:p></jats:sec><jats:sec><jats:title content-type=""""abstract-subheading"""">Design/methodology/approach</jats:title><jats:p>To examine the long-term relationships between CO2 emissions, food security, energy efficiency, FDI and economic development in emerging economies, this study employs correlated panel-corrected standard error, regression with Newey–West standard error and regression with Driscoll–Kraay standard error models (XTSCC). The analysis utilizes data spanning from 1980 to 2018 and encompasses 32 emerging economies.</jats:p></jats:sec><jats:sec><jats:title content-type=""""abstract-subheading"""">Findings</jats:title><jats:p>The study reveals that increasing food security in a developing economy has a substantial positive impact on both CO2 emissions and energy intensity. Each model, on average, demonstrates that a 1 percent improvement in food security results in a 32% increase in CO2 levels. Moreover, the data align with the Environmental Kuznets Curve (EKC) theory, as it indicates a positive correlation between gross domestic product (GDP) in developing nations and CO2 emissions. Finally, all experiments consistently demonstrate a robust correlation between the Food Security Index (FSI), energy intensity level (EIL) and exchange rate (EXR) in developing markets and CO2 emissions. This suggests that these factors significantly contribute to environmental performance in these countries.</jats:p></jats:sec><jats:sec><jats:title content-type=""""abstract-subheading"""">Originality/value</jats:title><jats:p>This study introduces novelty by employing diverse techniques to uncover the mixed findings regarding the relationship between CO2 emissions and economic expansion. Additionally, it integrates energy intensity and food security into a new model. Moreover, the study contributes to the literature by advocating for a sustainable development goal (SDG)-oriented policy framework that considers all variables influencing economic growth.</jats:p></jats:sec>"",""2023"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""139-154"","""",""2"",""5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
