,Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n,asreview_group_id,asreview_label,asreview_time,asreview_note
17,"Yang, Yefei; Wang, Ziwei; Dong, Ciwei; Cheng, T. C. E.",how does heavy haze weather impact operational efficiency an empirical study of chinese manufacturing firms,2024,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,,10.1016/j.ijpe.2024.109264,0,"Global warming has escalated the frequency of extreme climate events. Considering the escalating severity of air pollution, investigating its potential to cause operational problems is of value. Some studies have explored air pollution's effects from individual perspectives, including emotions, attitudes, and decision-making behaviors. Yet, the influence of heavy haze weather on firm performance from an operations management viewpoint remains uninvestigated. This study seeks to address this research gap. Utilizing a longitudinal dataset from 2255 manufacturing firms between 2014 and 2020, this study empirically examines heavy haze weather's impact on operational efficiency. Three contingency categories are identified: strategic positioning, structural contingency, and institutional factors. The findings suggest that heavy haze weather adversely impacts operational efficiency, notably for firms with cost leadership strategies and high labor productivity, whereas such effect can weaken in the firms with process standardization and governmental environment inspection. Enhancing the understanding about the effect of heavy haze weather on operational performance, these findings offer strategic insights for firms to mitigate heavy haze weather and provide empirical support for government to make environmental policymaking.",,,,Web of Science,,10.1016/j.ijpe.2024.109264,17,1,2026-07-01 12:04:12,
40,"Li, Bin; Shi, Shuai; Zeng, Yating",the impact of haze pollution on firm level tfp in china test of a mediation model of labor productivity,2020,SUSTAINABILITY,,10.3390/su12208446,0,"The core issue for China's economy to shift from high-speed growth to high-quality development is to raise total factor productivity (TFP). Based on the data of A-share listed companies from 2013 to 2017 and the air quality monitoring data released by the China National Environmental Monitoring Centre, this paper conducts an empirical test on the relationship between haze pollution, labor productivity, and firm-level TFP by using the mediation effect test model. The results show the following: First, haze pollution will reduce a firm's TFP. Second, labor productivity plays a partial intermediary role between haze pollution and a firm's TFP. Haze pollution will not only have a direct negative impact on a firm-level TFP but also reduce a firm-level TFP by reducing labor productivity. Subsequently, the robustness test was carried out by means of a substitution of independent variables and dependent variables, and the results all supported the hypotheses in this paper. In addition, the heterogeneity of the industry and the ownership of listed companies was analyzed, and the two-stage least squares (2SLS) method was used to solve the endogeneity problem. The conclusions of this paper are helpful to clarify the relationship between haze pollution, firm factor productivity, and firm-level TFP. The paper's findings also provide a practical basis for firms to further improve TFP from the perspective of air pollution problems such as haze.",,,,Web of Science,,10.3390/su12208446,40,1,2026-07-01 12:05:15,
32,"Wu, Yaqian; Li, Jiyuan",does air pollution matter for audit process and audit outcomes evidence from china,2025,JOURNAL OF CONTEMPORARY ACCOUNTING & ECONOMICS,,10.1016/j.jcae.2024.100451,0,"We investigate the impact of air pollution on audit process and audit outcomes using unique data from the Chinese capital market between 2013 and 2020. We find that auditors exert less effort in client firms located in cities with severe air pollution, leading to lower audit quality represented by a lower probability of and fewer audit adjustments. The cross-sectional analysis shows that auditors from Big 4 audit firms can mitigate the effect of air pollution on audit effort and audit quality. We also draw some interesting conclusions about the effect of auditors' perceptions of air pollution variation in both spatial and time dimensions, and the impact of COVID-19. Our findings still hold in several robustness checks such as using alternative proxies, controlling for more fixed effects, considering mutual selection issues, employing regression discontinuity design, utilizing instrument variables method, and conducting placebo tests. Our study contributes to the emerging literature on behavioral finance by extending the research into ambient air pollution to the auditing context, provides new insights into the determinants of audit effort and audit quality, and has some implications for regulators.",,,,Web of Science,,10.1016/j.jcae.2024.100451,32,1,2026-07-01 12:16:57,
7,"Fan, Mingxuan; Grainger, Corbett",the impact of air pollution on labor supply in china,2023,SUSTAINABILITY,,10.3390/su151713082,0,"A growing body of literature demonstrates that air pollution has negative impacts on human health, cognitive ability, and labor productivity, but little is known about the effect of chronic air pollution on labor supply decisions. We use restricted-access individual-level panel data from the China Family Panel Survey (CFPS), paired with sub-district level remote-sensing estimates of air pollution, to evaluate the impact of chronic exposure to fine particulate matter (PM2.5) on an individual's hours worked. We exploit within-individual changes in air pollution, and fixed effects estimates indicate that an increase of 1 mu g/m(3) in PM2.5 reduces an individual's average hours worked by about 14 min per week. We then leverage the city-level roll-out of air pollution monitoring and information provision to test hypotheses about the underlying mechanisms. We show that individuals with poor health respond to changes in PM2.5 the most. For individuals who are environmentally unaware, this effect is mostly through an impact of pollution on health, while individuals who are environmentally aware engage in avoidance behavior. Finally, the roll-out of monitoring and information provision at the city level plays an important role in raising awareness and individuals' responsiveness to pollution.",,,,Web of Science,,10.3390/su151713082,7,1,2026-07-01 12:18:06,
9,"Ni, Wenli; Hu, Xiurong; Ju, Yi; Wang, Qunwei",air pollution and indoor work efficiency evidence from professional basketball players in china,2023,JOURNAL OF CLEANER PRODUCTION,,10.1016/j.jclepro.2023.136644,0,"Previous studies analysing the effects of air pollution on work efficiency did not pay much attention to indoor impacts. This paper attempts to fill this gap by using technical data from Chinese Basketball Association (CBA) players. For the first time, we present personal work efficiency using a comprehensive evaluation index, the player efficiency rating (PER). The information is then combined with daily air quality data. We find that air pollution reduces work productivity: for every 10% increase in the air quality index (AQI), the average PER decreases by 0.4221, and the effects vary by air pollutant. Heterogeneity analysis shows that at the level of competition venues, the negative impact of air pollution on work efficiency can be weakened at home, while the rising temperature in the competition city can amplify the negative impact of air pollution on work efficiency. At the level of individual players, older players and foreign players are less affected by air pollution. Moreover, we find that air pollution affects work efficiency by reducing total work output and work accuracy. Our research constructs a comprehensive evaluation index for work efficiency, enriches research on the influence of air pollution on work efficiency, and provides a policy basis for identifying groups that are sensitive to air pollution, which might help with air pollution control policy making.",,,,Web of Science,,10.1016/j.jclepro.2023.136644,9,1,2026-07-01 12:18:10,
500,"La Nauze, Andrea ; Severnini, Edson",air pollution and adult cognition evidence from brain training,2025,Journal of the Association of Environmental and Resource Economists,,,https://research.ebsco.com/plink/c6a74ac5-b610-3d75-8dac-839901c7b4a6,"We exploit novel data from brain-training games to examine the impacts of air pollution on a comprehensive set of cognitive skills in adults. We find that exposure to particulate matter (PM2.5) impairs adult cognitive function and that these effects are largest for those in prime working age. These results confirm a hypothesized mechanism for the impacts of air pollution on workforce productivity. We also find that the cognitive effects are largest for new tasks and for those with low ability, suggesting that air pollution increases inequality in productivity.","Equity, Justice, Inequality, and Other Normative Criteria and Measurement ; Labor Force and Employment, Size, and Structure ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling","Equity, Justice, Inequality, and Other Normative Criteria and Measurement ; Labor Force and Employment, Size, and Structure ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",eng,EconLit,Journal Article,,500,1,2026-07-01 12:18:48,
625,"Nauze, Andrea La ; Severnini, Edson R.",air pollution and adult cognition evidence from brain training,2021,Air Pollution and Adult Cognition: Evidence from Brain Training,,,https://research.ebsco.com/plink/11686637-4aba-395b-b74f-96061ad396c1,"We exploit novel data from brain-training games to examine the impacts of air pollution on a comprehensive set of cognitive skills of adults. We find that exposure to particulate matter (PM2.5) impairs adult cognitive function, and that these effects are largest for those in prime working age. These results confirm a hypothesized mechanism for the impacts of air pollution on productivity. We also find that the cognitive effects are largest for new tasks and for those with low ability, suggesting that air pollution increases inequality in workforce productivity.",Health and Inequality ; Education and Inequality ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Health and Inequality ; Education and Inequality ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Working Paper,,625,1,2026-07-01 12:18:52,
20,"Majumder, Piyali; Chaudhary, Ekta; Dey, Sagnik",exposure to ambient pm2 5 and its association with the loss of labor productivity of manufacturing plants in india,2024,ENVIRONMENTAL RESEARCH LETTERS,,10.1088/1748-9326/ad6ea4,0,"Evidence of the impacts of ambient air pollution on health in India has been expanding. However, the economic impact of air pollution has rarely been explored. Here, we examined the impact of exposure to ambient fine particulate matter (PM2.5) derived from satellite data at 1 km x 1 km resolution on the productivity of the manufacturing plants using a micro-level dataset for the period 2008-2009 and 2009-2010 across 465 districts in India. Using a system generalized methods of moments techniques, we estimated that for every 10% increase in PM2.5 exposure, labor productivity decreases by 14.8% after controlling for the confounding factors. For exposure exceeding the national ambient air quality standard of annual PM2.5 in India (40 mu g m(-3)), the labor productivity decreases by a bigger margin (20%) for the same margin of increase in PM2.5. We found that labor productivity loss due to ambient air pollution was lower for plants using capital-intensive production techniques. The labor productivity in plants with a higher share of blue-collar workers was more sensitive to exposure to PM2.5 as opposed to plants with a higher share of supervisors or managerial staff. This suggests that plant-level managerial skill and capital-intensive production techniques (including expenditure on pollution control and abatement equipment) will be critical in mitigating air pollution-induced labor productivity loss across manufacturing plants in India.",,,,Web of Science,,10.1088/1748-9326/ad6ea4,20,1,2026-07-01 12:19:05,
691,"Heyes, Anthony ; Neidell, Matthew ; Saberian, Soodeh",the effect of air pollution on investor behavior evidence from the s p 500,2016,The Effect of Air Pollution on Investor Behavior: Evidence from the S&P 500,,,https://research.ebsco.com/plink/c72d281f-b942-34e2-bf48-4176554de0fd,"We provide detailed empirical evidence of a direct effect of air pollution on the efficient operation of the New York Stock Exchange, linking short-term variations in fine particulate matter (PM2.5) in Manhattan to movements in the S&P 500. The effects are substantial--a one standard deviation increases in ambient PM2.5 reduces same-day returns by 11.9% in our preferred specification--and remarkably robust to a variety of specifications and a battery of robustness and falsification checks. Furthermore, the intra-day effects that we observe are difficult to reconcile with competing hypotheses. Despite investors being dispersed geographically we find strong evidence that the effect is strictly local in nature, consistent with the high concentration of market influencers in New York. While we are agnostic as to the underlying mechanism, we provide evidence suggestive of the role of decreased risk tolerance operating through pollution-induced changes in mood or cognitive function.","Behavioral Finance: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making in Financial Markets ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling","Behavioral Finance: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making in Financial Markets ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",eng,EconLit,Working Paper,,691,1,2026-07-01 12:19:08,
515,"Leroutier, Marion ; Ollivier, Helene",the cost of air pollution for workers and firms,2025,The Cost of Air Pollution for Workers and Firms,,,https://research.ebsco.com/plink/526a648b-023c-33ee-9460-9fb45d120448,"This paper shows that even moderate air pollution levels, such as those in Europe, harm the economy by reducing firm performance. Using monthly firm-level data from France, we estimate the causal impact of fine particulate matter (PM2.5) on sales and worker absenteeism. Leveraging exogenous pollution shocks from local wind direction changes, we find that a 10 percent increase in monthly PM2.5 exposure reduces firm sales by 0.4 percent on average over the next two months, with sector-specific variation. Simultaneously, sick leave rises by 1 percent. However, this labor supply reduction explains only a small part of the sales decline. Our evidence suggests that air pollution also reduces worker productivity and dampens local demand. Aligning air quality with WHO guidelines would yield economic benefits on par with the costs of regulation or the health benefits from reduced mortality.",Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Health: General ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Health: General ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,eng,EconLit,Working Paper,,515,1,2026-07-01 12:19:13,
