Title,Author,Year,Citation count,Open access,DOI,Abstract
"Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution",C. Arden Pope,2002,8593,NOT Open Access,https://doi.org/10.1001/jama.287.9.1132,
An Association between Air Pollution and Mortality in Six U.S. Cities,Douglas W. Dockery|C. Arden Pope|Xiping Xu|John D. Spengler|James H. Ware|Martha E. Fay|Benjamin G. Ferris|Frank E. Speizer,1993,8183,Open Access,https://doi.org/10.1056/nejm199312093292401,"BACKGROUND: Recent studies have reported associations between particulate air pollution and daily mortality rates. Population-based, cross-sectional studies of metropolitan areas in the United States have also found associations between particulate air pollution and annual mortality rates, but these studies have been criticized, in part because they did not directly control for cigarette smoking and other health risks. METHODS: In this prospective cohort study, we estimated the effects of air pollution on mortality, while controlling for individual risk factors. Survival analysis, including Cox proportional-hazards regression modeling, was conducted with data from a 14-to-16-year mortality follow-up of 8111 adults in six U.S. cities. RESULTS: Mortality rates were most strongly associated with cigarette smoking. After adjusting for smoking and other risk factors, we observed statistically significant and robust associations between air pollution and mortality. The adjusted mortality-rate ratio for the most polluted of the cities as compared with the least polluted was 1.26 (95 percent confidence interval, 1.08 to 1.47). Air pollution was positively associated with death from lung cancer and cardiopulmonary disease but not with death from other causes considered together. Mortality was most strongly associated with air pollution with fine particulates, including sulfates. CONCLUSIONS: Although the effects of other, unmeasured risk factors cannot be excluded with certainty, these results suggest that fine-particulate air pollution, or a more complex pollution mixture associated with fine particulate matter, contributes to excess mortality in certain U.S. cities."
The Quarterly Journal of Economics,Simon Kuznets,2024,7247,NOT Open Access,https://doi.org/10.4324/9781003549741-8,
Equilibrium Unemployment as a Worker Discipline Device,Carl Shapiro|Joseph E. Stiglitz,1986,4743,NOT Open Access,https://doi.org/10.1017/cbo9780511559594.004,
Robust Inference With Multiway Clustering,A. Colin Cameron|Jonah B. Gelbach|Douglas L. Miller,2011,3151,NOT Open Access,https://doi.org/10.1198/jbes.2010.07136,
The American Economic Review,Herbert A. Simon|Theories O F Decision-making|I N Economics,2013,2750,NOT Open Access,https://doi.org/10.1257/aer.103.7.i,
Performance Pay and Productivity,Edward P. Lazear,2000,2541,NOT Open Access,https://doi.org/10.1257/aer.90.5.1346,
"The relation between ozone, NOx and hydrocarbons in urban and polluted rural environments",Sanford Sillman,1999,1774,NOT Open Access,https://doi.org/10.1016/s1352-2310(98)00345-8,
Influence of body temperature on the development of fatigue during prolonged exercise in the heat,José González‐Alonso|Christina Teller|Signe L. Andersen|Frank B. Jensen|Tino Hyldig|Bodil Nielsen,1999,1122,NOT Open Access,https://doi.org/10.1152/jappl.1999.86.3.1032,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Temperature and the Allocation of Time: Implications for Climate Change,Joshua Graff Zivin|Matthew Neidell,2013,1019,NOT Open Access,https://doi.org/10.1086/671766,
Does Air Quality Matter? Evidence from the Housing Market,Kenneth Y. Chay|Michael Greenstone,2005,996,NOT Open Access,https://doi.org/10.1086/427462,
A Dynamic Model of Stress and Sustained Attention,Peter A. Hancock,1989,859,NOT Open Access,https://doi.org/10.1177/001872088903100503,
Social Preferences and the Response to Incentives: Evidence from Personnel Data,Oriana Bandiera|Iwan Barankay|Imran Rasul,2005,649,NOT Open Access,https://doi.org/10.1093/qje/120.3.917,
Do People Vote with Their Feet? An Empirical Test of Tiebout's Mechanism,H. Spencer Banzhaf|Randall Walsh,2008,636,NOT Open Access,https://doi.org/10.1257/aer.98.3.843,
"Environment, Health, and Human Capital",Joshua Graff Zivin|Matthew Neidell,2013,581,NOT Open Access,https://doi.org/10.1257/jel.51.3.689,
"Aviation, space and environmental medicine",,1987,561,NOT Open Access,https://doi.org/10.1016/0022-460x(87)90424-x,
Social Incentives in the Workplace,Oriana Bandiera|Iwan Barankay|Imran Rasul,2009,519,NOT Open Access,https://doi.org/10.1111/j.1467-937x.2009.00574.x,
Air Pollution and Infant Health: What Can We Learn from California's Recent Experience?,Janet Currie|Matthew Neidell,2005,462,NOT Open Access,https://doi.org/10.1093/qje/120.3.1003,
Relative Contribution of Outdoor and Indoor Particle Sources to Indoor Concentrations,Eileen Abt|Helen Suh|Paul J. Catalano|Petros Koutrakis,2000,410,NOT Open Access,https://doi.org/10.1021/es990348y,
A Meta-Analysis of Performance Response Under Thermal Stressors,Peter A. Hancock|Jennifer M. Ross|James L. Szalma,2007,405,Open Access,https://doi.org/10.1518/001872007x230226,"OBJECTIVE: Quantify the effect of thermal stressors on human performance. BACKGROUND: Most reviews of the effect of environmental stressors on human performance are qualitative. A quantitative review provides a stronger aid in advancing theory and practice. METHOD: Meta-analytic methods were applied to the available literature on thermal stressors and performance. A total of 291 references were collected. Forty-nine publications met the selection criteria, providing 528 effect sizes for analysis. RESULTS: Analyses confirmed a substantial negative effect on performance associated with thermal stressors. The overall effect size for heat was comparable to that for cold. Cognitive performance was least affected by thermal stressors, whereas both psychomotor and perceptual task performance were degraded to a greater degree. Other variables were identified that moderated thermal effects. CONCLUSION: Results confirmed the importance of task type, exposure duration, and stressor intensity as key variables impacting how thermal conditions affect performance. Results were consistent with the theory that stress forces the individual to allocate attentional resources to appraise and cope with the threat, which reduces the capacity to process task-relevant information. This represents a maladaptive extension of the narrowing strategy, which acts to maintain stable levels of response when stress is first encountered. APPLICATION: These quantitative estimates can be used to design thermal tolerance limits for different task types. Although results indicate the necessity for further research on a variety of potentially influential factors such as acclimatization, the current summary provides effect size estimates that should be useful in respect to protecting individuals exposed to adverse thermal conditions."
"Climate change, humidity, and mortality in the United States",Alan Barreca,2011,399,Open Access,https://doi.org/10.1016/j.jeem.2011.07.004,
