Title,Author,Year,Citation count,Open access,Abstract,DOI
Progressive Statistics for Studies in Sports Medicine and Exercise Science,Will G. Hopkins|Stephen W. Marshall|Alan M. Batterham|Juri Hanin,2008,9094,NOT Open Access,,https://doi.org/10.1249/mss.0b013e31818cb278
Health Effects of Fine Particulate Air Pollution: Lines that Connect,C. Arden Pope|Douglas W. Dockery,2006,6767,Open Access,"Efforts to understand and mitigate thehealth effects of particulate matter (PM) air pollutionhave a rich and interesting history. This review focuseson six substantial lines of research that have been pursued since 1997 that have helped elucidate our understanding about the effects of PM on human health. There hasbeen substantial progress in the evaluation of PM health effects at different time-scales of exposure and in the exploration of the shape of the concentration-response function. There has also been emerging evidence of PM-related cardiovascular health effects and growing knowledge regarding interconnected general pathophysiological pathways that link PM exposure with cardiopulmonary morbidiity and mortality. Despite important gaps in scientific knowledge and continued reasons for some skepticism, a comprehensive evaluation of the research findings provides persuasive evidence that exposure to fine particulate air pollution has adverse effects on cardiopulmonaryhealth. Although much of this research has been motivated by environmental public health policy, these results have important scientific, medical, and public health implications that are broader than debates over legally mandated air quality standards.",https://doi.org/10.1080/10473289.2006.10464485
Fine-Particulate Air Pollution and Life Expectancy in the United States,C. Arden Pope|Majid Ezzati|Douglas W. Dockery,2009,2322,Open Access,"BACKGROUND: Exposure to fine-particulate air pollution has been associated with increased morbidity and mortality, suggesting that sustained reductions in pollution exposure should result in improved life expectancy. This study directly evaluated the changes in life expectancy associated with differential changes in fine particulate air pollution that occurred in the United States during the 1980s and 1990s. METHODS: We compiled data on life expectancy, socioeconomic status, and demographic characteristics for 211 county units in the 51 U.S. metropolitan areas with matching data on fine-particulate air pollution for the late 1970s and early 1980s and the late 1990s and early 2000s. Regression models were used to estimate the association between reductions in pollution and changes in life expectancy, with adjustment for changes in socioeconomic and demographic variables and in proxy indicators for the prevalence of cigarette smoking. RESULTS: A decrease of 10 microg per cubic meter in the concentration of fine particulate matter was associated with an estimated increase in mean (+/-SE) life expectancy of 0.61+/-0.20 year (P=0.004). The estimated effect of reduced exposure to pollution on life expectancy was not highly sensitive to adjustment for changes in socioeconomic, demographic, or proxy variables for the prevalence of smoking or to the restriction of observations to relatively large counties. Reductions in air pollution accounted for as much as 15% of the overall increase in life expectancy in the study areas. CONCLUSIONS: A reduction in exposure to ambient fine-particulate air pollution contributed to significant and measurable improvements in life expectancy in the United States.",https://doi.org/10.1056/nejmsa0805646
Particulate air pollution and acute health effects,Anthony Seaton|David Godden|William MacNee|Ken Donaldson,1995,2189,NOT Open Access,,https://doi.org/10.1016/s0140-6736(95)90173-6
Clearing the Air: A Review of the Effects of Particulate Matter Air Pollution on Human Health,Jonathan O. Anderson|Josef G. Thundiyil|Andrew Stolbach,2011,1787,Open Access,,https://doi.org/10.1007/s13181-011-0203-1
Performance Characteristics According to Playing Position in Elite Soccer,Valter Di Salvo|Ramon Baron|Harald Tschan|Francisco Montero|Norbert Bachl|Fabio Pigozzi,2007,1262,NOT Open Access,,https://doi.org/10.1055/s-2006-924294
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
"Airports, Air Pollution, and Contemporaneous Health",Wolfram Schlenker|William R. Walker,2015,609,NOT Open Access,,https://doi.org/10.1093/restud/rdv043
Particulate Pollution and the Productivity of Pear Packers,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2016,594,NOT Open Access,,https://doi.org/10.1257/pol.20150085
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,,https://doi.org/10.1111/ecoj.12273
