longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,1929609,Does Air Pollution Impede Corporate Innovation?,"We examine corporate innovation and the air pollution in the city in which the firm is located. Drawing from environmental stress, resource-based, and human capital theories, we hypothesize that air pollution reduces corporate innovation because it increases a firm's financial constraints and negatively affects human capital. Our findings are consistent with our hypothesis. The findings are robust to alternative metrics of innovation and air pollution, and after accounting for endogeneity. Additional analysis suggests that when a city's air pollution is comparatively worse than other cities', a firm in the highly polluted city: 1) has tighter financial constraints, which leads it to invest less in research and development or to increase its environmental investment (crowding-out effect), and 2) attracts fewer technical, highly educated, and foreign-experienced employees (human capital effect). Our paper provides new insights into the real effects of air pollution on corporate innovation, productivity growth, and the economy.",20211101,"Tan, Zhidong ; Yan, Lina",Journal Article,Journal Article,November 2021,true,International Review of Economics & Finance,Firm Behavior: Empirical Analysis ; Capital Budgeting; Fixed Investment and Inventory Studies; Capacity ; Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Innovation and Invention: Processes and Incentives ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,1059-0560,,,,,eng,,951,937,15,76,,10.1016/j.iref.2021.07.015,,,,https://research.ebsco.com/plink/a560cbf4-4eb9-3e44-bc1e-b69187c7514e,,,,
EconLit with Full Text,eoh,2062051,"Unraveling the Stagnation of Employee Pay in Japanese Firms: The Impact of Profit Creation, Employee Productivity, and Employee Share","This study investigated the causes of stagnant employee pay in Japanese firms. By analyzing agency theory and Japanese governance structure, we argue that pay levels are affected by profit creation, employee productivity, and employee share. Dysfunctional processes in these areas can result in pay stagnation. Our findings demonstrate that employee productivity and profit creation have equally significant impacts on pay levels, whereas employee share affects pay only with high employee productivity. These results suggest that the main reason for stagnant employee pay in Japan is not a failure of profit sharing but rather a failure to link corporate and employee capabilities to a firm's earning power.",20230901,"Gong, Yuanyuan ; Makino, Shige ; Liu, Aqi ; Liu, Huanchen ; Wang, Jingyi",Journal Article,Journal Article,September 2023,true,Asian Business and Management,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Wage Level and Structure; Wage Differentials ; Firm Performance: Size, Diversification, and Scope",JOUR,,,1472-4782,,,,,eng,,1772,1743,30,22,4,10.1057/s41291-023-00228-3,,,,https://research.ebsco.com/plink/8cb96b51-0b15-3e91-a078-9a90361ff192,,,,
EconLit with Full Text,eoh,1907514,Location Choice of Industrial Land Reduction in Metropolitan Area: Evidence from Shanghai in China,"Under the background of supply side structural reform of the land market, this paper constructs a location choice behavior model of reduction from the perspective of rent maximization, explores how these factors affect the industrial land reduction location choice. We consider 100 industrial parcels in the suburbs of Shanghai as an example to analyze. It is found that the enterprises in development zones have greater advantages in economies of scale, labor productivity, pollution treatment, and tax payments than enterprises outside the development zone, so the low-efficiency enterprises outside the development zones are the preferred objects of reduction. The suburban areas have a stronger attraction than the outer suburbs in the process of location choice, and the closer the city center is, the more obvious the location advantages of enterprises in development zones. Under the control of the total amount of construction land, the land use structure should be constantly adjusted, inefficient enterprises outside the development zone should be preferred to the reduction object, and the government should actively guide enterprises to enter the development zones.",20201201,"Wang, Keqiang ; Li, Guoxiang ; Liu, Hongmei",Journal Article,Journal Article,December 2020,true,Growth & Change,"Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure ; Socialist Systems and Transitional Economies: Urban, Rural, and Regional Economics ; Other Spatial Production and Pricing Analysis",JOUR,,,0017-4815 ; 1468-2257,,,,,eng,Wiley-Blackwell,1859,1837,23,51,4,,,,,https://research.ebsco.com/plink/492afa2a-c336-36f3-aaac-224780790480,,,,
EconLit with Full Text,eoh,1834743,Manifestations of the European Ecological Footprint from the Perspective of Social Responsibility Codes,"The process of converting the economy to more sustainable production forms is the essence of bio-economy, currently becoming more and more important in all the European countries. Sustainability is a complex concept that can be quantified through an entire system of indicators. A ""marker"" of corporate environmental responsibility, of the extent and manner in which the companies apply social responsibility codes is the ecological footprint. The present study identifies, using a cumulative ordinal logistic regression model with proportional odds, the factors with significant impact on the behavioral changes of the ecological footprint of the production, for finding ways of increasing the sustainability in the business environment, through a better application of social responsibility codes. At the same time, the variables included in the model were selected in accordance with the principles of the European Corporate Social Responsibility Strategy, serving as criteria for the hierarchy and clustering of European countries, for identifying patterns and predicting the behavior of ecological footprint of production, as a prerequisite for optimizing social environmental responsibility and applying social responsibility codes in the business environment. The analysis results indicate that the educational level of labor force, the degree of economic freedom and the use of renewable energy sources have a significant positive influence on the ecological footprint behavior, while the social exclusion has a significant negative effect, with a major impact on the prospects of sustainable growth, specific to bio-economy.",20190801,"Ghita, Simona Ioana ; Gogonea, Rodica Manuela ; Saseanu, Andreea Simona",Journal Article,Journal Article,August 2019,true,Amfiteatru Economic,Firm Behavior: Empirical Analysis ; Institutions and the Macroeconomy ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Corporate Culture; Diversity; Social Responsibility ; Alternative Energy Sources ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Ecological Economics: Ecosystem Services; Biodiversity Conservation; Bioeconomics; Industrial Ecology,JOUR,,,1582-9146 ; 2247-9104,,,,,eng,Academia de Studii Economice,571,554,18,21,52,,,,,https://research.ebsco.com/plink/20b32d72-65d9-3458-b704-a9a883c29c5b,,,,
EconLit with Full Text,eoh,2195927,Essays on the Economics of Pesticides in California,"Pesticides are used by growers to suppress pest outbreaks and enhance crop productivity. An individual grower's pest management decisions can be influenced by factors including the intensity of a pest infestation, pesticide resistance management requirements, government regulations restricting the use of certain pest control strategies and, because pests are mobile, pest management practices undertaken by neighbors. This dissertation explores the effects of various factors on individual growers' pesticide application decisions and corresponding profitability and environmental quality in the San Joaquin Valley (SJV) of California. The first two chapters explore pesticide use in cotton for lygus control in California's SJV. I have constructed a dataset that integrates field-level pesticide use, field location, and crop production data for the period from 2010 to 2019. It enables me to examine spatial-temporal-crop interactions of pesticide use across fields. To the best of my knowledge, this is the first study to do so. Based on these relationships, Chapter 1 examines the economic value of the cross-crop spillover effect of pesticide use. One of my major contributions is the differentiation of positive externalities from cross-crop benefits. Based on farmer identification information included in the pesticide use dataset, I am able to determine whether the effect is captured by the farmer applying the pesticide (cross-crop benefit) or another farmer (positive externality). I derive the reduction in cotton pesticide costs resulting from pesticide applications to nearby alfalfa and safflower fields. I find that pesticide use in alfalfa and safflower yielded average savings of $2.52 million (in 2019 US dollars) per year in cotton pesticide costs, equivalent to 32.7% of the total lygus treatment costs and 0.5% of cotton revenue in the SJV in 2019. Positive externalities accounted for $0.59 million (23.4%), while cross-crop benefits contributed the remaining $1.93 million. The data I use in Chapter 1 do not enable me to estimate the benefit of increased cotton yields due to pesticide applications to the other crops. To do so, I develop a bioeconomic system simulation model in Chapter 2. Specifically, I simulate the daily development of lygus in alfalfa, safflower, and cotton fields to investigate the economic value of the reduction in cotton yield losses due to pesticide applications on the other crops. I find that the average annual economic value due to reduced yield damage was $3.54 million (in 2019 US dollars), equivalent to 46.0% of the cost of lygus treatment and 0.8% of cotton revenue in 2019. Positive externalities accounted for $1.39 million (39.4%). The remaining $2.15 million accrued to cotton growers who grew at least one of the other two crops and applied pesticides that reduced lygus migrations into their own cotton crops. Together, the first two chapters provide a complete evaluation of how pesticide applications in these crops interact and the economic benefit captured by cotton farmers. Pesticide applications to alfalfa and safflower in the SJV generated a total annual benefit of $6.06 million for cotton production, equal to 1.5% of cotton revenue in the region in 2019. Chapter 3 explores a pesticide regulation implemented in 2015 that restricts the use of certain pesticide products during the peak ozone season (May to October) in the SJV to reduce volatile organic compound (VOC) emissions. The regulation applies to seven major crops: alfalfa, almond, citrus, cotton, grape, pistachio, and walnut. Using monthly and annual data on pesticide use from 2010 to 2018 and a regression discontinuity design, I evaluate the regulation's effectiveness in reducing peak-season VOC emissions and its impacts on other dimensions of environmental quality and human health, including air, water, soil, pollinator health, and health of consumers and farm applicators. The direct causal inference result suggests that field-level VOC emissions during the peak season declined by 25.8%. However, I observe year-round degradations in almost all other environmental and health conditions post-implementation, suggesting that the regulation reduced VOC emissions at the expense of other environmental quality and human health considerations. The regulation led to a substantial increase in pest management costs. The annual increase was $388.39 million (in 2022 dollars), which is equal to 2.4% of total revenues from the regulated crops in the SJV in 2022. Collectively, this dissertation provides important insights into external impacts of growers' pest management strategies. The findings also offer valuable guidance for designing more effective policies that consider the economic costs of growers' pest-management adjustments and the multi-dimensional nature of environmental quality.",20250601,"Zheng, Yanan",Dissertation,Dissertation,June 2025,,Essays on the Economics of Pesticides in California,"Externalities ; Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets ; Land Ownership and Tenure; Land Reform; Land Use; Irrigation; Agriculture and Environment ; Agricultural R&D; Agricultural Technology; Biofuels; Agricultural Extension Services ; Valuation of Environmental Effects",GEN,,,,,,,,eng,"University of California, Davis",,,,,,,,,,https://research.ebsco.com/plink/8df62554-31a9-39cf-bbcc-00fc50232e4f,,,,
EconLit with Full Text,eoh,1753023,"Trends, Challenges and Perspectives of Sustainable Development: An Empirical Analysis for Romania","The present paper aims to analyse the economic, social and environmental climate of Romania, between 2000 and 2016, in order to identify the main factors that challenge the sustainable development and to formulate possible solutions. The research methods we have used are both qualitative and quantitative ones. The documentary research led to the development of three hypotheses which were subsequently tested using several models based on statistical analysis of secondary data. The conclusions of the study underline that, in order to sustain the economic growth, Romania needs to increase its human capital stock, especially that related to the secondary education, to reduce pollution and waste, and to raise the level of the social inclusion. This last aspect could be achieved through adequate policies and active re-qualification measures meant to reduce unemployment, poverty and wage inequalities.",20180101,"Diaconu, Laura ; Maxim, Andrei ; Dornean, Adina",Journal Article,Journal Article,Supplement 2018,true,Transformations in Business & Economics,"Equity, Justice, Inequality, and Other Normative Criteria and Measurement ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Measurement and Analysis of Poverty ; Wage Level and Structure; Wage Differentials ; Sustainable Development ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,1648-4460,,,,,eng,Vilnius University,779,760,20,17,,,,,,https://research.ebsco.com/plink/a6418b2f-5e95-371a-b5a9-ba21bf286752,,,,
EconLit with Full Text,eoh,2135144,Impact of China's Carbon Emissions Trading Scheme on Firm-Level Pollution Abatement and Employment: Evidence from a National Panel Dataset,"As an emerging economy, China has implemented market-oriented carbon emissions trading schemes in response to growing environmental challenges. Yet, concerns persist regarding the potential hindrance of these policies on socio-economic progress due to increased costs and possible declines in employment rates. Using a novel rich panel dataset of small-medium enterprises from 2011 to 2015, this study employs time-varying difference-in-differences methods to provide robust empirical evidence on the effect of these carbon trading policies. The findings reveal that the trial programs notably decreased sulfur dioxide emissions at the firm level by 2-3%, concurrently fostering a 6-7% increase in employment, indicating the realization of a 'double dividend.' An analysis of variations demonstrates that non-state enterprises, foreign-owned companies, and industries with substantial pollution levels experienced the most significant benefits, particularly with heightened positive impacts on employment observed in Western regions. Upon delving into the mechanisms involved, it becomes evident that initial job losses were offset by the emergence of new positions due to the expansion in output and the effects of substituting factors resulting from green investments catalyzed through the carbon trading initiative. These compelling findings strongly advocate for the widespread implementation of market-based tools on a national scale, providing robust support for concurrently addressing environmental concerns and promoting livelihood objectives within the specific context of China.",20240801,"Yang, Shubo ; Jahanger, Atif ; Hu, Juan ; Awan, Ashar",Journal Article,Journal Article,August 2024,true,Energy Economics,"Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Firm Performance: Size, Diversification, and Scope ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Enterprises and Their Transitions ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Climate; Natural Disasters and Their Management; Global Warming ; Environmental Economics: Government Policy",JOUR,,,0140-9883,,,,,eng,,,,,136,,10.1016/j.eneco.2024.107744,,,,https://research.ebsco.com/plink/4322853b-e255-3bfc-ab4c-b4bcdbe0a882,,,,
EconLit with Full Text,eoh,2178613,Labor Market Impacts of the Green Transition: Evidence from a Contraction in the Oil Industry,"The transition to a low-carbon economy requires a contraction of fossil fuel sectors, raising questions about the labor market costs of reallocation. We study the 2014 oil price shock as a natural experiment to examine the contraction of Norway's oil industry. Using matched employer-employee data, we estimate long-run effects on earnings and employment using two complementary approaches. A difference-in-differences design shows moderate losses for all oil workers, while an event study reveals substantially larger and more persistent losses among displaced workers--up to 10% in earnings and 5% in employment nine years after displacement, especially for those with lower educational attainment. Although few displaced workers transition into green jobs, they are equally likely to enter green and brown (non-oil) sectors when accounting for the size of each destination sector. Earnings losses are larger for those entering green jobs rather than brown (non-oil) jobs, but smaller than for those entering other sectors. Decomposition results indicate that differences in establishment wage premiums--rather than skill mismatch--explain most of the observed gaps.",20250101,"Garnache, Cloe ; Isaksen, Elisabeth ; Nareklishvili, Maria",Working Paper,Working Paper,2025,,Labor Market Impacts of the Green Transition: Evidence from a Contraction in the Oil Industry,Human Capital; Skills; Occupational Choice; Labor Productivity ; Labor Turnover; Vacancies; Layoffs ; Exhaustible Resources and Economic Development ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects,GEN,,,,,,,,eng,"CESifo, CESifo Working Paper Series: 12057",,,,,,,,,,https://research.ebsco.com/plink/3f8c1a90-8e49-303d-b51c-3c3c943691b7,,,,
EconLit with Full Text,eoh,1834347,Are the Laffer Curve and the Green Paradox Mutually Exclusive?,"In this paper, we study the relationship between the Laffer curve and the green paradox in the context of a Ramsey model with endogenous labor supply in which pollution increases consumer demand (through a compensation effect). We find that--in the long run--the conditions under which a Laffer curve and a green paradox emerge are mutually exclusive. Indeed, the Laffer curve exists under a weak compensation effect, while the green paradox requires a strong effect. Also, we find that, in the short run, limit cycles may arise in the presence of a Laffer curve, while they never occur under a green paradox.",20171001,"Bosi, Stefano ; Desmarchelier, David",Journal Article,Journal Article,October 2017,true,Journal of Public Economic Theory,Macroeconomics: Consumption; Saving; Wealth ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies ; Time Allocation and Labor Supply ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,1097-3923 ; 1467-9779,,,,,eng,Wiley-Blackwell,956,937,20,19,5,,,,,https://research.ebsco.com/plink/aca036c8-a277-3785-aa4f-61c3bca92cd5,,,,
EconLit with Full Text,eoh,1614259,A New Era of Pollution Progress in Urban China?,"Over the last 30 years, China's economy has boomed. This trend has lifted hundreds of millions of Chinese out of poverty but it has also sharply increased local, regional, and global pollution levels. We look at the rise in air pollution over recent decades, and the perhaps surprising finding that in many of China's urban areas, levels of particulates (of less than 10 microns) have been decreasing during the last 10 to 15 years. We then turn to the costs and tradeoffs of air pollution, including costs to human health, reductions in worker productivity, and how people are seeking to reduce their exposure to pollution as shown by compensating differentials in real estate prices and purchases of masks and air filters. We discuss how rising incomes tend to raise the demand for environmental amenities and thus increase political pressure for environmental protection, and then we turn to the policy tools that China has used to reduce pollution. We conclude by arguing that as China's government is preparing for an additional 300 million people to move to urban areas over the next 30 years, it will have a number of opportunities for China to reduce pollution through a shift from manufacturing to services, along with various steps to improve energy efficiency and resource conservation. Overall, it seems that China is on track to improve its environmental performance in the years ahead.",20171201,"Zheng, Siqi ; Kahn, Matthew E.",Journal Article,Journal Article,Winter 2017,true,Journal of Economic Perspectives,"Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure ; Socialist Systems and Transitional Economies: Urban, Rural, and Regional Economics ; Socialist Systems and Transitional Economies: Natural Resources; Energy; Environment ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy",JOUR,,,0895-3309,,,,,eng,American Economic Association,92,71,22,31,1,10.1257/jep.31.1.71,,,,https://research.ebsco.com/plink/eaba95fa-6835-3931-bc7a-f799ce6c9d25,,,,
