Title,Author,Year,Citation count,Open access,Abstract,DOI
Performance Pay and Productivity,Edward P. Lazear,2000,2541,NOT Open Access,,https://doi.org/10.1257/aer.90.5.1346
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth.",https://doi.org/10.1257/aer.102.7.3652
Happiness in the air: How does a dirty sky affect mental health and subjective well-being?,Xin Zhang|Xiaobo Zhang|Xi Chen,2017,676,Open Access,,https://doi.org/10.1016/j.jeem.2017.04.001
Does the Effect of Pollution on Infant Mortality Differ Between Developing and Developed Countries? Evidence from Mexico City,Eva Arceo|Rema Hanna|Paulina Oliva,2015,571,NOT Open Access,,https://doi.org/10.1111/ecoj.12273
"Tropospheric ozone changes, radiative forcing and attribution to emissions in the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP)",David S. Stevenson|Paul J. Young|Vaishali Naïk|Jean‐François Lamarque|Drew Shindell|Apostolos Voulgarakis|Ragnhild Bieltvedt Skeie|S. B. Dalsøren|Gunnar Myhre|Terje K. Berntsen|Gerd Folberth|Steven T. Rumbold|W. J. Collins|Ian A. MacKenzie|Ruth M. Doherty|Guang Zeng|Twan van Noije|A. Strunk|D. Bergmann|Philip Cameron‐Smith|David A. Plummer|Sarah A. Strode|Larry W. Horowitz|Y. H. Lee|Sophie Szopa|Kengo Sudo|Tatsuya Nagashima|Béatrice Josse|Irene Cionni|Mattia Righi|Veronika Eyring|Andrew Conley|K. W. Bowman|Oliver Wild|Alexander T. Archibald,2013,529,Open Access,"Abstract. Ozone (O3) from 17 atmospheric chemistry models taking part in the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP) has been used to calculate tropospheric ozone radiative forcings (RFs). All models applied a common set of anthropogenic emissions, which are better constrained for the present-day than the past. Future anthropogenic emissions follow the four Representative Concentration Pathway (RCP) scenarios, which define a relatively narrow range of possible air pollution emissions. We calculate a value for the pre-industrial (1750) to present-day (2010) tropospheric ozone RF of 410 mW m−2. The model range of pre-industrial to present-day changes in O3 produces a spread (±1 standard deviation) in RFs of ±17%. Three different radiation schemes were used – we find differences in RFs between schemes (for the same ozone fields) of ±10%. Applying two different tropopause definitions gives differences in RFs of ±3%. Given additional (unquantified) uncertainties associated with emissions, climate-chemistry interactions and land-use change, we estimate an overall uncertainty of ±30% for the tropospheric ozone RF. Experiments carried out by a subset of six models attribute tropospheric ozone RF to increased emissions of methane (44±12%), nitrogen oxides (31 ± 9%), carbon monoxide (15 ± 3%) and non-methane volatile organic compounds (9 ± 2%); earlier studies attributed more of the tropospheric ozone RF to methane and less to nitrogen oxides. Normalising RFs to changes in tropospheric column ozone, we find a global mean normalised RF of 42 mW m−2 DU−1, a value similar to previous work. Using normalised RFs and future tropospheric column ozone projections we calculate future tropospheric ozone RFs (mW m−2; relative to 1750) for the four future scenarios (RCP2.6, RCP4.5, RCP6.0 and RCP8.5) of 350, 420, 370 and 460 (in 2030), and 200, 300, 280 and 600 (in 2100). Models show some coherent responses of ozone to climate change: decreases in the tropical lower troposphere, associated with increases in water vapour; and increases in the sub-tropical to mid-latitude upper troposphere, associated with increases in lightning and stratosphere-to-troposphere transport. Climate change has relatively small impacts on global mean tropospheric ozone RF.",https://doi.org/10.5194/acp-13-3063-2013
"Air pollution, health, and socio-economic status: the effect of outdoor air quality on childhood asthma",Matthew Neidell,2004,527,NOT Open Access,,https://doi.org/10.1016/j.jhealeco.2004.05.002
The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China,Tom Chang|Joshua Graff Zivin|Tal Gross|Matthew Neidell,2019,502,Open Access,"We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker’s daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. (JEL J24, L84, O13, P23, P28, Q51, Q53)",https://doi.org/10.1257/app.20160436
Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China,Jiaxiu He|Haoming Liu|Alberto Salvo,2019,460,NOT Open Access,,https://doi.org/10.1257/app.20170286
The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution,Avraham Ebenstein|Victor Lavy|Sefi Roth,2016,404,Open Access,"Cognitive performance during high-stakes exams can be affected by random disturbances that, even if transitory, may have permanent consequences. We evaluate this hypothesis among Israeli students who took a series of matriculation exams between 2000 and 2002. Exploiting variation across the same student taking multiple exams, we find that transitory PM 2.5 exposure is associated with a significant decline in student performance. We then examine these students in 2010 and find that PM 2.5 exposure during exams is negatively associated with postsecondary educational attainment and earnings. The results highlight how reliance on noisy signals of student quality can lead to allocative inefficiency. (JEL I21, I23, I26, J24, J31, Q51, Q53)",https://doi.org/10.1257/app.20150213
"Airborne particles in indoor environment of homes, schools, offices and aged care facilities: The main routes of exposure",Lídia Morawska|Godwin A. Ayoko|Gwi–Nam Bae|Giorgio Buonanno|Christopher Y.H. Chao|Samuel Clifford|Sau Chung Fu|Otto Hänninen|C. He|Christina Isaxon|Mandana Mazaheri|Tunga Salthammer|Michael S. Waring|Aneta Wierzbicka,2017,378,Open Access,"It has been shown that the exposure to airborne particulate matter is one of the most significant environmental risks people face. Since indoor environment is where people spend the majority of time, in order to protect against this risk, the origin of the particles needs to be understood: do they come from indoor, outdoor sources or both? Further, this question needs to be answered separately for each of the PM mass/number size fractions, as they originate from different sources. Numerous studies have been conducted for specific indoor environments or under specific setting. Here our aim was to go beyond the specifics of individual studies, and to explore, based on pooled data from the literature, whether there are generalizable trends in routes of exposure at homes, schools and day cares, offices and aged care facilities. To do this, we quantified the overall 24 h and occupancy weighted means of PM 10 , PM 2.5 and PN - particle number concentration. Based on this, we developed a summary of the indoor versus outdoor origin of indoor particles and compared the means to the WHO guidelines (for PM 10 and PM 2.5 ) and to the typical levels reported for urban environments (PN). We showed that the main origins of particle metrics differ from one type of indoor environment to another. For homes, outdoor air is the main origin of PM 10 and PM 2.5 but PN originate from indoor sources; for schools and day cares, outdoor air is the source of PN while PM 10 and PM 2.5 have indoor sources; and for offices, outdoor air is the source of all three particle size fractions. While each individual building is different, leading to differences in exposure and ideally necessitating its own assessment (which is very rarely done), our findings point to the existence of generalizable trends for the main types of indoor environments where people spend time, and therefore to the type of prevention measures which need to be considered in general for these environments.",https://doi.org/10.1016/j.envint.2017.07.025
