Title,Author,Year,Citation count,Open access,DOI,Abstract
Acute Respiratory Effects of Particulate Air Pollution,Douglas W. Dockery|C. Arden Pope,1994,2201,Open Access,https://doi.org/10.1146/annurev.pu.15.050194.000543,"In the 1930s, 40s, and 50s, several episodes of extreme air pollution focused attention on the potential for adverse health effects of air pollution. These included an episode in the Meuse Valley, Belgium, in December 1930 ( 15), an episode in Donora, Pennsylvania in 1948 (36), and several episodes in"
Development of gridded surface meteorological data for ecological applications and modelling,John T. Abatzoglou,2011,1971,NOT Open Access,https://doi.org/10.1002/joc.3413,
Long-term air pollution exposure and cardio- respiratory mortality: a review,Gerard Hoek|Ranjini Krishnan|Rob Beelen|Annette Peters|Bart Ostro|Bert Brunekreef|Joel D. Kaufman,2013,1879,Open Access,https://doi.org/10.1186/1476-069x-12-43,"Current day concentrations of ambient air pollution have been associated with a range of adverse health effects, particularly mortality and morbidity due to cardiovascular and respiratory diseases. In this review, we summarize the evidence from epidemiological studies on long-term exposure to fine and coarse particles, nitrogen dioxide (NO 2 ) and elemental carbon on mortality from all-causes, cardiovascular disease and respiratory disease. We also summarize the findings on potentially susceptible subgroups across studies. We identified studies through a search in the databases Medline and Scopus and previous reviews until January 2013 and performed a meta-analysis if more than five studies were available for the same exposure metric. There is a significant number of new studies on long-term air pollution exposure, covering a wider geographic area, including Asia. These recent studies support associations found in previous cohort studies on PM 2.5 . The pooled effect estimate expressed as excess risk per 10 μg/m 3 increase in PM 2.5 exposure was 6% (95% CI 4, 8%) for all-cause and 11% (95% CI 5, 16%) for cardiovascular mortality. Long-term exposure to PM 2.5 was more associated with mortality from cardiovascular disease (particularly ischemic heart disease) than from non-malignant respiratory diseases (pooled estimate 3% (95% CI −6, 13%)). Significant heterogeneity in PM 2.5 effect estimates was found across studies, likely related to differences in particle composition, infiltration of particles indoors, population characteristics and methodological differences in exposure assessment and confounder control. All-cause mortality was significantly associated with elemental carbon (pooled estimate per 1 μg/m 3 6% (95% CI 5, 7%)) and NO 2 (pooled estimate per 10 μg/m 3 5% (95% CI 3, 8%)), both markers of combustion sources. There was little evidence for an association between long term coarse particulate matter exposure and mortality, possibly due to the small number of studies and limitations in exposure assessment. Across studies, there was little evidence for a stronger association among women compared to men. In subjects with lower education and obese subjects a larger effect estimate for mortality related to fine PM was found, though the evidence for differences related to education has been weakened in more recent studies."
The Effect of Air Pollution on Lung Development from 10 to 18 Years of Age,W. James Gauderman|Edward L. Avol|Frank D. Gilliland|Hita Vora|Duncan C. Thomas|Kiros Berhane|Rob McConnell|Nino Küenzli|Fred Lurmann|Edward B. Rappaport|Helene G. Margolis|David V. Bates|John Peters,2004,1451,Open Access,https://doi.org/10.1056/nejmoa040610,"BACKGROUND: Whether exposure to air pollution adversely affects the growth of lung function during the period of rapid lung development that occurs between the ages of 10 and 18 years is unknown. METHODS: In this prospective study, we recruited 1759 children (average age, 10 years) from schools in 12 southern California communities and measured lung function annually for eight years. The rate of attrition was approximately 10 percent per year. The communities represented a wide range of ambient exposures to ozone, acid vapor, nitrogen dioxide, and particulate matter. Linear regression was used to examine the relationship of air pollution to the forced expiratory volume in one second (FEV(1)) and other spirometric measures. RESULTS: Over the eight-year period, deficits in the growth of FEV(1) were associated with exposure to nitrogen dioxide (P=0.005), acid vapor (P=0.004), particulate matter with an aerodynamic diameter of less than 2.5 microm (PM(2.5)) (P=0.04), and elemental carbon (P=0.007), even after adjustment for several potential confounders and effect modifiers. Associations were also observed for other spirometric measures. Exposure to pollutants was associated with clinically and statistically significant deficits in the FEV(1) attained at the age of 18 years. For example, the estimated proportion of 18-year-old subjects with a low FEV(1) (defined as a ratio of observed to expected FEV(1) of less than 80 percent) was 4.9 times as great at the highest level of exposure to PM(2.5) as at the lowest level of exposure (7.9 percent vs. 1.6 percent, P=0.002). CONCLUSIONS: The results of this study indicate that current levels of air pollution have chronic, adverse effects on lung development in children from the age of 10 to 18 years, leading to clinically significant deficits in attained FEV(1) as children reach adulthood."
Peers at Work,Alexandre Mas|Enrico Moretti,2009,1318,NOT Open Access,https://doi.org/10.1257/aer.99.1.112,
The Impact of Pollution on Worker Productivity,Joshua Graff Zivin|Matthew Neidell,2012,1083,Open Access,https://doi.org/10.1257/aer.102.7.3652,"This paper assesses the impact of pollution on worker productivity by relating exogenous daily variations in ozone with productivity of agricultural workers as recorded under piece rate contracts. We find robust evidence that ozone levels well below federal air quality standards have a significant impact on productivity. These results suggest that, in contrast to common characterizations of environmental protection as a tax on producers, environmental protection can also be viewed as an investment in human capital, and thus a tool for promoting economic growth."
Do indoor pollutants and thermal conditions in schools influence student performance? A critical review of the literature,Mark J. Mendell|Garvin Heath,2005,1031,NOT Open Access,https://doi.org/10.1111/j.1600-0668.2004.00320.x,
Spatial Analysis of Air Pollution and Mortality in Los Angeles,Michael Jerrett|Richard T. Burnett|Renjun Ma|C. Arden Pope|Daniel Krewski|K. Bruce Newbold|George D. Thurston|Yuanli Shi|Norm Finkelstein|Eugenia E. Calle|Michael J. Thun,2005,995,NOT Open Access,https://doi.org/10.1097/01.ede.0000181630.15826.7d,
The impact of exposure to air pollution on cognitive performance,Xin Zhang|Xi Chen|Xiaobo Zhang,2018,841,Open Access,https://doi.org/10.1073/pnas.1809474115,"This paper examines the effect of both cumulative and transitory exposures to air pollution for the same individuals over time on cognitive performance by matching a nationally representative longitudinal survey and air quality data in China according to the exact time and geographic locations of the cognitive tests. We find that long-term exposure to air pollution impedes cognitive performance in verbal and math tests. We provide evidence that the effect of air pollution on verbal tests becomes more pronounced as people age, especially for men and the less educated. The damage on the aging brain by air pollution likely imposes substantial health and economic costs, considering that cognitive functioning is critical for the elderly for both running daily errands and making high-stake decisions."
Global mortality from outdoor fine particle pollution generated by fossil fuel combustion: Results from GEOS-Chem,K.G. Vohra|Alina Vodonos|Joel Schwartz|Eloïse A. Marais|Melissa P. Sulprizio|Loretta J. Mickley,2021,819,Open Access,https://doi.org/10.1016/j.envres.2021.110754,
Adverse cardiovascular effects of air pollution,Nicholas L. Mills|Ken Donaldson|Paddy W Hadoke|Nicholas A. Boon|William MacNee|Flemming R. Cassee|Thomas Sandström|Anders Blomberg|David E. Newby,2008,786,NOT Open Access,https://doi.org/10.1038/ncpcardio1399,
The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction,Tatyana Deryugina|Garth Heutel|Nolan Miller|David Molitor|Julian Reif,2019,779,NOT Open Access,https://doi.org/10.1257/aer.20180279,
