Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n
"Nichols, Kristopher L.; Matt-Navarro, Johanna M.; Doiron, Maxim K.; d'Adda, Giovanna; Weber, Elke U.; Constantino, Sara M.",do risk time and social preferences predict sustainable behavior evidence from a qualitative synthesis and meta analysis,2026,Ecological Economics,NA,10.1016/j.ecolecon.2025.108804,https://linkinghub.elsevier.com/retrieve/pii/S0921800925002873,"Despite the urgency of addressing environmental challenges, from the overuse of natural resources to climate change, action is grossly lacking. Environmental challenges often unfold over long time horizons, involve risk and uncertainty, and pit self-interest against collective outcomes. This has led some scholars to explain inaction and the persistence of environmental challenges by appealing to social and psychological factors such as temporal discounting, risk aversion, and self-interest—preferences commonly assumed in microeconomic models of decision-making. If this is the case, it has implications for the design of interventions, policies, and institutions to promote sustainable actions. Yet, empirical evidence relating these preferences to sustainable behavior is mixed. We conduct a systematic literature review (75 papers; 426 effect sizes) and meta-analysis (39 papers; 299 effect sizes) of studies from 29 countries that elicit time, risk, and social preferences and correlate these with real-world environmentally-relevant behaviors. Overall, we find limited evidence that economic preferences assessed in the lab are strong predictors of sustainable behaviors—the relationship is only significant when preferences are elicited in the field setting (“lab-in-field”). In subgroup analyses, we find that prosocial preferences are a significant predictor of environmental behaviors, and the effect is stronger for studies where preferences are elicited using protocols that are framed in terms of real world impacts or conducted in the field. We also find that time, risk and social preferences predict monetary donations to environmental causes. These findings suggest a nuanced and modest relationship between economic preferences assessed in the lab and sustainable behaviors.",NA,NA,en,Snowballing,journalArticle,10.1016/j.ecolecon.2025.108804
"Werner, Kim",the need to climate adapt perceptions of german sports event planners on the imperative to address climate change,2024,Frontiers in sports and active living,NA,10.3389/fspor.2024.1505372,NA,"<AbstractText Label=""Introduction"" NlmCategory=""UNASSIGNED"">While the impact of anthropogenic climate change on sports and the subsequent need for adaptation to evolving climatic conditions are acknowledged, there remains a notable paucity of scientific inquiry within the realm of sports and sports event studies specifically addressing climate change and its ramifications for event planning and management. Existing studies predominantly stem from health, medical, weather and climate science and mostly focus on mega-events and elite athlete contexts. Moreover, they often only focus on one specific impact (e.g., extreme heat) without providing a comprehensive summary or overview of all eminent impacts, resulting risks and potential adaptation strategies. This study aims to explore how (German) sports events are impacted by climate change and identify measures for organizers to address these impacts.</AbstractText> <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">Following a comprehensive literature review, semi-structured interviews with event planners and organizers in Germany were conducted, ranging from small local events to weekly league competitions to national championships and major events.</AbstractText> <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">The findings demonstrate that climate change adaptation is not yet a primary focus in the German sports event context. While some planners, especially those of large-scale events, have started implementing adaptation measures, others are only beginning to address the issue.</AbstractText> <AbstractText Label=""Discussion"" NlmCategory=""UNASSIGNED"">The study discusses the challenges that sports event organizers face in adjusting to the adverse effects of climate change and also examines specific adaptation strategies. The paper emphasizes the imperative for organizers to incorporate climate adaptation measures more effectively into routine event planning and management processes, and provides practical guidelines to achieve this integration.</AbstractText> <CopyrightInformation>© 2024 Werner.</CopyrightInformation>",NA,NA,NA,Snowballing,journalArticle,10.3389/fspor.2024.1505372
"Luo, Sixuan",grey fields in rural china industrial pollution and agricultural productivity losses,0,Land Use Policy,NA,10.1016/j.landusepol.2026.108257,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.landusepol.2026.108257
"Balleer, Almut; Hirsch, Michael; Noeller, Marvin",how are you doing today air quality and subjective well being across time and space in germany,2025,NA,NA,10.2139/ssrn.5370703,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.5370703
"Palma, Alessandro; Petrunyk, Inna; Vuri, Daniela",prenatal air pollution exposure and neonatal health,2022,Health economics,NA,10.1002/hec.4474,NA,"Air pollution has been shown to have adverse effects on many health outcomes including respiratory effects, cardiovascular effects, and mortality. However, evidence on the effects of prenatal exposure is still limited. We investigate the causal impact of prenatal exposure to air pollution on neonatal health in Italy in the 2000s. We exploit variation in rainfall shocks to instrument for non-random air pollution exposure. Our empirical setting combines detailed information on mother's residential location from birth certificates with PM<sub>10</sub> concentrations from air pollution monitors. Ten additional units in the average PM<sub>10</sub> level (approximately one standard deviation) would decrease birth weight by about 0.5% and gestational age by 0.16%; it would increase the prevalence of low birth weight by 22% and of preterm birth by 16%. The effects are stronger in magnitude for third trimester exposure and for less educated mothers. These findings suggest that the health impacts of air pollution on newborns are unequally distributed in the population.",NA,NA,NA,Snowballing,journalArticle,10.1002/hec.4474
"Bellani, Luna; Ceolotto, Stefano; Elsner, Benjamin; Pestel, Nico",the political fallout of air pollution,2024,Proceedings of the National Academy of Sciences of the United States of America,NA,10.1073/pnas.2314428121,NA,"This paper studies the effect of air pollution on voting outcomes. We use data from 60 federal and state elections in Germany from 2000 to 2018 and exploit plausibly exogenous fluctuations in ambient air pollution within counties across election dates. Higher air pollution on election day shifts votes away from incumbent parties and toward opposition parties. An increase in the concentration of particulate matter (PM10) by 10 [Formula: see text]g/m[Formula: see text]-around two within-county SDs-reduces the vote share of incumbent parties by two percentage points, which is equivalent to 4% of the mean vote share. We generalize these findings by documenting similar effects with data from a weekly opinion poll and a large-scale panel survey. We provide further evidence that poor air quality leads to more negative emotions such as anger, worry, and unhappiness, which, in turn, may reduce the support for the political status quo. Overall, these results suggest that poor air quality affects decision-making in the population at large, including consequential political decisions.",NA,NA,NA,Snowballing,journalArticle,10.1073/pnas.2314428121
"Hasan, Md. Mahadi; Adnan, A.T.M.",nexus between environmental sustainability energy intensity and food security evidence from emerging economies,2023,Journal of Business and Socio-economic Development,NA,10.1108/jbsed-05-2023-0044,NA,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>Growing food insecurity is a leading cause of fatalities, particularly in developing nations like Sub-Saharan Africa and Southeast Asia. However, the rising energy consumption and carbon dioxide (CO2) emissions are mostly associated with food production. Balancing the trade-offs between energy intensity and food security remains a top priority for environmentalists. Despite the critical role of the environment in food security, there is a scarcity of substantial studies that explore the statistical connections among food security, CO2 emissions, energy intensity, foreign direct investment (FDI) and per capita income. Therefore, this study aims to provide more precise and consistent estimates of per capita CO2 emissions by considering the interplay of food security and energy intensity within the context of emerging economies.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>To examine the long-term relationships between CO2 emissions, food security, energy efficiency, FDI and economic development in emerging economies, this study employs correlated panel-corrected standard error, regression with Newey–West standard error and regression with Driscoll–Kraay standard error models (XTSCC). The analysis utilizes data spanning from 1980 to 2018 and encompasses 32 emerging economies.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>The study reveals that increasing food security in a developing economy has a substantial positive impact on both CO2 emissions and energy intensity. Each model, on average, demonstrates that a 1 percent improvement in food security results in a 32% increase in CO2 levels. Moreover, the data align with the Environmental Kuznets Curve (EKC) theory, as it indicates a positive correlation between gross domestic product (GDP) in developing nations and CO2 emissions. Finally, all experiments consistently demonstrate a robust correlation between the Food Security Index (FSI), energy intensity level (EIL) and exchange rate (EXR) in developing markets and CO2 emissions. This suggests that these factors significantly contribute to environmental performance in these countries.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>This study introduces novelty by employing diverse techniques to uncover the mixed findings regarding the relationship between CO2 emissions and economic expansion. Additionally, it integrates energy intensity and food security into a new model. Moreover, the study contributes to the literature by advocating for a sustainable development goal (SDG)-oriented policy framework that considers all variables influencing economic growth.</jats:p></jats:sec>",NA,NA,NA,Snowballing,journalArticle,10.1108/jbsed-05-2023-0044
"Zhao, Junhui; Ma, Yongfang; Hu, Xiaoxiao",analysis of quantile regression for race time in standard distance triathlons,2024,PloS one,NA,10.1371/journal.pone.0313496,NA,"<AbstractText Label=""PURPOSE"" NlmCategory=""OBJECTIVE"">This study aims to quantitatively analyze the impact of split times on overall performance in standard distance triathlon events. It also examines how environmental factors such as water type, temperature, and altitude affect overall race outcomes.</AbstractText> <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Quantile regression was employed to analyze the race records of 1,580 triathletes participating in 46 standard distance events in China.</AbstractText> <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Swim time significantly influences race performance among the top 50% of elite athletes (p &lt; 0.05). For slower elite athletes, bike time is more critical. Temperature has a positive effect on race times, while altitude also shows a significant positive impact, with race times decreasing as altitude increases (up to 1,600 meters in this study's dataset). River water enhances race times compared to still water, whereas sea water generally slows athletes down.</AbstractText> <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">The influence of split times and environmental factors on overall race rime varies according to the athletes' performance levels. To optimize results, training plans and race strategies should be tailored to each athlete's capabilities. Additionally, understanding and adapting to environmental conditions in advance is crucial.</AbstractText> <CopyrightInformation>Copyright: © 2024 Zhao et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.</CopyrightInformation>",NA,NA,NA,Snowballing,journalArticle,10.1371/journal.pone.0313496
"Moreno-Martinez, Ismael; Hattemer, Benjamin",dust to dust tracing air pollution s impact on work accidents,2024,SSRN Electronic Journal,NA,10.2139/ssrn.4812658,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4812658
"Bougault, Valerie; Carlsten, Christopher; Adami, Paolo Emilio; Sewry, Nicola; Schobersberger, Wolfgang; Soligard, Torbjørn; Engebretsen, Lars; Budgett, Richard; Schwellnus, Martin; Fitch, Ken",air quality respiratory health and performance in athletes a summary of the ioc consensus subgroup narrative review on acute respiratory illness in athletes,2025,British journal of sports medicine,NA,10.1136/bjsports-2024-109145,NA,"With the WHO stating that nearly 99% of the global population is exposed to air pollution levels that increase the risk of chronic diseases, the question of exercising in polluted environments is relevant to the health of athletes. Major sporting events held under conditions of poor air quality (AQ) have highlighted the lack of answers to concerns raised by organisers and athletes about the associated health risks. This evidence-based narrative review compiles current knowledge and identifies gaps regarding the relationship between AQ and sport. It is a summary of a more comprehensive report prepared for the International Olympic Committee (IOC) Medical and Scientific Commission. This article discusses the various sources of air pollutants encountered during exercise, summarises current AQ guidelines and provides insights into AQ conditions during the Paris 2024 Olympic and Paralympic Games (OPG) as well as in Los Angeles over the past four summers, in preparation for the 2028 OPG. It also summarises the effects of air pollution on the respiratory health and performance of athletes, while proposing mitigation strategies, with a particular emphasis on AQ education.",NA,NA,NA,Snowballing,journalArticle,10.1136/bjsports-2024-109145
