longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
EconLit with Full Text,eoh,2065632,The Impact of International Talent on Environmental Pollution: Firm-Level Evidence from China,"Environmental pollution affects people's quality of life and health. Improving environmental awareness and developing green technologies are the key measures to solve the pollution problem. Combining the pollution emission database of Chinese industrial enterprises and the survey data on the scale of international talent inflow, we empirically test the impact of international talent influx on corporate pollution emission behavior and its influence channels. We have found that increasing the scale of international talent inflow significantly reduced the intensity of corporate pollution emissions, and the potential channels are to promote corporate technological progress, improvement of environmental protection concept, and export higher-quality products. Heterogeneity analysis found that the inflow of international talents has a significant inhibitory effect on the pollution emission intensity of enterprises in high human capital intensity and high pollution intensity industries, and talents from developed countries are more conducive to reducing the pollution emission intensity of enterprises. This paper proves that attracting international talents is an effective way to improve environmental pollution and achieve green and sustainable development.",20230901,"Wei, Hao ; Zhou, Yaru",Journal Article,Journal Article,September 2023,true,Energy Economics,"Health Behavior ; Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Institutions and Their Transitions: Consumer Economics; Health; Education and Training: Welfare, Income, Wealth, and Poverty ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0140-9883,,,,,eng,,,,,125,,10.1016/j.eneco.2023.106800,,,,https://research.ebsco.com/plink/6902f84f-6e02-3e97-97dc-9f209698c308,,,,
EconLit with Full Text,eoh,2195993,Essays in Intangible Capital and Productivity,"This dissertation presents three essays bridging intangible capital and environmental economics. The first two papers investigate intangible capital's relationship with stock market performance and its mediating role in the transmission of interest rate changes to corporate investment behavior. The final essay explores the productivity implications of green technology adoption across industries and individual establishments. The first chapter discusses how firm leverage is known to affect stock returns, but the impact of intangible capital (IK) on this relationship remains understudied. The lower collateral value associated with IK suggests that firms with high IK exhibit a higher probability of default, likely affecting the relationship between leverage and stock returns. In this paper, we examine how this relationship is affected in the presence of IK and find that the stock returns of firms with higher IK are more sensitive to leverage changes. Through portfolio analysis, we demonstrate that stocks with the largest leverage decreases substantially outperform those with increases, particularly for high IK firms. We propose a new ""Intangible Delta Leverage (IDL)"" factor that is not explained by other commonly used factors and develop a profitable long-short equity strategy based on leverage changes and IK ratios. Our findings highlight the importance of intangible assets in the leverage-return dynamic and offer new insights for asset pricing and investment strategies. The second chapter investigates how intangible capital affects firms' investment responses to interest rate changes. Using Compustat data, I find that firms with high intangible capital concentrations exhibit muted investment responses to interest rate fluctuations. Using local projection techniques, I find that after a 100-basis-point increase in the 2-year Treasury rate, these firms' cumulative investment increases 4.79%, compared to a decline of 1.93% for all other firms after eight quarters. Exploiting state-level legal changes that reduced collateral seizure uncertainty, I show that firms with tangible assets significantly increased debt issuance, while firms with more intangible assets did not. These findings suggest that limited collateral value from intangible assets weakens monetary policy transmission by constraining firms' leverage capacity. The third chapter examines the relationship between green technologies and productivity through industry-level and establishment-level analyses. Using emissions and energy productivity as proxies for green technology adoption, we find that this relationship varies across specifications. At the industry level, instrumenting with climate change mitigation policies reveals that emissions productivity growth negatively affects industry productivity growth, particularly in environmentally efficient industries. At the establishment level, using Mexican data, we find contrasting results: cross-sectional analysis shows positive correlations between energy productivity and conventional productivity measures (labor, capital, and TFP), while within-establishment analysis indicates temporary negative effects following energy efficiency improvements. Evidence from Mexican climate policy interventions suggests these trade-offs are transitory, with targeted policies ultimately increasing labor productivity in polluting industries.",20241201,"Baltieri Mauad, Roberto",Dissertation,Dissertation,December 2024,,Essays in Intangible Capital and Productivity,Investment; Capital; Intangible Capital; Capacity ; Capital Budgeting; Fixed Investment and Inventory Studies; Capacity ; Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill ; Industrialization; Manufacturing and Service Industries; Choice of Technology ; Management of Technological Innovation and R&D ; Environmental Economics: General,GEN,,,,,,,,eng,"University of California, Santa Cruz",,,,,,,,,,https://research.ebsco.com/plink/f992bd11-e5d6-39e0-9f6d-8492c47a15a6,,,,
EconLit with Full Text,eoh,1681921,Productivity Effects of Air Pollution: Evidence from Professional Soccer,"We estimate the causal effect of ambient air pollution on individual productivity using panel data on the universe of professional soccer players in Germany over the period from 1999 to 2011 matched to hourly information on the concentration of particulate matter near each stadium at the time of kick-off. We exploit exogenous variation in players' exposure to air pollution due to match scheduling rules that are beyond the control of teams and players. The results of our analysis reveal statistically significant negative effects of air pollution on players' productivity, measured by the total number of passes per match. Allowing for a non-linear dose-response relationship further reveals that our findings are not driven by extreme levels of air pollution. Rather, negative effects already emerge at moderate levels.",20171001,"Lichter, Andreas ; Pestel, Nico ; Sommer, Eric",Journal Article,Journal Article,October 2017,true,Labour Economics,Professional Labor Markets; Occupational Licensing ; Sports; Gambling; Restaurants; Recreation; Tourism ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Sports Economics: Industry Studies,JOUR,,,0927-5371,,,,,eng,,66,54,13,48,,10.1016/j.labeco.2017.06.002,,,,https://research.ebsco.com/plink/0f0190f5-9cfc-334f-88f4-9696d67dd34f,,,,
EconLit with Full Text,eoh,1742185,The Behavioural Economics of Health Protection: An Empirical Evidence of Moral Hazard in U.S. Hog Farms,"Healthy workers are productive. When firms could not pay according to worker's health preventative effort levels due to asymmetric information, they provide an incentive contract to cope with the moral hazard problem. We test the existence of ex ante moral hazard in the U.S. hog farms. Using a national employee survey data in 1995 and in 2000, we find that even though employers provide protective devices to reduce the negative effects of poor environmental conditions on employees' respiratory health, many employees do not wear the devices, which is consistent with the moral hazard behaviours. The probability of using a protective device is 10 per cent lower in the farms with an agency problem than in family farms without an agency problem, even after we control for medical insurance provision types. Reducing pollutants, providing protective devices and instilling the importance of using masks help to alleviate moral hazard incidences.",20181001,"Yu, Li ; Yin, Xundong ; Chen, Yulong",Journal Article,Journal Article,October 2018,true,Australian Journal of Agricultural & Resource Economics,"Asymmetric and Private Information; Mechanism Design ; Micro-Based Behavioral Economics: Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making ; Health Behavior ; Safety; Job Satisfaction; Related Public Policy ; Compensation Packages; Payment Methods ; Agricultural Labor Markets ; Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets",JOUR,,,1364-985X ; 1467-8489,,,,,eng,Wiley-Blackwell,707,676,32,62,4,,,,,https://research.ebsco.com/plink/d35ff04f-4aad-3eb9-87b4-94d1b37785e8,,,,
EconLit with Full Text,eoh,2059873,"Environmental Regulation, Local Labor Market, and Skill Heterogeneity","This paper examines the impact of environmental regulation on the local labor markets by exploiting China's first air pollution regulation as a natural experiment. The identification strategy uses a novel instrumental variable based on engineering considerations related to coal-burning activities. The analysis shows that the pollution regulation has led to employment decline in the targeted prefectures and sectors, mainly through the channel of firm exits. Furthermore, detailed census data with worker characteristics are used to examine the skill heterogeneity and the regulation-induced spatial transition costs.",20230701,"Chen, Ying",Journal Article,Journal Article,July 2023,true,Regional Science and Urban Economics,"Human Capital; Skills; Occupational Choice; Labor Productivity ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Economic Development: Human Resources; Human Development; Income Distribution; Migration ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Socialist Institutions and Their Transitions: Consumer Economics; Health; Education and Training: Welfare, Income, Wealth, and Poverty ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environmental Economics: Government Policy",JOUR,,,0166-0462,,,,,eng,,,,,101,,10.1016/j.regsciurbeco.2023.103898,,,,https://research.ebsco.com/plink/9660e2ce-82f7-34f4-84d7-704e592f96e3,,,,
EconLit with Full Text,eoh,2106896,"Gestion des dechets, recyclage et qualite de l'emploi. (Waste Management, Recycling and Job Quality. With English summary.)","Waste management is central in the process of ecological transition: studying this sector is therefore especially useful to understand the challenges at play. Focusing on employment, this article applies data mining to INSEE sectoral statistics (Esane and Alisse) in order to conduct a comparative analysis, over the 2010 decade, of various waste management activities. We consider more specifically two activities with opposite ecological implications: the treatment and disposal industry (landfilling or incineration, brown mode) and the materials recovery and recycling industry (green mode). Despite public interventions in favour of the latter, it exhibited a lower quality of employment until 2015. This was probably due to economies of scale benefiting the treatment-disposal as compared to the recovery-recycling industry. Those economies of scale improved labour productivity and capital returns and encouraged investment by profit-oriented operators. Over the 2010 decade, while both activities shared a slow-paced employment growth, the treatment-disposal industry concentrated its wage bill on skilled workers and technicians, in connection with efforts to equip the sector for energy production. Our study therefore brings to the fore the role of equipment investment explaining the employment quality gap between the treatment-disposal brown industry on the one hand and the recycling green industry on the other hand.",20210101,"Baguelin, Olivier ; De Beir, Jean ; Sourisseau, Sylvain",Journal Article,Journal Article,2021,,Travail et Emploi,Safety; Job Satisfaction; Related Public Policy ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Ecological Economics: Ecosystem Services; Biodiversity Conservation; Bioeconomics; Industrial Ecology,JOUR,,,0224-4365 ; 1775-416X,,,,,fra,,73,47,27,,166-167,,,,,https://research.ebsco.com/plink/836b5e54-6024-31c5-a6d6-f58c153dc7eb,,,,
EconLit with Full Text,eoh,1375003,The Evolution of Environmental and Labor Productivity Dynamics: Sector Based Evidence from Italy,"This paper provides new empirical evidence on delinking in income-environment dynamic relationships for CO2 and air pollutants at the sector level. A panel dataset based on the Italian NAMEA (National Accounting Matrix including Environmental Accounts) over 1990-2007 is analyzed, focusing on both emissions efficiency (EKC model) and total emissions (IPAT model). Results show that, looking at sector evidence, both decoupling and also eventually re-coupling trends could emerge along the path of economic development. The overall performance on greenhouse gases, here CO2, is not compliant with Kyoto targets. SOx and NOx show decreasing patterns, though the shape is affected by some outlier sectors with regard to joint emission-productivity dynamics. Services tend to present stronger delinking patterns across emissions than manufacturing. Trade expansion validates the pollution haven in some cases, but also shows negative signs when only EU15 trade is considered. This may due to technology spillovers and a positive 'race to the top' rather than the bottom among EU15 trade partners. General R&D expenditure shows weak correlation with emissions efficiency. SUR estimators (Seemingly Unrelated Regressions) suggest that, as regards manufacturing, the slope varies across sectors. Further research should be directed towards deeper investigation of trade relationship at the sector level and increased research into and efforts to produce specific sectoral data on 'environmental innovations'.",20130401,"Marin, Giovanni ; Mazzanti, Massimiliano",Journal Article,Journal Article,April 2013,true,Journal of Evolutionary Economics,Human Capital; Skills; Occupational Choice; Labor Productivity ; Technological Change: Choices and Consequences; Diffusion Processes ; Pollution Control Adoption and Costs; Distributional Effects; Employment Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling ; Environment and Development; Environment and Trade; Sustainability; Environmental Accounts and Accounting; Environmental Equity; Population Growth,JOUR,,,0936-9937 ; 1432-1386,,,,,eng,Springer Nature,399,357,43,23,2,10.1007/s00191-010-0199-8,,,,https://research.ebsco.com/plink/a9385fd3-ded6-3041-b0ba-afa9c8da13d3,,,,
EconLit with Full Text,eoh,1522620,Evaluation of Economic Growth in Terms of Sustainability,"The article theoretically discusses the assessment of economic growth in terms of aspects of sustainability. According to the collected theoretical and practical material, it analyses the economic growth theories in terms of sustainability aspect. The assessment of the effect of economic growth on sustainable development is provided in this paper as well. The main issue of the article is how to achieve economic growth taking into account the sustainability of economic, social, and environmental spheres? The fast pace of growth in production may lead to the high level of inflation. Damage may be caused by the increased use of natural resources and due to the increased air and water pollution as well as waste generation that are attributed to the environmental sphere. The too low growth of production may have an influence on the increased unemployment and poverty levels that are attributed to the social sphere. Therefore, it is of great importance to align these three spheres.",20150101,"Ciegis, Remigijus ; Dilius, Aidas ; Mikalauskiene, Asta",Journal Article,Journal Article,2015,true,Transformations in Business & Economics,Macroeconomics: Production ; Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity ; Price Level; Inflation; Deflation ; Measurement and Analysis of Poverty ; Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence ; Sustainable Development ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling,JOUR,,,1648-4460,,,,,eng,Vilnius University,125,105,21,14,1,,,,,https://research.ebsco.com/plink/0d74f6ae-3e6f-3d45-a157-3d914910bd13,,,,
EconLit with Full Text,eoh,2081807,Do Cleaner Production Standards Upgrade the Global Value Chain Position of Manufacturing Enterprises? Empirical Evidence from China,"The harmonious development of trade and environment is extremely crucial for developing countries that face challenges posed by extensive economic models and environmental pollution as they strive to engage more deeply in the global economy. This article utilizes micro-level data from the Chinese Industrial Enterprises Database (CIED) and the Chinese Customs Trade Database (CCTD) from 2000 to 2012. It takes China's implementation of cleaner production standards (CPS) since 2003 as a quasi-natural experiment and applies staggered DID to investigate the impact and mechanisms of exogenous shocks from environmental policies on upgrading and transformation of enterprise value chains. The aim is to provide comprehensive empirical evidence regarding the availability of environmental regulations and the GVC position of Chinese enterprises. Thus, we also offer valuable insights for similar developing countries seeking a path toward high-quality advancement. The research findings are as follows. First, CPS exerts a significant upgrading effect on enterprise value chains, and this conclusion is highly robust. Second, heterogeneity analysis reveals that the upgrading effect of CPS on value chains is predominantly influenced by factors including the enterprise's asset scale, ownership structure, geographical location, trade pattern, as well as the technological level and pollution intensity within its specific industry. Third, further tests through mechanism analysis reveal that CPS expedited the integration of Chinese manufacturing enterprises in GVC by promoting innovation and R&D capabilities, enhancing total factor productivity, and improving labor wages.",20231201,"Yuan, Kaihua ; Cui, Jingyuan ; Zhang, Haipeng ; Gao, Xiang",Journal Article,Journal Article,December 2023,true,Energy Economics,"Multinational Firms; International Business ; Transactional Relationships; Contracts and Reputation; Networks ; Industrialization; Manufacturing and Service Industries; Choice of Technology ; Economic Development: Urban, Rural, Regional, and Transportation Analysis; Housing; Infrastructure ; Socialist and Transitional Economies: Factor and Product Markets; Industry Studies; Population ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0140-9883,,,,,eng,,,,,128,,10.1016/j.eneco.2023.107185,,,,https://research.ebsco.com/plink/3a200c0e-1495-3b14-bdc5-5f540135509a,,,,
EconLit with Full Text,eoh,2066931,Pollution Exposure and Social Conflicts: Evidence from China's Daily Data,"Recent evidence suggests that exposure to air pollution adversely impacts health outcomes, cognitive function, and labor productivity, however, less is known about the effect of air pollution exposure on social conflicts. Using daily air pollution, we study the effect of exposure to air pollution on social conflicts. For identification strategies, we estimate models with high-dimensional fixed effects and two instrumental variables using atmospheric inversions and wind patterns as exogenous shocks to local pollution. Our findings suggest a positive impact of air pollution on social conflicts, and the magnitude is larger with more severe pollution exposure. Moreover, the significant differences exist between social conflicts occurring in different workplaces, and those occurring at development levels, both of which are related to the extent of pollution exposure. Finally, taking lottery sales as a proxy for risk preference to investigate the potential mechanisms, we show that the increased social conflicts alone with pollution exposure may be attributed to the rising risk preference. This provides indirect support for a plausible channel through which air pollution results in behavioral and social outcomes. The results are robust to alternative specifications and placebos. The findings suggest that reducing air pollution gains the unintended consequence of preventing social conflicts.",20230901,"Li, Jianglong ; Meng, Guanfei",Journal Article,Journal Article,September 2023,true,Journal of Environmental Economics and Management,"Conflict; Conflict Resolution; Alliances; Revolutions ; Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products ; Formal and Informal Sectors; Shadow Economy; Institutional Arrangements ; Socialist and Transitional Economies: Urban, Rural, and Regional Economics ; Socialist and Transitional Economies: Natural Resources; Energy; Environment ; Valuation of Environmental Effects ; Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling",JOUR,,,0095-0696,,,,,eng,,,,,121,,10.1016/j.jeem.2023.102870,,,,https://research.ebsco.com/plink/bdde0ba3-6aac-386c-be1b-e81f02feaba0,,,,
